"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2020","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2021","11692","1"
"Argentina","2020","Total","Both Sexes","Bahía Blanca-Cerri","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","314538.59851041","2"
"Argentina","2020","Total","Both Sexes","BUENOS AIRES","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","15416728.3064762","2"
"Argentina","2020","Total","Both Sexes","Catamarca","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","222984.029777984","2"
"Argentina","2020","Total","Both Sexes","Comodoro Rivadavia-Rada Tilly","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","236436.509341076","2"
"Argentina","2020","Total","Both Sexes","Concordia","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","160903.429239017","2"
"Argentina","2020","Total","Both Sexes","Córdoba","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","1563701.86895129","2"
"Argentina","2020","Total","Both Sexes","Corrientes","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","379978.444686007","2"
"Argentina","2020","Total","Both Sexes","Formosa","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","252791.074578256","2"
"Argentina","2020","Total","Both Sexes","La Plata","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","895110.096243182","2"
"Argentina","2020","Total","Both Sexes","La Rioja","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","222155.092719213","2"
"Argentina","2020","Total","Both Sexes","San Luis - El Chorrillo","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","235975.020950925","2"
"Argentina","2020","Total","Both Sexes","Mar del Plata-Batán","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","644257.598143505","2"
"Argentina","2020","Total","Both Sexes","Mendoza","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","1025406.68203834","2"
"Argentina","2020","Total","Both Sexes","Neuquén-Plottier","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","307682.171934893","2"
"Argentina","2020","Total","Both Sexes","Paraná","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","280519.645586536","2"
"Argentina","2020","Total","Both Sexes","Posadas","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","371895.942045616","2"
"Argentina","2020","Total","Both Sexes","Rawson-Trelew-Playa Unión","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","145647.108064937","2"
"Argentina","2020","Total","Both Sexes","Resistencia","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","414226.464103709","2"
"Argentina","2020","Total","Both Sexes","Río Cuarto","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","177559.106824147","2"
"Argentina","2020","Total","Both Sexes","Rio Gallegos","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","122333.920093625","2"
"Argentina","2020","Total","Both Sexes","Rosario","Urban agglomeration","Estimate - de facto","Final figure, complete","2020","1321765.26229453","2"
