city,area_ha,d_ha,pop_est
Alesia,97,357,34643
Alexandria,987,676,667676
Athens,225,429,96429
Augusta Emerita,81,120,9720
Augusta Praetoria,41,83,3417
Banasa,15,183,2738
Bulla_Regia,31,59,1814
Calleva,45,80,3600
Cassope,30,156,4688
Celsa,18,183,3300
Conimbriga,23,66,1519
Cosa,14,129,1806
Cuicul,12,58,699
Delos,95,156,14844
Emporiae,21,63,1313
Ephesus,263,214,56357
Fregellae,80,125,10000
Gigthis,50,409,20455
Glanum,32,104,3333
Halieis,18,249,4482
Herculaneum,20,107,2145
Hermopolis Magna,155,226,35000
Himera,82,167,13667
Italica,49,65,3178
Libarna,20,100,2000
Londinium,160,250,40000
Lugdunum,170,357,60714
Luna,23,80,1840
Megara Hyblaea,140,157,22000
Meninx,43,120,5160
Metapontum,150,214,32143
Morgantina,25,286,7143
Neapolis,82,275,22550
Olynthus,35,132,4605
Ostia,154,450,69366
Paestum,126,104,13125
Palmyra,120,91,10909
Pergamum,220,295,65000
Piraeus,141,167,23500
Pompeii,60,130,7791
Priene,37,160,5920
Sabratha,35,228,7992
Side,38,300,11400
Thamugadi,50,357,17846
Thmuis,85,209,17800
Tyndaris,30,237,7105
Utica,85,94,7969
vasio,36,151,5422
venusia,44,214,9429
verona,52,68,3525
verulamium,90,183,16500
volubilis,43,211,9058
