"City","Province","Longitude (X)","Latitude (Y)","pop_est","Area","Basis","Monuments","Monuments_filt","Radius","InscriptionCount"
"Hanson2016_14","Achaea",23.726559,37.971119,NA,225,"Walls of Themistocles and Valerian",107,97,8.46284375321634,1
"Hanson2016_329","Baetica",-5.774611,36.089886,NA,11,"Walls",17,14,1.87120515925478,1
"Hanson2016_352","Baetica",-5.740734,37.713343,NA,4,"Walls",7,5,1.12837916709551,0
"Hanson2016_713","Hispania Tarraconensis",-0.484794,38.346018,NA,2,"Walls",6,4,0.797884560802865,6
"Hanson2016_813","Italia (I Latium and Campania)",13.41736,41.690616,NA,4,"Inhabited area",3,0,1.12837916709551,1
"Hanson2016_887","Italia (IV Samnium)",12.63908,42.35459,NA,2,"Inhabited area",7,6,0.797884560802865,0
"Hanson2016_935","Italia (VI Umbria and Ager Gallicus)",13.008723,43.255867,NA,8,"Walls",4,1,1.59576912160573,0
"Hanson2016_937","Italia (VI Umbria and Ager Gallicus)",11.903398,43.983123,NA,2,"Unspecified",6,4,0.797884560802865,0
"Hanson2016_957","Italia (VI Umbria and Ager Gallicus)",12.522032,42.985186,NA,4,"Walls",3,2,1.12837916709551,0
"Hanson2016_959","Italia (VI Umbria and Ager Gallicus)",12.484618,43.012888,NA,5,"Walls",3,0,1.26156626101008,1
"Hanson2016_977","Italia (VII Etruria)",12.077133,42.331568,NA,5,"Known area",3,2,1.26156626101008,0
"Hanson2016_992","Italia (VII Etruria)",12.485098,41.892777,NA,1783,"Fourteen Augustan regions",236,221,23.8232350251954,146
"Hanson2016_1001","Italia (VII Etruria)",11.872307,42.417272,NA,8,"Unspecified",4,4,1.59576912160573,0
"Hanson2016_1018","Italia (VIII Aemilia)",12.126752,44.18877,NA,5,"Urban grid",4,2,1.26156626101008,0
"Hanson2016_1215","Moesia Inferior",28.193536,45.140203,NA,2,"Walls, 150 by 100 m",3,2,0.797884560802865,1
"Hanson2016_1252","Numidia",9.143018,36.336294,NA,2,"Walls",13,11,0.797884560802865,1
