"City","Province","Longitude (X)","Latitude (Y)","pop_est","Area","Basis","Monuments","Monuments_filt","Radius","InscriptionCount"
"Hanson2016_16","Achaea",20.020617,39.745701,NA,13,"Walls",18,15,2.03421447256411,8
"Hanson2016_26","Achaea",22.879795,37.906321,NA,241,"Urban grid",56,50,8.75857765680556,44
"Hanson2016_180","Africa Proconsularis",14.29306,32.63833,NA,466,"Ramparts",46,41,12.1791792400657,83
"Hanson2016_226","Alpes Graiae et Poeninae",7.073483,46.101706,NA,22,"Urban grid",12,10,2.64628371420061,7
"Hanson2016_227","Alpes Maritimae",7.275398,43.720661,NA,18,"Inhabited area, 15 to 20 ha.",13,12,2.3936536824086,7
"Hanson2016_312","Asia",28.040286,38.488315,NA,150,"Walls and topography",16,12,6.90988298942671,18
"Hanson2016_388","Britannia",-2.029155,54.978122,NA,16,"Walls",10,7,2.25675833419103,24
"Hanson2016_412","Cappadocia et Galatia",31.178933,38.300733,NA,39,"Walls",16,12,3.52336281997296,4
"Hanson2016_500","Dacia",22.809406,45.509997,NA,32,"Urban grid",25,21,3.19153824321146,37
"Hanson2016_587","Gallia Belgica",6.637075,49.752611,NA,131,"Urban grid and walls",17,13,6.45744493511765,8
"Hanson2016_660","Germania Inferior",6.959912,50.940664,NA,75,"Walls",10,7,4.8860251190292,33
"Hanson2016_673","Germania Superior",8.277769,49.993057,NA,101,"Walls",6,5,5.67003514138694,71
"Hanson2016_693","Hispania Tarraconensis",-0.984266,37.599656,NA,58,"Inhabited area",14,12,4.29673985699156,26
"Hanson2016_700","Hispania Tarraconensis",3.115825,42.133303,1313,24,"Palaepolis, Neapolis, and the Roman settlement",18,12,2.76395319577068,12
"Hanson2016_713","Hispania Tarraconensis",-0.484794,38.346018,NA,2,"Walls",6,4,0.797884560802865,6
"Hanson2016_1150","Macedonia",19.739266,40.538262,NA,28,"Walls",6,4,2.98541066072092,10
"Hanson2016_1237","Noricum",14.366944,46.69775,NA,47,"Urban grid",7,5,3.86788891394752,13
"Hanson2016_1247","Numidia",6.2667,35.46081,NA,73,"Unspecified, 30 to 115 ha.",19,19,4.82043791490117,25
"Hanson2016_1267","Pannonia Inferior",19.050216,47.56473,NA,30,"Urban grid and walls",15,12,3.09019361618552,16
"Hanson2016_1277","Pannonia Superior",16.867891,48.113346,NA,50,"Inhabited area",5,4,3.98942280401433,51
"Hanson2016_1288","Raetia",10.894765,48.365463,NA,63,"Walls",6,4,4.47811599108138,7
