"City","Province","Longitude (X)","Latitude (Y)","pop_est","Area","Basis","Monuments","Monuments_filt","Radius","InscriptionCount"
"Hanson2016_26","Achaea",22.879795,37.906321,NA,241,"Urban grid",56,50,8.75857765680556,44
"Hanson2016_180","Africa Proconsularis",14.29306,32.63833,NA,466,"Ramparts",46,41,12.1791792400657,83
"Hanson2016_226","Alpes Graiae et Poeninae",7.073483,46.101706,NA,22,"Urban grid",12,10,2.64628371420061,7
"Hanson2016_227","Alpes Maritimae",7.275398,43.720661,NA,18,"Inhabited area, 15 to 20 ha.",13,12,2.3936536824086,7
"Hanson2016_312","Asia",28.040286,38.488315,NA,150,"Walls and topography",16,12,6.90988298942671,18
"Hanson2016_587","Gallia Belgica",6.637075,49.752611,NA,131,"Urban grid and walls",17,13,6.45744493511765,8
"Hanson2016_660","Germania Inferior",6.959912,50.940664,NA,75,"Walls",10,7,4.8860251190292,33
"Hanson2016_992","Italia (VII Etruria)",12.485098,41.892777,NA,1783,"Fourteen Augustan regions",236,221,23.8232350251954,146
"Hanson2016_1211","Moesia Inferior",25.394018,43.607221,NA,1,"Inhabited area",4,2,0.564189583547756,1
"Hanson2016_1288","Raetia",10.894765,48.365463,NA,63,"Walls",6,4,4.47811599108138,7
