"chain","model","parameter","z"
1,"allmonuments","b0",0.0014035780977543
1,"allmonuments","b1",0.0191778538372355
1,"allmonuments","intercept[1]",-0.275642894958115
1,"allmonuments","intercept[2]",2.21754774218
1,"allmonuments","intercept[3]",0.600565782243548
1,"allmonuments","intercept[4]",0.355464309644486
1,"allmonuments","intercept[5]",0.766341800516489
1,"allmonuments","intercept[6]",0.742251233035489
1,"allmonuments","intercept[7]",0.229889425880139
1,"allmonuments","intercept[8]",0.48763764737546
1,"allmonuments","intercept[9]",1.4182324223625
1,"allmonuments","intercept[10]",1.54505828501564
1,"allmonuments","intercept[11]",0.504869721870476
1,"allmonuments","intercept[12]",0.289271653897534
1,"allmonuments","intercept[13]",0.305095299297934
1,"allmonuments","intercept[14]",0.789940653810948
1,"allmonuments","intercept[15]",0.400517773329487
1,"allmonuments","intercept[16]",0.655886825408607
1,"allmonuments","intercept[17]",0.812399854449817
1,"allmonuments","intercept[18]",1.34015012257331
1,"allmonuments","intercept[19]",0.884511407433487
1,"allmonuments","intercept[20]",1.46919011314636
1,"allmonuments","intercept[21]",-0.340029572880401
1,"allmonuments","intercept[22]",1.56403502882256
1,"allmonuments","intercept[23]",0.19997402344334
1,"allmonuments","intercept[24]",0.680162407491559
1,"allmonuments","intercept[25]",-0.038614056709123
1,"allmonuments","intercept[26]",1.225406746436
1,"allmonuments","intercept[27]",0.388298672882218
1,"allmonuments","intercept[28]",0.732531335847804
1,"allmonuments","intercept[29]",0.967764873603441
1,"allmonuments","intercept[30]",0.93499267738294
1,"allmonuments","intercept[31]",0.801595866218064
1,"allmonuments","intercept[32]",0.137774465887334
1,"allmonuments","intercept[33]",1.05788615085549
1,"allmonuments","intercept[34]",0.791521585807603
1,"allmonuments","intercept[35]",1.00315231764272
1,"allmonuments","intercept[36]",0.614029740723472
1,"allmonuments","intercept[37]",-0.725515917660101
1,"allmonuments","intercept[38]",0.632687963703755
1,"allmonuments","intercept[39]",0.418164791523624
1,"allmonuments","intercept[40]",-0.0285461677904595
1,"allmonuments","intercept[41]",0.0779730548479264
1,"allmonuments","intercept[42]",1.33927870694359
