"chain","model","parameter","z"
1,"allmonuments_linlog","b0",1.3942112953191
1,"allmonuments_linlog","b1",-1.4154110831281
1,"allmonuments_linlog","intercept[1]",-0.536429215616147
1,"allmonuments_linlog","intercept[2]",-0.666057297768935
1,"allmonuments_linlog","intercept[3]",-0.845071786137217
1,"allmonuments_linlog","intercept[4]",-1.17311236731934
1,"allmonuments_linlog","intercept[5]",-1.11095936977284
1,"allmonuments_linlog","intercept[6]",-1.00060606595758
1,"allmonuments_linlog","intercept[7]",-0.967405057296114
1,"allmonuments_linlog","intercept[8]",-1.43069005658735
1,"allmonuments_linlog","intercept[9]",-1.39996292144979
1,"allmonuments_linlog","intercept[10]",-0.970787550672501
1,"allmonuments_linlog","intercept[11]",-1.03526901292072
1,"allmonuments_linlog","intercept[12]",-1.1416614623298
1,"allmonuments_linlog","intercept[13]",-0.897483788923404
1,"allmonuments_linlog","intercept[14]",-1.17120202116107
1,"allmonuments_linlog","intercept[15]",-0.946712518600808
1,"allmonuments_linlog","intercept[16]",-1.0200611011495
1,"allmonuments_linlog","intercept[17]",-1.30834802752348
1,"allmonuments_linlog","intercept[18]",-1.02160560464424
1,"allmonuments_linlog","intercept[19]",-1.22027887432477
1,"allmonuments_linlog","intercept[20]",-1.41026570472174
1,"allmonuments_linlog","intercept[21]",-0.489936100489269
1,"allmonuments_linlog","intercept[22]",-0.761685117330551
1,"allmonuments_linlog","intercept[23]",-0.957423609896839
1,"allmonuments_linlog","intercept[24]",-0.868627445373663
1,"allmonuments_linlog","intercept[25]",-1.02845418555478
1,"allmonuments_linlog","intercept[26]",-1.09462854414334
1,"allmonuments_linlog","intercept[27]",-1.16702127580597
1,"allmonuments_linlog","intercept[28]",-1.60570624038615
1,"allmonuments_linlog","intercept[29]",-1.00427054209802
1,"allmonuments_linlog","intercept[30]",-0.971024923054397
1,"allmonuments_linlog","intercept[31]",-1.14269268770289
1,"allmonuments_linlog","intercept[32]",-0.875845853916157
1,"allmonuments_linlog","intercept[33]",-1.34014662224445
1,"allmonuments_linlog","intercept[34]",-1.55694623379189
1,"allmonuments_linlog","intercept[35]",-1.0519406967304
1,"allmonuments_linlog","intercept[36]",-1.14435346418389
1,"allmonuments_linlog","intercept[37]",-0.798396868487978
1,"allmonuments_linlog","intercept[38]",-0.964127048816021
1,"allmonuments_linlog","intercept[39]",-0.954225400677983
1,"allmonuments_linlog","intercept[40]",-0.822988671287459
1,"allmonuments_linlog","intercept[41]",-0.837680147732567
1,"allmonuments_linlog","intercept[42]",-1.2576375553869
1,"allmonuments_linlog","intercept[43]",-1.29141463731591
1,"allmonuments_linlog","intercept[44]",-0.529465395148681
1,"allmonuments_linlog","intercept[45]",-0.882554092754911
1,"allmonuments_linlog","intercept[46]",-1.28539103668235
1,"allmonuments_linlog","intercept[47]",-1.64426368091318
1,"allmonuments_linlog","intercept[48]",-1.15530392391978
1,"allmonuments_linlog","intercept[49]",-1.16372760078024
1,"allmonuments_linlog","intercept[50]",-1.36281378249451
1,"allmonuments_linlog","intercept[51]",-0.811233118107037
1,"allmonuments_linlog","intercept0",-1.21444085148077
1,"allmonuments_linlog","scaling[1]",0.665278913450657
1,"allmonuments_linlog","scaling[2]",0.741367369875081
1,"allmonuments_linlog","scaling[3]",1.14999610114139
1,"allmonuments_linlog","scaling[4]",0.780809945689696
1,"allmonuments_linlog","scaling[5]",1.65771870990297
1,"allmonuments_linlog","scaling[6]",1.13239748318962
1,"allmonuments_linlog","scaling[7]",0.90229331773766
1,"allmonuments_linlog","scaling[8]",1.38970159561701
1,"allmonuments_linlog","scaling[9]",1.42157542761044
1,"allmonuments_linlog","scaling[10]",1.30229052637872
1,"allmonuments_linlog","scaling[11]",1.12131871438337
1,"allmonuments_linlog","scaling[12]",1.39951753225621
1,"allmonuments_linlog","scaling[13]",1.15803775306151
1,"allmonuments_linlog","scaling[14]",1.31789350744996
1,"allmonuments_linlog","scaling[15]",0.982283827877285
1,"allmonuments_linlog","scaling[16]",1.28923256402114
1,"allmonuments_linlog","scaling[17]",1.17098685689583
1,"allmonuments_linlog","scaling[18]",0.991451910698512
1,"allmonuments_linlog","scaling[19]",1.14055834497535
1,"allmonuments_linlog","scaling[20]",1.12938889478025
1,"allmonuments_linlog","scaling[21]",0.684624771576854
1,"allmonuments_linlog","scaling[22]",1.06755833098186
1,"allmonuments_linlog","scaling[23]",0.782462013928118
1,"allmonuments_linlog","scaling[24]",0.835547710473358
1,"allmonuments_linlog","scaling[25]",0.952911613492392
1,"allmonuments_linlog","scaling[26]",1.1073312769901
1,"allmonuments_linlog","scaling[27]",0.990968061889316
1,"allmonuments_linlog","scaling[28]",1.37014127993723
1,"allmonuments_linlog","scaling[29]",1.17294718849366
1,"allmonuments_linlog","scaling[30]",1.20703076604752
1,"allmonuments_linlog","scaling[31]",1.34713841331384
1,"allmonuments_linlog","scaling[32]",0.660258658619864
1,"allmonuments_linlog","scaling[33]",1.19618621545306
1,"allmonuments_linlog","scaling[34]",1.52775348142818
1,"allmonuments_linlog","scaling[35]",1.11892230846948
1,"allmonuments_linlog","scaling[36]",0.831751365115514
1,"allmonuments_linlog","scaling[37]",0.675656660010228
1,"allmonuments_linlog","scaling[38]",0.831174576519565
1,"allmonuments_linlog","scaling[39]",1.141462851093
1,"allmonuments_linlog","scaling[40]",0.835819875163926
1,"allmonuments_linlog","scaling[41]",0.928869051910051
1,"allmonuments_linlog","scaling[42]",0.823390563930542
1,"allmonuments_linlog","scaling[43]",1.38144681673608
1,"allmonuments_linlog","scaling[44]",0.568971985092781
1,"allmonuments_linlog","scaling[45]",1.35883586396523
1,"allmonuments_linlog","scaling[46]",1.291095073903
1,"allmonuments_linlog","scaling[47]",1.44688715620766
1,"allmonuments_linlog","scaling[48]",1.34033239934395
1,"allmonuments_linlog","scaling[49]",1.15779388922047
1,"allmonuments_linlog","scaling[50]",1.33193577172488
1,"allmonuments_linlog","scaling[51]",0.965056713904474
1,"allmonuments_linlog","scaling0",1.23887937113001
1,"allmonuments_linlog","sd0",0.0995119682461423
1,"allmonuments_linlog","sd1",-0.145078353005599
1,"allmonuments_linlog","sigma_pop",-0.443052118169329
1,"allmonuments_linlog","size",-0.163868954991128
