"chain","model","parameter","z"
1,"allmonuments_nozero","b0",-3.08195268842799
1,"allmonuments_nozero","b1",2.90306939179004
1,"allmonuments_nozero","intercept[1]",2.81197323261172
1,"allmonuments_nozero","intercept[2]",2.62842824015701
1,"allmonuments_nozero","intercept[3]",3.09765786560478
1,"allmonuments_nozero","intercept[4]",3.1413988888114
1,"allmonuments_nozero","intercept[5]",3.09952144253849
1,"allmonuments_nozero","intercept[6]",3.24153829143161
1,"allmonuments_nozero","intercept[7]",3.19472830800104
1,"allmonuments_nozero","intercept[8]",3.33282246518226
1,"allmonuments_nozero","intercept[9]",2.78331478938254
1,"allmonuments_nozero","intercept[10]",2.79377224841747
1,"allmonuments_nozero","intercept[11]",3.04396938954419
1,"allmonuments_nozero","intercept[12]",3.4595247135257
1,"allmonuments_nozero","intercept[13]",2.92305205815904
1,"allmonuments_nozero","intercept[14]",3.31596612560202
1,"allmonuments_nozero","intercept[15]",2.84057479128598
1,"allmonuments_nozero","intercept[16]",3.13996747807963
1,"allmonuments_nozero","intercept[17]",3.16287262478007
1,"allmonuments_nozero","intercept[18]",3.03278900339088
1,"allmonuments_nozero","intercept[19]",3.33141341509711
1,"allmonuments_nozero","intercept[20]",2.96093959073192
1,"allmonuments_nozero","intercept[21]",3.32562059442997
1,"allmonuments_nozero","intercept[22]",3.26275622323631
1,"allmonuments_nozero","intercept[23]",2.76890334614883
1,"allmonuments_nozero","intercept[24]",3.2443859851233
1,"allmonuments_nozero","intercept[25]",3.12547386209256
1,"allmonuments_nozero","intercept[26]",2.86990775505195
1,"allmonuments_nozero","intercept[27]",3.1441291586373
1,"allmonuments_nozero","intercept[28]",3.40160862190237
1,"allmonuments_nozero","intercept[29]",2.92059788191952
1,"allmonuments_nozero","intercept[30]",2.67307772635662
1,"allmonuments_nozero","intercept[31]",2.90194202083709
1,"allmonuments_nozero","intercept[32]",3.43179937597762
1,"allmonuments_nozero","intercept[33]",2.85465794724883
1,"allmonuments_nozero","intercept[34]",3.71202935830801
1,"allmonuments_nozero","intercept[35]",2.82010552643198
1,"allmonuments_nozero","intercept[36]",2.98553598334163
1,"allmonuments_nozero","intercept[37]",2.8801633124083
1,"allmonuments_nozero","intercept[38]",2.94724891170862
1,"allmonuments_nozero","intercept[39]",2.82938100349888
1,"allmonuments_nozero","intercept[40]",3.11553483669929
1,"allmonuments_nozero","intercept[41]",3.01722228757008
1,"allmonuments_nozero","intercept[42]",2.43364760470312
1,"allmonuments_nozero","intercept[43]",3.22351728708826
1,"allmonuments_nozero","intercept[44]",3.09675703237661
1,"allmonuments_nozero","intercept[45]",3.44499640656982
1,"allmonuments_nozero","intercept[46]",2.96628966236106
1,"allmonuments_nozero","intercept[47]",3.3868394953792
1,"allmonuments_nozero","intercept[48]",2.93833157037323
1,"allmonuments_nozero","intercept[49]",3.27500428259132
1,"allmonuments_nozero","intercept[50]",3.01923163166896
1,"allmonuments_nozero","intercept[51]",2.73932835825584
1,"allmonuments_nozero","intercept0",3.10251412837855
1,"allmonuments_nozero","scaling[1]",-3.05445910921687
1,"allmonuments_nozero","scaling[2]",-2.32672039248265
1,"allmonuments_nozero","scaling[3]",-2.89280452401625
1,"allmonuments_nozero","scaling[4]",-3.03892545130806
1,"allmonuments_nozero","scaling[5]",-3.39597205200189
1,"allmonuments_nozero","scaling[6]",-3.0204861454294
1,"allmonuments_nozero","scaling[7]",-3.07362494433575
1,"allmonuments_nozero","scaling[8]",-3.19628124122751
1,"allmonuments_nozero","scaling[9]",-3.0960679702493
1,"allmonuments_nozero","scaling[10]",-2.67326717505131
1,"allmonuments_nozero","scaling[11]",-2.7323739872726
1,"allmonuments_nozero","scaling[12]",-2.8444705210748
1,"allmonuments_nozero","scaling[13]",-3.01004469717279
1,"allmonuments_nozero","scaling[14]",-3.05419204628031
1,"allmonuments_nozero","scaling[15]",-3.02332638215415
1,"allmonuments_nozero","scaling[16]",-3.27458766429451
1,"allmonuments_nozero","scaling[17]",-3.02965846923747
1,"allmonuments_nozero","scaling[18]",-2.7845469614838
1,"allmonuments_nozero","scaling[19]",-2.70942017856908
1,"allmonuments_nozero","scaling[20]",-2.55968900763803
1,"allmonuments_nozero","scaling[21]",-2.84902581950454
1,"allmonuments_nozero","scaling[22]",-2.57942314932514
1,"allmonuments_nozero","scaling[23]",-3.26893225748362
1,"allmonuments_nozero","scaling[24]",-3.09857374226584
1,"allmonuments_nozero","scaling[25]",-3.01375185181125
1,"allmonuments_nozero","scaling[26]",-2.75220456544442
1,"allmonuments_nozero","scaling[27]",-2.86394219533115
1,"allmonuments_nozero","scaling[28]",-2.98038109597396
1,"allmonuments_nozero","scaling[29]",-2.85771007976754
1,"allmonuments_nozero","scaling[30]",-2.87984395391134
1,"allmonuments_nozero","scaling[31]",-3.06012785634784
1,"allmonuments_nozero","scaling[32]",-3.11063986140726
1,"allmonuments_nozero","scaling[33]",-2.69383053161501
1,"allmonuments_nozero","scaling[34]",-3.03031586444163
