"chain","model","parameter","z"
1,"allmonuments_sup","b0",-0.933461418759537
1,"allmonuments_sup","b1",0.963524424938364
1,"allmonuments_sup","intercept[1]",1.22173272444308
1,"allmonuments_sup","intercept[2]",-0.76892434942802
1,"allmonuments_sup","intercept[3]",0.787763399519737
1,"allmonuments_sup","intercept[4]",0.521917432739792
1,"allmonuments_sup","intercept[5]",0.959165741874437
1,"allmonuments_sup","intercept[6]",1.12814313500981
1,"allmonuments_sup","intercept[7]",0.952848733637606
1,"allmonuments_sup","intercept[8]",1.57267972821168
1,"allmonuments_sup","intercept[9]",0.685012403380949
1,"allmonuments_sup","intercept[10]",0.354398585024111
1,"allmonuments_sup","intercept[11]",0.623352432387183
1,"allmonuments_sup","intercept[12]",0.948444718097104
1,"allmonuments_sup","intercept[13]",1.4184660105673
1,"allmonuments_sup","intercept[14]",0.869553281375407
1,"allmonuments_sup","intercept[15]",1.32069653874135
1,"allmonuments_sup","intercept[16]",0.611235150854759
1,"allmonuments_sup","intercept[17]",0.867030949965283
1,"allmonuments_sup","intercept[18]",0.382714571830441
1,"allmonuments_sup","intercept[19]",0.860146204578333
1,"allmonuments_sup","intercept[20]",0.393632970435947
1,"allmonuments_sup","intercept[21]",1.36364659678807
1,"allmonuments_sup","intercept[22]",0.347593286190563
1,"allmonuments_sup","intercept[23]",1.41775259902824
1,"allmonuments_sup","intercept[24]",0.469275360337819
1,"allmonuments_sup","intercept[25]",1.59130865542983
1,"allmonuments_sup","intercept[26]",0.720904204635455
1,"allmonuments_sup","intercept[27]",0.994426394136493
1,"allmonuments_sup","intercept[28]",1.05850049132509
1,"allmonuments_sup","intercept[29]",0.903651091725957
1,"allmonuments_sup","intercept[30]",0.395218329556845
1,"allmonuments_sup","intercept[31]",0.746932436831532
1,"allmonuments_sup","intercept[32]",0.851746960499635
1,"allmonuments_sup","intercept[33]",0.882863248255289
1,"allmonuments_sup","intercept[34]",1.11451850266187
1,"allmonuments_sup","intercept[35]",0.406755588280932
1,"allmonuments_sup","intercept[36]",1.1643878428153
1,"allmonuments_sup","intercept[37]",1.67620213033249
1,"allmonuments_sup","intercept[38]",0.650934104807449
1,"allmonuments_sup","intercept[39]",1.32999371732798
1,"allmonuments_sup","intercept[40]",1.26778665762438
1,"allmonuments_sup","intercept[41]",0.941233860849891
1,"allmonuments_sup","intercept[42]",0.434136113781928
1,"allmonuments_sup","intercept[43]",0.513273631174299
1,"allmonuments_sup","intercept[44]",1.57490171726677
1,"allmonuments_sup","intercept[45]",0.258853160802117
1,"allmonuments_sup","intercept[46]",0.753376684107883
1,"allmonuments_sup","intercept[47]",-0.0418575724113749
1,"allmonuments_sup","intercept[48]",1.15688323588139
1,"allmonuments_sup","intercept[49]",0.493052010423532
1,"allmonuments_sup","intercept[50]",0.664055988924778
1,"allmonuments_sup","intercept[51]",1.01571128567132
1,"allmonuments_sup","intercept0",0.806687139246358
