"chain","model","parameter","z"
1,"allwalls","b0",3.05530996277531
1,"allwalls","b1",-2.74517834373428
1,"allwalls","intercept[1]",-2.52060065885323
1,"allwalls","intercept[2]",-2.57995539695405
1,"allwalls","intercept[3]",-2.36349733964327
1,"allwalls","intercept[4]",-2.61900217094444
1,"allwalls","intercept[5]",-2.62803726576709
1,"allwalls","intercept[6]",-2.57680963857977
1,"allwalls","intercept[7]",-2.43732814700254
1,"allwalls","intercept[8]",-2.5486063116289
1,"allwalls","intercept[9]",-2.57036948175932
1,"allwalls","intercept[10]",-2.5475501295425
1,"allwalls","intercept[11]",-2.58856561219843
1,"allwalls","intercept[12]",-2.40831784877203
1,"allwalls","intercept[13]",-2.60591074190257
1,"allwalls","intercept[14]",-2.30149663874143
1,"allwalls","intercept[15]",-2.47056280066365
1,"allwalls","intercept[16]",-2.70062139123413
1,"allwalls","intercept[17]",-2.70086412307217
1,"allwalls","intercept[18]",-2.57052781234241
1,"allwalls","intercept[19]",-2.76474057630879
1,"allwalls","intercept[20]",-2.3455881645653
1,"allwalls","intercept[21]",-2.50222865644552
1,"allwalls","intercept[22]",-2.47779552551751
1,"allwalls","intercept[23]",-2.64165900889016
1,"allwalls","intercept[24]",-2.60684283649665
1,"allwalls","intercept[25]",-2.87031026698748
1,"allwalls","intercept[26]",-2.67404208911502
1,"allwalls","intercept[27]",-2.63249937359805
1,"allwalls","intercept[28]",-2.58515745393738
1,"allwalls","intercept[29]",-2.5315490060536
1,"allwalls","intercept[30]",-2.43086939436743
1,"allwalls","intercept[31]",-2.55933608515446
1,"allwalls","intercept[32]",-2.50584333994685
1,"allwalls","intercept[33]",-2.64435207634742
1,"allwalls","intercept[34]",-2.65620325796269
1,"allwalls","intercept[35]",-2.78763667036742
1,"allwalls","intercept[36]",-2.40841724367477
1,"allwalls","intercept[37]",-2.60837150742098
1,"allwalls","intercept[38]",-2.61254546089664
1,"allwalls","intercept[39]",-2.58159648073957
1,"allwalls","intercept[40]",-2.57863873292731
1,"allwalls","intercept[41]",-2.5198176627868
1,"allwalls","intercept[42]",-2.66619182840055
1,"allwalls","intercept[43]",-2.77068867381093
1,"allwalls","intercept[44]",-2.63775583068903
1,"allwalls","intercept[45]",-2.56849657861223
1,"allwalls","intercept[46]",-2.51376152859725
1,"allwalls","intercept[47]",-2.54735319781305
1,"allwalls","intercept[48]",-2.51137835158879
1,"allwalls","intercept[49]",-2.50564493304745
1,"allwalls","intercept0",-2.52715582622442
