"chain","model","parameter","z"
1,"allwalls_linlog","b0",-0.444364018621577
1,"allwalls_linlog","b1",0.550708257273567
1,"allwalls_linlog","intercept[1]",0.345233380810641
1,"allwalls_linlog","intercept[2]",0.500522863015094
1,"allwalls_linlog","intercept[3]",0.317775339553031
1,"allwalls_linlog","intercept[4]",0.4197999466565
1,"allwalls_linlog","intercept[5]",0.27444290772922
1,"allwalls_linlog","intercept[6]",0.321659686246884
1,"allwalls_linlog","intercept[7]",0.457423345531733
1,"allwalls_linlog","intercept[8]",0.317768514483838
1,"allwalls_linlog","intercept[9]",0.469185297015533
1,"allwalls_linlog","intercept[10]",0.307331336909139
1,"allwalls_linlog","intercept[11]",0.435478181482675
1,"allwalls_linlog","intercept[12]",0.283887420484986
1,"allwalls_linlog","intercept[13]",0.360062065211482
1,"allwalls_linlog","intercept[14]",0.353144181222227
1,"allwalls_linlog","intercept[15]",0.579110136833888
1,"allwalls_linlog","intercept[16]",0.445450084218133
1,"allwalls_linlog","intercept[17]",0.407602759526435
1,"allwalls_linlog","intercept[18]",0.491914812200129
1,"allwalls_linlog","intercept[19]",0.252569767531298
1,"allwalls_linlog","intercept[20]",0.416598158042524
1,"allwalls_linlog","intercept[21]",0.660165038256954
1,"allwalls_linlog","intercept[22]",0.44452692014789
1,"allwalls_linlog","intercept[23]",0.252887865706001
1,"allwalls_linlog","intercept[24]",0.435964976711007
1,"allwalls_linlog","intercept[25]",0.369209205530188
1,"allwalls_linlog","intercept[26]",0.341063379927504
1,"allwalls_linlog","intercept[27]",0.391437676931209
1,"allwalls_linlog","intercept[28]",0.351182118539591
1,"allwalls_linlog","intercept[29]",0.500590421865765
1,"allwalls_linlog","intercept[30]",0.426151444493871
1,"allwalls_linlog","intercept[31]",0.185959896018741
1,"allwalls_linlog","intercept[32]",0.363112526242644
1,"allwalls_linlog","intercept[33]",0.51897748759628
1,"allwalls_linlog","intercept[34]",0.362024407424618
1,"allwalls_linlog","intercept[35]",0.267658947539771
1,"allwalls_linlog","intercept[36]",0.376371754254793
1,"allwalls_linlog","intercept[37]",0.402662676673275
1,"allwalls_linlog","intercept[38]",0.408103038502683
1,"allwalls_linlog","intercept[39]",0.55667769843209
1,"allwalls_linlog","intercept[40]",0.426358819950448
1,"allwalls_linlog","intercept[41]",0.430944848825004
1,"allwalls_linlog","intercept[42]",0.146375371146264
1,"allwalls_linlog","intercept[43]",0.345284493797113
1,"allwalls_linlog","intercept[44]",0.536361797462823
1,"allwalls_linlog","intercept[45]",0.436426052965542
1,"allwalls_linlog","intercept[46]",0.302352488321617
1,"allwalls_linlog","intercept[47]",0.333916198577413
1,"allwalls_linlog","intercept[48]",0.403494759612598
1,"allwalls_linlog","intercept[49]",0.450389712876158
1,"allwalls_linlog","intercept0",0.372423017037996
1,"allwalls_linlog","scaling[1]",-0.335225782011754
1,"allwalls_linlog","scaling[2]",-0.521887827063629
