"chain","model","parameter","z"
1,"allwalls_nozero","b0",-1.51438880475442
1,"allwalls_nozero","b1",1.20985192022986
1,"allwalls_nozero","intercept[1]",1.09279797459181
1,"allwalls_nozero","intercept[2]",1.10918404921745
1,"allwalls_nozero","intercept[3]",1.12737370969569
1,"allwalls_nozero","intercept[4]",1.02161877842349
1,"allwalls_nozero","intercept[5]",1.28122666658163
1,"allwalls_nozero","intercept[6]",1.21117743208803
1,"allwalls_nozero","intercept[7]",1.1265927908877
1,"allwalls_nozero","intercept[8]",1.1502291883903
1,"allwalls_nozero","intercept[9]",1.07711685805479
1,"allwalls_nozero","intercept[10]",1.13159767858261
1,"allwalls_nozero","intercept[11]",1.18261618420236
1,"allwalls_nozero","intercept[12]",1.08569678228815
1,"allwalls_nozero","intercept[13]",1.2264555980979
1,"allwalls_nozero","intercept[14]",1.00149086388442
1,"allwalls_nozero","intercept[15]",1.06752240396884
1,"allwalls_nozero","intercept[16]",1.0348830230522
1,"allwalls_nozero","intercept[17]",1.18072436603683
1,"allwalls_nozero","intercept[18]",1.00092847955964
1,"allwalls_nozero","intercept[19]",1.35851087102801
1,"allwalls_nozero","intercept[20]",1.1138373158343
1,"allwalls_nozero","intercept[21]",1.12101458286208
1,"allwalls_nozero","intercept[22]",1.05584314445639
1,"allwalls_nozero","intercept[23]",1.1508892932608
1,"allwalls_nozero","intercept[24]",0.994588704649135
1,"allwalls_nozero","intercept[25]",1.26387578820213
1,"allwalls_nozero","intercept[26]",1.12034572093052
1,"allwalls_nozero","intercept[27]",1.03376072512703
1,"allwalls_nozero","intercept[28]",1.13278072211702
1,"allwalls_nozero","intercept[29]",1.22179509536378
1,"allwalls_nozero","intercept[30]",1.1249283373811
1,"allwalls_nozero","intercept[31]",1.1121455771222
1,"allwalls_nozero","intercept[32]",1.18879630952458
1,"allwalls_nozero","intercept[33]",1.04784551469832
1,"allwalls_nozero","intercept[34]",1.16088305174957
1,"allwalls_nozero","intercept[35]",1.33313284451535
1,"allwalls_nozero","intercept[36]",1.05921292316191
1,"allwalls_nozero","intercept[37]",1.17693757277469
1,"allwalls_nozero","intercept[38]",1.20819709617768
1,"allwalls_nozero","intercept[39]",1.12027494125272
1,"allwalls_nozero","intercept[40]",1.10387501789
1,"allwalls_nozero","intercept[41]",1.05354893658977
1,"allwalls_nozero","intercept[42]",1.34422155399438
1,"allwalls_nozero","intercept[43]",1.12623802548206
1,"allwalls_nozero","intercept[44]",1.04139757283795
1,"allwalls_nozero","intercept[45]",1.01476526810801
1,"allwalls_nozero","intercept[46]",1.18965586673508
1,"allwalls_nozero","intercept[47]",1.07712978882459
1,"allwalls_nozero","intercept[48]",1.14269971189701
1,"allwalls_nozero","intercept[49]",1.1373536183674
1,"allwalls_nozero","intercept0",1.10703816283209
1,"allwalls_nozero","scaling[1]",-0.936663913844512
1,"allwalls_nozero","scaling[2]",-0.899001504516965
1,"allwalls_nozero","scaling[3]",-0.92620505087202
1,"allwalls_nozero","scaling[4]",-0.840106952579752
1,"allwalls_nozero","scaling[5]",-0.921321054857264
1,"allwalls_nozero","scaling[6]",-0.994780890903077
1,"allwalls_nozero","scaling[7]",-0.871548288734133
1,"allwalls_nozero","scaling[8]",-0.780132860436736
1,"allwalls_nozero","scaling[9]",-0.830003988887328
1,"allwalls_nozero","scaling[10]",-0.856945729672759
1,"allwalls_nozero","scaling[11]",-0.95080266579767
1,"allwalls_nozero","scaling[12]",-0.887394609976032
1,"allwalls_nozero","scaling[13]",-1.05990853433122
1,"allwalls_nozero","scaling[14]",-0.967002833687288
1,"allwalls_nozero","scaling[15]",-0.699614750774765
1,"allwalls_nozero","scaling[16]",-0.905656938955679
1,"allwalls_nozero","scaling[17]",-0.913331604520152
1,"allwalls_nozero","scaling[18]",-0.929898552663528
1,"allwalls_nozero","scaling[19]",-1.16985744193671
1,"allwalls_nozero","scaling[20]",-0.798770589587907
1,"allwalls_nozero","scaling[21]",-0.86420172770834
1,"allwalls_nozero","scaling[22]",-0.842893663392412
1,"allwalls_nozero","scaling[23]",-0.909128116660744
1,"allwalls_nozero","scaling[24]",-0.872382896767438
1,"allwalls_nozero","scaling[25]",-1.04644791469777
1,"allwalls_nozero","scaling[26]",-0.969766416829739
1,"allwalls_nozero","scaling[27]",-0.907497566901853
1,"allwalls_nozero","scaling[28]",-0.844996778681537
1,"allwalls_nozero","scaling[29]",-0.870046223779933
1,"allwalls_nozero","scaling[30]",-0.907074795065234
1,"allwalls_nozero","scaling[31]",-0.94383550644411
1,"allwalls_nozero","scaling[32]",-0.975574931170566
1,"allwalls_nozero","scaling[33]",-0.849733763431469
1,"allwalls_nozero","scaling[34]",-0.959374412104675
1,"allwalls_nozero","scaling[35]",-1.12240259886906
1,"allwalls_nozero","scaling[36]",-1.03724547691111
1,"allwalls_nozero","scaling[37]",-0.947094827468681
1,"allwalls_nozero","scaling[38]",-1.11229332060191
1,"allwalls_nozero","scaling[39]",-0.857051716603533
1,"allwalls_nozero","scaling[40]",-0.802938083576882
1,"allwalls_nozero","scaling[41]",-0.964976780776455
1,"allwalls_nozero","scaling[42]",-0.999046758265314
1,"allwalls_nozero","scaling[43]",-0.972502400971508
1,"allwalls_nozero","scaling[44]",-0.910041869074726
1,"allwalls_nozero","scaling[45]",-0.973913478077363
1,"allwalls_nozero","scaling[46]",-1.00962140887472
1,"allwalls_nozero","scaling[47]",-0.987990591816038
1,"allwalls_nozero","scaling[48]",-0.977394503722894
1,"allwalls_nozero","scaling[49]",-0.912666315824836
1,"allwalls_nozero","scaling0",-0.923986157251979
1,"allwalls_nozero","sd0",1.17098883667849
1,"allwalls_nozero","sd1",-0.750539925779598
1,"allwalls_nozero","sigma_pop",0.687635447533679
1,"allwalls_nozero","size",1.59048124826677
2,"allwalls_nozero","b0",-0.50353399320942
2,"allwalls_nozero","b1",0.283293465192788
2,"allwalls_nozero","intercept[1]",0.79825097761967
2,"allwalls_nozero","intercept[2]",0.98296022928889
2,"allwalls_nozero","intercept[3]",0.920191007630114
2,"allwalls_nozero","intercept[4]",0.912401001493007
2,"allwalls_nozero","intercept[5]",0.556152130502808
2,"allwalls_nozero","intercept[6]",0.865406631687663
2,"allwalls_nozero","intercept[7]",0.954190613603563
2,"allwalls_nozero","intercept[8]",1.0490084401116
2,"allwalls_nozero","intercept[9]",0.867378927146273
2,"allwalls_nozero","intercept[10]",0.881302534683916
2,"allwalls_nozero","intercept[11]",0.934053107178265
2,"allwalls_nozero","intercept[12]",0.937111373476377
2,"allwalls_nozero","intercept[13]",0.580813545055148
2,"allwalls_nozero","intercept[14]",0.899481750478902
2,"allwalls_nozero","intercept[15]",1.20062698133629
2,"allwalls_nozero","intercept[16]",0.964094021523564
2,"allwalls_nozero","intercept[17]",0.812619775394492
