"chain","model","parameter","z"
1,"epigraphy","b0",1.01591004747302
1,"epigraphy","b1",-1.11176970671622
1,"epigraphy","intercept[1]",-1.8512178602952
1,"epigraphy","intercept[2]",-1.56865199926421
1,"epigraphy","intercept[3]",-1.20607219526036
1,"epigraphy","intercept[4]",-1.37076920279304
1,"epigraphy","intercept[5]",-0.780099480057314
1,"epigraphy","intercept[6]",-0.0488651102267189
1,"epigraphy","intercept[7]",-1.89178610469765
1,"epigraphy","intercept[8]",-1.697910244926
1,"epigraphy","intercept[9]",-0.626786552359695
1,"epigraphy","intercept[10]",-1.28136177023702
1,"epigraphy","intercept[11]",0.664267827225199
1,"epigraphy","intercept[12]",-0.401031315549202
1,"epigraphy","intercept[13]",-1.56903953785739
1,"epigraphy","intercept[14]",-1.18359635392542
1,"epigraphy","intercept[15]",-1.30267188041084
1,"epigraphy","intercept[16]",-0.2846977927259
1,"epigraphy","intercept[17]",0.526421257829736
1,"epigraphy","intercept[18]",-1.61906408195838
1,"epigraphy","intercept[19]",-1.9330132978222
1,"epigraphy","intercept[20]",-1.49492273282384
1,"epigraphy","intercept[21]",-1.54932592221023
1,"epigraphy","intercept[22]",-0.330723185817858
1,"epigraphy","intercept[23]",-0.0286403554289526
1,"epigraphy","intercept[24]",-0.48931542389134
1,"epigraphy","intercept[25]",-1.13882662453103
1,"epigraphy","intercept[26]",-1.07438804778238
1,"epigraphy","intercept[27]",-1.44658366660488
1,"epigraphy","intercept[28]",-0.859571587612932
1,"epigraphy","intercept[29]",-1.94415170783742
1,"epigraphy","intercept[30]",-1.74033098359075
1,"epigraphy","intercept[31]",-1.65140950241798
1,"epigraphy","intercept[32]",-1.86950179497042
1,"epigraphy","intercept[33]",-1.71359098751119
1,"epigraphy","intercept[34]",-1.44895563727778
1,"epigraphy","intercept[35]",-1.21647849510929
1,"epigraphy","intercept[36]",-1.09768828671097
1,"epigraphy","intercept[37]",-1.27602519163577
1,"epigraphy","intercept[38]",-0.520714736438508
1,"epigraphy","intercept[39]",-0.48034153418417
1,"epigraphy","intercept[40]",-1.31331972244606
1,"epigraphy","intercept[41]",0.0711530290552954
1,"epigraphy","intercept[42]",-0.679746863351335
1,"epigraphy","intercept[43]",-0.186238762121092
1,"epigraphy","intercept[44]",-0.178715831802931
1,"epigraphy","intercept[45]",-0.463917870823817
1,"epigraphy","intercept[46]",-0.033770351417963
1,"epigraphy","intercept[47]",-1.08675652123932
1,"epigraphy","intercept[48]",-1.81375945680567
1,"epigraphy","intercept[49]",-1.45884142806573
1,"epigraphy","intercept[50]",-1.37173562852348
1,"epigraphy","intercept[51]",-0.887759259835261
1,"epigraphy","intercept0",-1.24020241189271
1,"epigraphy","scaling[1]",2.12098540742171
1,"epigraphy","scaling[2]",1.33820156783587
