"chain","model","parameter","z"
1,"epigraphy_linlog","b0",2.44750414376503
1,"epigraphy_linlog","b1",-2.60660843783051
1,"epigraphy_linlog","intercept[1]",-0.0430092459184637
1,"epigraphy_linlog","intercept[2]",-0.353586211774552
1,"epigraphy_linlog","intercept[3]",-1.09484731625074
1,"epigraphy_linlog","intercept[4]",-1.31822779289432
1,"epigraphy_linlog","intercept[5]",-1.20445252276929
1,"epigraphy_linlog","intercept[6]",-0.866591581789649
1,"epigraphy_linlog","intercept[7]",-1.98895892691929
1,"epigraphy_linlog","intercept[8]",-1.03088623733885
1,"epigraphy_linlog","intercept[9]",-1.36410646658766
1,"epigraphy_linlog","intercept[10]",-1.08370695539287
1,"epigraphy_linlog","intercept[11]",-0.819671115368609
1,"epigraphy_linlog","intercept[12]",-1.13788769787002
1,"epigraphy_linlog","intercept[13]",-0.7141749574066
1,"epigraphy_linlog","intercept[14]",-1.35163680137334
1,"epigraphy_linlog","intercept[15]",-0.942624046646057
1,"epigraphy_linlog","intercept[16]",-1.44360253099897
1,"epigraphy_linlog","intercept[17]",-1.69818621875803
1,"epigraphy_linlog","intercept[18]",-0.955904865647708
1,"epigraphy_linlog","intercept[19]",-1.07030327165513
1,"epigraphy_linlog","intercept[20]",-1.00113938652896
1,"epigraphy_linlog","intercept[21]",-0.980976591400042
1,"epigraphy_linlog","intercept[22]",-2.06139839779947
1,"epigraphy_linlog","intercept[23]",-1.93217703653107
1,"epigraphy_linlog","intercept[24]",-0.391204752377592
1,"epigraphy_linlog","intercept[25]",-1.00750489613061
1,"epigraphy_linlog","intercept[26]",-1.03747932863121
1,"epigraphy_linlog","intercept[27]",-1.74797024201443
1,"epigraphy_linlog","intercept[28]",-1.95480204906199
1,"epigraphy_linlog","intercept[29]",-0.934036685637073
1,"epigraphy_linlog","intercept[30]",-1.07760025238524
1,"epigraphy_linlog","intercept[31]",-0.682109912149343
1,"epigraphy_linlog","intercept[32]",-0.747931254955499
1,"epigraphy_linlog","intercept[33]",-0.805844050070542
1,"epigraphy_linlog","intercept[34]",-0.585170621954322
1,"epigraphy_linlog","intercept[35]",-1.20675816654854
1,"epigraphy_linlog","intercept[36]",-1.68961428668014
1,"epigraphy_linlog","intercept[37]",-1.28817933844179
1,"epigraphy_linlog","intercept[38]",-1.66345474083799
1,"epigraphy_linlog","intercept[39]",-1.50718271989941
1,"epigraphy_linlog","intercept[40]",-0.945391129086735
1,"epigraphy_linlog","intercept[41]",-1.4116994304286
1,"epigraphy_linlog","intercept[42]",-1.44099486278359
1,"epigraphy_linlog","intercept[43]",-0.996557892794394
1,"epigraphy_linlog","intercept[44]",-1.39221521702664
1,"epigraphy_linlog","intercept[45]",-1.95557884981569
1,"epigraphy_linlog","intercept[46]",-1.15536446829432
1,"epigraphy_linlog","intercept[47]",-0.347126495846744
1,"epigraphy_linlog","intercept[48]",-1.94805674549975
1,"epigraphy_linlog","intercept[49]",-0.500264334224353
1,"epigraphy_linlog","intercept[50]",-1.41644049569851
1,"epigraphy_linlog","intercept[51]",-1.11031137256621
1,"epigraphy_linlog","intercept0",-1.21689381356056
