"chain","model","parameter","z"
1,"epigraphy_nozero","b0",1.56366466240861
1,"epigraphy_nozero","b1",-1.7387497004164
1,"epigraphy_nozero","intercept[1]",-1.20798367257332
1,"epigraphy_nozero","intercept[2]",-1.33863373820289
1,"epigraphy_nozero","intercept[3]",-1.10422223644453
1,"epigraphy_nozero","intercept[4]",-1.22639651991864
1,"epigraphy_nozero","intercept[5]",-1.31314376597857
1,"epigraphy_nozero","intercept[6]",-1.02280547317234
1,"epigraphy_nozero","intercept[7]",-0.866170344223533
1,"epigraphy_nozero","intercept[8]",-1.17178315396842
1,"epigraphy_nozero","intercept[9]",-1.2568827033268
1,"epigraphy_nozero","intercept[10]",-0.989502208277888
1,"epigraphy_nozero","intercept[11]",-1.25890106839001
1,"epigraphy_nozero","intercept[12]",-0.932966624920817
1,"epigraphy_nozero","intercept[13]",-0.973728639172774
1,"epigraphy_nozero","intercept[14]",-0.796895112234304
1,"epigraphy_nozero","intercept[15]",-0.949051081707731
1,"epigraphy_nozero","intercept[16]",-1.29150370745979
1,"epigraphy_nozero","intercept[17]",-1.22244686031054
1,"epigraphy_nozero","intercept[18]",-1.18407562282852
1,"epigraphy_nozero","intercept[19]",-1.02273193161691
1,"epigraphy_nozero","intercept[20]",-1.12678587759878
1,"epigraphy_nozero","intercept[21]",-1.09959381990431
1,"epigraphy_nozero","intercept[22]",-1.01271266281041
1,"epigraphy_nozero","intercept[23]",-1.05759547044102
1,"epigraphy_nozero","intercept[24]",-1.09349240653333
1,"epigraphy_nozero","intercept[25]",-0.96534238276274
1,"epigraphy_nozero","intercept[26]",-0.881683029535723
1,"epigraphy_nozero","intercept[27]",-1.41362959739442
1,"epigraphy_nozero","intercept[28]",-1.44188125255643
1,"epigraphy_nozero","intercept[29]",-1.07930258746211
1,"epigraphy_nozero","intercept[30]",-1.10982186157803
1,"epigraphy_nozero","intercept[31]",-1.42169174633155
1,"epigraphy_nozero","intercept[32]",-0.897431015524777
1,"epigraphy_nozero","intercept[33]",-1.00500563649566
1,"epigraphy_nozero","intercept[34]",-1.04673406545604
1,"epigraphy_nozero","intercept[35]",-1.35927206896892
1,"epigraphy_nozero","intercept[36]",-1.01273275881553
1,"epigraphy_nozero","intercept[37]",-1.07528714297799
1,"epigraphy_nozero","intercept[38]",-1.00788673823268
1,"epigraphy_nozero","intercept[39]",-0.628324738919633
1,"epigraphy_nozero","intercept[40]",-0.866283105512177
1,"epigraphy_nozero","intercept[41]",-1.18474586225772
1,"epigraphy_nozero","intercept[42]",-1.12635538830618
1,"epigraphy_nozero","intercept[43]",-1.37713380019805
1,"epigraphy_nozero","intercept[44]",-0.852408139725936
1,"epigraphy_nozero","intercept[45]",-1.32794255019173
1,"epigraphy_nozero","intercept[46]",-1.01516196154524
1,"epigraphy_nozero","intercept[47]",-1.04668583530949
1,"epigraphy_nozero","intercept[48]",-1.10796701717737
1,"epigraphy_nozero","intercept[49]",-1.31426534137537
1,"epigraphy_nozero","intercept[50]",-1.16137540170701
1,"epigraphy_nozero","intercept0",-1.17735371847986
1,"epigraphy_nozero","scaling[1]",0.95393950361952
1,"epigraphy_nozero","scaling[2]",1.2651007945296
1,"epigraphy_nozero","scaling[3]",1.00626946197358
1,"epigraphy_nozero","scaling[4]",0.797789913267324
1,"epigraphy_nozero","scaling[5]",1.44180323556617
1,"epigraphy_nozero","scaling[6]",1.13410396098509
1,"epigraphy_nozero","scaling[7]",0.543769361717513
1,"epigraphy_nozero","scaling[8]",1.10546516085581
1,"epigraphy_nozero","scaling[9]",1.15629941259543
1,"epigraphy_nozero","scaling[10]",0.578505216806626
1,"epigraphy_nozero","scaling[11]",0.797336438599035
1,"epigraphy_nozero","scaling[12]",0.306557599190168
1,"epigraphy_nozero","scaling[13]",1.30409066292279
1,"epigraphy_nozero","scaling[14]",0.879903910679939
1,"epigraphy_nozero","scaling[15]",0.879507056772905
1,"epigraphy_nozero","scaling[16]",0.902994118961799
1,"epigraphy_nozero","scaling[17]",1.33347064766472
1,"epigraphy_nozero","scaling[18]",0.928501858504269
1,"epigraphy_nozero","scaling[19]",0.824520753353987
1,"epigraphy_nozero","scaling[20]",0.82661270568695
1,"epigraphy_nozero","scaling[21]",0.595914417596019
1,"epigraphy_nozero","scaling[22]",0.791378980137336
1,"epigraphy_nozero","scaling[23]",1.27576847174429
1,"epigraphy_nozero","scaling[24]",0.998330235288398
1,"epigraphy_nozero","scaling[25]",0.989364933908318
1,"epigraphy_nozero","scaling[26]",1.1796713096833
1,"epigraphy_nozero","scaling[27]",1.56273812898574
1,"epigraphy_nozero","scaling[28]",1.01353949767073
1,"epigraphy_nozero","scaling[29]",0.935669541916497
1,"epigraphy_nozero","scaling[30]",0.743111384788869
1,"epigraphy_nozero","scaling[31]",1.14475061418546
1,"epigraphy_nozero","scaling[32]",0.686070718852056
1,"epigraphy_nozero","scaling[33]",1.05693836419166
1,"epigraphy_nozero","scaling[34]",1.24962093022284
1,"epigraphy_nozero","scaling[35]",0.879556378414285
1,"epigraphy_nozero","scaling[36]",1.02404714226942
1,"epigraphy_nozero","scaling[37]",1.48843886325962
1,"epigraphy_nozero","scaling[38]",0.974057881343549
1,"epigraphy_nozero","scaling[39]",0.587503822432319
1,"epigraphy_nozero","scaling[40]",0.548102007556645
1,"epigraphy_nozero","scaling[41]",0.949312478794347
1,"epigraphy_nozero","scaling[42]",0.659456066042309
1,"epigraphy_nozero","scaling[43]",1.36367247741028
1,"epigraphy_nozero","scaling[44]",0.850145199921362
1,"epigraphy_nozero","scaling[45]",0.737811994278
1,"epigraphy_nozero","scaling[46]",1.08309789432586
1,"epigraphy_nozero","scaling[47]",0.53105625230525
1,"epigraphy_nozero","scaling[48]",0.970599967475115
1,"epigraphy_nozero","scaling[49]",0.585940382053275
1,"epigraphy_nozero","scaling[50]",1.07861664403385
1,"epigraphy_nozero","scaling0",0.971438814990913
1,"epigraphy_nozero","sd0",-0.171209751766717
1,"epigraphy_nozero","sd1",0.0642780130559133
1,"epigraphy_nozero","sigma_pop",0.72850559312467
1,"epigraphy_nozero","size",0.776247888045881
2,"epigraphy_nozero","b0",-0.85387333253551
2,"epigraphy_nozero","b1",0.769964223410164
2,"epigraphy_nozero","intercept[1]",0.757106206904866
2,"epigraphy_nozero","intercept[2]",1.03524391090066
2,"epigraphy_nozero","intercept[3]",1.10682093371428
2,"epigraphy_nozero","intercept[4]",1.02604176976737
2,"epigraphy_nozero","intercept[5]",0.871729658687197
2,"epigraphy_nozero","intercept[6]",1.04439222778074
2,"epigraphy_nozero","intercept[7]",0.800538257758806
2,"epigraphy_nozero","intercept[8]",0.957290818192286
2,"epigraphy_nozero","intercept[9]",0.959658933971401
2,"epigraphy_nozero","intercept[10]",1.31890947814615
2,"epigraphy_nozero","intercept[11]",0.814508263721618
2,"epigraphy_nozero","intercept[12]",0.906469076488254
2,"epigraphy_nozero","intercept[13]",0.542863730659662
2,"epigraphy_nozero","intercept[14]",1.16088915572674
2,"epigraphy_nozero","intercept[15]",0.840809508860098
2,"epigraphy_nozero","intercept[16]",0.778351991734514
2,"epigraphy_nozero","intercept[17]",1.0490788316102
2,"epigraphy_nozero","intercept[18]",1.03931472064429
2,"epigraphy_nozero","intercept[19]",1.13844017592239
2,"epigraphy_nozero","intercept[20]",1.02800335198025
2,"epigraphy_nozero","intercept[21]",0.857717295517857
2,"epigraphy_nozero","intercept[22]",0.625570253158595
2,"epigraphy_nozero","intercept[23]",0.794979835128498
2,"epigraphy_nozero","intercept[24]",1.06667883700379
2,"epigraphy_nozero","intercept[25]",0.879354295189412
2,"epigraphy_nozero","intercept[26]",0.754829483177114
2,"epigraphy_nozero","intercept[27]",0.865947665385999
2,"epigraphy_nozero","intercept[28]",0.838906474877519
2,"epigraphy_nozero","intercept[29]",1.32414941581197
2,"epigraphy_nozero","intercept[30]",1.05244825943001
2,"epigraphy_nozero","intercept[31]",0.94043756686363
2,"epigraphy_nozero","intercept[32]",1.05077905169633
2,"epigraphy_nozero","intercept[33]",1.24183160943571
2,"epigraphy_nozero","intercept[34]",1.01183999771865
2,"epigraphy_nozero","intercept[35]",1.11709432582342
2,"epigraphy_nozero","intercept[36]",0.599686318112517
2,"epigraphy_nozero","intercept[37]",0.519274424232656
2,"epigraphy_nozero","intercept[38]",1.11608961549694
2,"epigraphy_nozero","intercept[39]",0.828592766584159
2,"epigraphy_nozero","intercept[40]",0.856339213829473
2,"epigraphy_nozero","intercept[41]",0.920516857318071
2,"epigraphy_nozero","intercept[42]",1.02147692377503
2,"epigraphy_nozero","intercept[43]",0.840226459719512
2,"epigraphy_nozero","intercept[44]",1.02396188037938
2,"epigraphy_nozero","intercept[45]",0.64411475835463
2,"epigraphy_nozero","intercept[46]",1.06728186867993
2,"epigraphy_nozero","intercept[47]",0.916014067254463
2,"epigraphy_nozero","intercept[48]",0.870541682938725
2,"epigraphy_nozero","intercept[49]",1.04336671313082
2,"epigraphy_nozero","intercept[50]",1.20400208388545
2,"epigraphy_nozero","intercept0",0.992341433507535
2,"epigraphy_nozero","scaling[1]",-0.951394816657173
2,"epigraphy_nozero","scaling[2]",-0.584308195355408
2,"epigraphy_nozero","scaling[3]",-0.997805753842572
2,"epigraphy_nozero","scaling[4]",-0.261970601615094
2,"epigraphy_nozero","scaling[5]",-0.745813050586192
2,"epigraphy_nozero","scaling[6]",-0.416031741846351
2,"epigraphy_nozero","scaling[7]",-0.861091417595886
2,"epigraphy_nozero","scaling[8]",-1.00949763590024
2,"epigraphy_nozero","scaling[9]",-1.39637612213766
2,"epigraphy_nozero","scaling[10]",-1.30852990200746
2,"epigraphy_nozero","scaling[11]",-0.815899217018806
2,"epigraphy_nozero","scaling[12]",-0.907635203148744
2,"epigraphy_nozero","scaling[13]",-1.07854361791641
2,"epigraphy_nozero","scaling[14]",-1.32823696152322
2,"epigraphy_nozero","scaling[15]",-1.03655601998325
2,"epigraphy_nozero","scaling[16]",-0.624647596165327
2,"epigraphy_nozero","scaling[17]",-0.886196817634535
2,"epigraphy_nozero","scaling[18]",-0.948594530421593
2,"epigraphy_nozero","scaling[19]",-1.48609684887623
2,"epigraphy_nozero","scaling[20]",-0.992401839148945
2,"epigraphy_nozero","scaling[21]",-0.72974190723858
2,"epigraphy_nozero","scaling[22]",-0.653747533827687
2,"epigraphy_nozero","scaling[23]",-0.623528432751766
2,"epigraphy_nozero","scaling[24]",-0.959586184206297
2,"epigraphy_nozero","scaling[25]",-0.590118088780733
2,"epigraphy_nozero","scaling[26]",-1.22648986184712
2,"epigraphy_nozero","scaling[27]",-1.14983925709606
2,"epigraphy_nozero","scaling[28]",-1.21674645974752
2,"epigraphy_nozero","scaling[29]",-1.22994621904928
2,"epigraphy_nozero","scaling[30]",-0.901670196333482
2,"epigraphy_nozero","scaling[31]",-1.11865494704216
2,"epigraphy_nozero","scaling[32]",-1.130144549906
2,"epigraphy_nozero","scaling[33]",-1.19532375385012
2,"epigraphy_nozero","scaling[34]",-0.756975750325015
2,"epigraphy_nozero","scaling[35]",-1.07653079074767
2,"epigraphy_nozero","scaling[36]",-1.10304508062635
2,"epigraphy_nozero","scaling[37]",-0.548775835086879
2,"epigraphy_nozero","scaling[38]",-0.83806204295777
2,"epigraphy_nozero","scaling[39]",-0.803426527212249
2,"epigraphy_nozero","scaling[40]",-0.748794053929962
2,"epigraphy_nozero","scaling[41]",-0.994372142567751
2,"epigraphy_nozero","scaling[42]",-0.958826393202047
2,"epigraphy_nozero","scaling[43]",-0.645441810779698
2,"epigraphy_nozero","scaling[44]",-0.8432496758321
2,"epigraphy_nozero","scaling[45]",-0.621910268619176
2,"epigraphy_nozero","scaling[46]",-0.894571943305361
2,"epigraphy_nozero","scaling[47]",-1.39471522655437
2,"epigraphy_nozero","scaling[48]",-0.876902758727207
2,"epigraphy_nozero","scaling[49]",-0.55654545663631
2,"epigraphy_nozero","scaling[50]",-1.26768005554586
2,"epigraphy_nozero","scaling0",-0.896037050716907
2,"epigraphy_nozero","sd0",-0.124483390814754
2,"epigraphy_nozero","sd1",0.358565696576139
2,"epigraphy_nozero","sigma_pop",0.299779658808116
2,"epigraphy_nozero","size",-0.138840984365805
3,"epigraphy_nozero","b0",-0.686234846901619
3,"epigraphy_nozero","b1",0.742728974883701
3,"epigraphy_nozero","intercept[1]",0.914986603619218
3,"epigraphy_nozero","intercept[2]",0.252197444634281
3,"epigraphy_nozero","intercept[3]",0.454958071109631
3,"epigraphy_nozero","intercept[4]",0.386182437794126
3,"epigraphy_nozero","intercept[5]",0.887365137429125
3,"epigraphy_nozero","intercept[6]",1.05196801872246
3,"epigraphy_nozero","intercept[7]",0.317461720281281
3,"epigraphy_nozero","intercept[8]",0.271756109330369
3,"epigraphy_nozero","intercept[9]",0.610927263190329
3,"epigraphy_nozero","intercept[10]",0.0336573060503414
3,"epigraphy_nozero","intercept[11]",1.40603882216971
3,"epigraphy_nozero","intercept[12]",0.489664249481045
3,"epigraphy_nozero","intercept[13]",0.585038680899885
3,"epigraphy_nozero","intercept[14]",0.0349290526435966
3,"epigraphy_nozero","intercept[15]",1.10577374670819
3,"epigraphy_nozero","intercept[16]",1.39162645902211
3,"epigraphy_nozero","intercept[17]",0.323168838805761
3,"epigraphy_nozero","intercept[18]",0.751824332472386
3,"epigraphy_nozero","intercept[19]",0.0367230806521872
3,"epigraphy_nozero","intercept[20]",-0.0887871981846839
3,"epigraphy_nozero","intercept[21]",0.969883989261227
