"chain","model","parameter","z"
1,"filtmonuments","b0",-0.3454262005057
1,"filtmonuments","b1",0.130241257091939
1,"filtmonuments","intercept[1]",0.119387791500732
1,"filtmonuments","intercept[2]",0.831000496952325
1,"filtmonuments","intercept[3]",0.198801310016363
1,"filtmonuments","intercept[4]",-0.104805019301012
1,"filtmonuments","intercept[5]",0.226881417733604
1,"filtmonuments","intercept[6]",0.243948578908347
1,"filtmonuments","intercept[7]",0.120972194446323
1,"filtmonuments","intercept[8]",0.512390738177027
1,"filtmonuments","intercept[9]",0.607322516782969
1,"filtmonuments","intercept[10]",0.305300084025336
1,"filtmonuments","intercept[11]",0.11688950982284
1,"filtmonuments","intercept[12]",0.273421853169417
1,"filtmonuments","intercept[13]",0.374773227057772
1,"filtmonuments","intercept[14]",0.192608721689566
1,"filtmonuments","intercept[15]",0.277335142255914
1,"filtmonuments","intercept[16]",0.239905795829449
1,"filtmonuments","intercept[17]",0.235942339390203
1,"filtmonuments","intercept[18]",0.289086081124008
1,"filtmonuments","intercept[19]",0.512242649950459
1,"filtmonuments","intercept[20]",0.255517849719004
1,"filtmonuments","intercept[21]",0.0939112977651019
1,"filtmonuments","intercept[22]",0.403236591721223
1,"filtmonuments","intercept[23]",0.439530543289492
1,"filtmonuments","intercept[24]",0.508312547110943
1,"filtmonuments","intercept[25]",0.290565152454095
1,"filtmonuments","intercept[26]",0.16281444561488
1,"filtmonuments","intercept[27]",0.339104262049842
1,"filtmonuments","intercept[28]",0.416712065536664
1,"filtmonuments","intercept[29]",0.644915323829179
1,"filtmonuments","intercept[30]",0.505006444252924
1,"filtmonuments","intercept[31]",0.345317947122106
1,"filtmonuments","intercept[32]",0.247122896401778
1,"filtmonuments","intercept[33]",0.246059366040053
1,"filtmonuments","intercept[34]",0.26022928692007
1,"filtmonuments","intercept[35]",0.0470282904782473
1,"filtmonuments","intercept[36]",0.279340993010795
1,"filtmonuments","intercept[37]",0.237446897363342
1,"filtmonuments","intercept[38]",0.369625528263591
1,"filtmonuments","intercept[39]",0.130323532993015
1,"filtmonuments","intercept[40]",0.090415541161261
1,"filtmonuments","intercept[41]",0.122847777085196
1,"filtmonuments","intercept[42]",0.356558705735337
1,"filtmonuments","intercept[43]",0.281455311702845
1,"filtmonuments","intercept[44]",0.0883424958786871
1,"filtmonuments","intercept[45]",0.456080094925769
1,"filtmonuments","intercept[46]",0.319197471812732
