"chain","model","parameter","z"
1,"filtmonuments_loglin","b0",0.187588567756818
1,"filtmonuments_loglin","b1",-0.24675949399433
1,"filtmonuments_loglin","intercept[1]",0.26101263196984
1,"filtmonuments_loglin","intercept[2]",-0.349799608952854
1,"filtmonuments_loglin","intercept[3]",0.295429928451754
1,"filtmonuments_loglin","intercept[4]",0.181294430714612
1,"filtmonuments_loglin","intercept[5]",0.282204523777789
1,"filtmonuments_loglin","intercept[6]",0.197808935585948
1,"filtmonuments_loglin","intercept[7]",0.130389621253307
1,"filtmonuments_loglin","intercept[8]",0.265191536975556
1,"filtmonuments_loglin","intercept[9]",-0.478746715550434
1,"filtmonuments_loglin","intercept[10]",0.0843478620999156
1,"filtmonuments_loglin","intercept[11]",0.257525355178896
1,"filtmonuments_loglin","intercept[12]",0.386235530071138
1,"filtmonuments_loglin","intercept[13]",0.118514737895002
1,"filtmonuments_loglin","intercept[14]",0.0817162190525346
1,"filtmonuments_loglin","intercept[15]",0.336050441829007
1,"filtmonuments_loglin","intercept[16]",0.0250206361246448
1,"filtmonuments_loglin","intercept[17]",-0.1724491691743
1,"filtmonuments_loglin","intercept[18]",-0.254425849421852
1,"filtmonuments_loglin","intercept[19]",0.16398755555275
1,"filtmonuments_loglin","intercept[20]",0.0293469364763963
1,"filtmonuments_loglin","intercept[21]",0.254844664824953
1,"filtmonuments_loglin","intercept[22]",0.0905989546445435
1,"filtmonuments_loglin","intercept[23]",-0.0139868845624661
1,"filtmonuments_loglin","intercept[24]",-0.039077513903462
1,"filtmonuments_loglin","intercept[25]",0.0243597799405758
1,"filtmonuments_loglin","intercept[26]",-0.116234838308157
1,"filtmonuments_loglin","intercept[27]",-0.0526033471451618
1,"filtmonuments_loglin","intercept[28]",-0.25617854403358
1,"filtmonuments_loglin","intercept[29]",-0.0470320578728093
1,"filtmonuments_loglin","intercept[30]",-0.108720316683707
1,"filtmonuments_loglin","intercept[31]",-0.169887163751828
1,"filtmonuments_loglin","intercept[32]",-0.283106241720706
1,"filtmonuments_loglin","intercept[33]",0.0474409608064464
1,"filtmonuments_loglin","intercept[34]",-0.249623075803745
1,"filtmonuments_loglin","intercept[35]",-0.102786794121835
1,"filtmonuments_loglin","intercept[36]",0.231465446456897
1,"filtmonuments_loglin","intercept[37]",0.37978641319873
1,"filtmonuments_loglin","intercept[38]",0.372051912987141
1,"filtmonuments_loglin","intercept[39]",0.137000926013708
1,"filtmonuments_loglin","intercept[40]",0.234142008325895
1,"filtmonuments_loglin","intercept[41]",0.485618870691002
1,"filtmonuments_loglin","intercept[42]",-0.461891541351125
1,"filtmonuments_loglin","intercept[43]",-0.0523160797107644
1,"filtmonuments_loglin","intercept[44]",0.353770998068623
1,"filtmonuments_loglin","intercept[45]",0.394766854574165
1,"filtmonuments_loglin","intercept[46]",-0.141119276812207
1,"filtmonuments_loglin","intercept[47]",0.0162015885471512
1,"filtmonuments_loglin","intercept[48]",0.197507036455644
1,"filtmonuments_loglin","intercept[49]",0.11140751805755
1,"filtmonuments_loglin","intercept[50]",-0.0328050066943265
1,"filtmonuments_loglin","intercept[51]",0.0348934549833125
1,"filtmonuments_loglin","intercept0",0.113067366934314
1,"filtmonuments_loglin","scaling[1]",-0.236623096319449
1,"filtmonuments_loglin","scaling[2]",0.561913199158151
1,"filtmonuments_loglin","scaling[3]",-0.313609499513713
1,"filtmonuments_loglin","scaling[4]",-0.160726666158638
1,"filtmonuments_loglin","scaling[5]",-0.436168559891964
1,"filtmonuments_loglin","scaling[6]",-0.161067252354588
1,"filtmonuments_loglin","scaling[7]",-0.459905967847491
1,"filtmonuments_loglin","scaling[8]",-0.187404445036661
1,"filtmonuments_loglin","scaling[9]",0.662495268613292
1,"filtmonuments_loglin","scaling[10]",-0.12957655929866
1,"filtmonuments_loglin","scaling[11]",-0.463306485942288
1,"filtmonuments_loglin","scaling[12]",-0.737963558169797
1,"filtmonuments_loglin","scaling[13]",-0.296720428913925
1,"filtmonuments_loglin","scaling[14]",-0.273413269256671
1,"filtmonuments_loglin","scaling[15]",-0.221306106470646
1,"filtmonuments_loglin","scaling[16]",0.0892928281877928
1,"filtmonuments_loglin","scaling[17]",0.234990853998231
1,"filtmonuments_loglin","scaling[18]",0.141232256609513
1,"filtmonuments_loglin","scaling[19]",-0.04074240063094
1,"filtmonuments_loglin","scaling[20]",0.146204915366809
1,"filtmonuments_loglin","scaling[21]",-0.197521824203821
1,"filtmonuments_loglin","scaling[22]",0.444644968858397
1,"filtmonuments_loglin","scaling[23]",0.129529644025767
1,"filtmonuments_loglin","scaling[24]",-0.0609973757511215
1,"filtmonuments_loglin","scaling[25]",0.0854957255989959
1,"filtmonuments_loglin","scaling[26]",0.388863765522194
1,"filtmonuments_loglin","scaling[27]",-0.192313459242258
1,"filtmonuments_loglin","scaling[28]",0.465198373496156
1,"filtmonuments_loglin","scaling[29]",0.238108851613182
1,"filtmonuments_loglin","scaling[30]",0.0920447374931716
1,"filtmonuments_loglin","scaling[31]",0.260825062345496
1,"filtmonuments_loglin","scaling[32]",0.00786735139572003
1,"filtmonuments_loglin","scaling[33]",-0.173952345305919
1,"filtmonuments_loglin","scaling[34]",0.475684896673899
1,"filtmonuments_loglin","scaling[35]",-0.0174102488352069
1,"filtmonuments_loglin","scaling[36]",-0.314282073333367
1,"filtmonuments_loglin","scaling[37]",-0.306822970705243
1,"filtmonuments_loglin","scaling[38]",-0.303417775472048
1,"filtmonuments_loglin","scaling[39]",-0.247522965360415
1,"filtmonuments_loglin","scaling[40]",-0.276233565910498
1,"filtmonuments_loglin","scaling[41]",-0.710113271803729
1,"filtmonuments_loglin","scaling[42]",0.430859506064021
1,"filtmonuments_loglin","scaling[43]",0.429009529323642
1,"filtmonuments_loglin","scaling[44]",-0.51902897014656
1,"filtmonuments_loglin","scaling[45]",-0.129689316128523
1,"filtmonuments_loglin","scaling[46]",0.281742717542514
1,"filtmonuments_loglin","scaling[47]",0.257661369768108
1,"filtmonuments_loglin","scaling[48]",-0.194818692724892
1,"filtmonuments_loglin","scaling[49]",-0.137256806671324
1,"filtmonuments_loglin","scaling[50]",-0.0418406802638583
1,"filtmonuments_loglin","scaling[51]",-0.0303267328532705
1,"filtmonuments_loglin","scaling0",-0.0727936890838107
1,"filtmonuments_loglin","sd0",0.695053182904211
1,"filtmonuments_loglin","sd1",-0.454912050717009
1,"filtmonuments_loglin","sigma_pop",0.812792593169001
1,"filtmonuments_loglin","size",0.762683257563982
2,"filtmonuments_loglin","b0",-1.06563665016178
2,"filtmonuments_loglin","b1",0.856441172212109
2,"filtmonuments_loglin","intercept[1]",1.57533595111647
2,"filtmonuments_loglin","intercept[2]",-0.830215913964939
2,"filtmonuments_loglin","intercept[3]",1.21363353793804
2,"filtmonuments_loglin","intercept[4]",0.876046689960064
2,"filtmonuments_loglin","intercept[5]",1.08176372511174
2,"filtmonuments_loglin","intercept[6]",0.609092439413542
2,"filtmonuments_loglin","intercept[7]",1.26787900549884
2,"filtmonuments_loglin","intercept[8]",1.73259612196899
2,"filtmonuments_loglin","intercept[9]",0.0596118426079879
2,"filtmonuments_loglin","intercept[10]",0.273094121890854
2,"filtmonuments_loglin","intercept[11]",0.209927920725966
2,"filtmonuments_loglin","intercept[12]",0.676458157853143
2,"filtmonuments_loglin","intercept[13]",0.905304390201298
2,"filtmonuments_loglin","intercept[14]",0.662221018597741
2,"filtmonuments_loglin","intercept[15]",1.1928041576202
2,"filtmonuments_loglin","intercept[16]",0.00519221441168415
2,"filtmonuments_loglin","intercept[17]",-0.0457666355921178
2,"filtmonuments_loglin","intercept[18]",-0.330470500968094
2,"filtmonuments_loglin","intercept[19]",0.342889573581557
2,"filtmonuments_loglin","intercept[20]",-0.216255545391494
2,"filtmonuments_loglin","intercept[21]",1.74028825351891
2,"filtmonuments_loglin","intercept[22]",-0.113846806653971
