"chain","model","parameter","z"
1,"filtmonuments_nozero","b0",0.530427127297135
1,"filtmonuments_nozero","b1",-0.69613657484479
1,"filtmonuments_nozero","intercept[1]",-0.310828695614224
1,"filtmonuments_nozero","intercept[2]",-0.626167007871945
1,"filtmonuments_nozero","intercept[3]",0.168202885043555
1,"filtmonuments_nozero","intercept[4]",-0.0708754170104075
1,"filtmonuments_nozero","intercept[5]",-0.155419744442932
1,"filtmonuments_nozero","intercept[6]",-0.433584483318488
1,"filtmonuments_nozero","intercept[7]",-0.765003981092202
1,"filtmonuments_nozero","intercept[8]",0.0813179995560023
1,"filtmonuments_nozero","intercept[9]",-0.419074411997228
1,"filtmonuments_nozero","intercept[10]",-0.125851457166808
1,"filtmonuments_nozero","intercept[11]",-0.664916448380841
1,"filtmonuments_nozero","intercept[12]",-0.653546978229972
1,"filtmonuments_nozero","intercept[13]",-0.0966699006232507
1,"filtmonuments_nozero","intercept[14]",0.0788240345696175
1,"filtmonuments_nozero","intercept[15]",-0.698105887937877
1,"filtmonuments_nozero","intercept[16]",-0.0324490691633579
1,"filtmonuments_nozero","intercept[17]",-0.262381871550934
1,"filtmonuments_nozero","intercept[18]",-0.437803674489322
1,"filtmonuments_nozero","intercept[19]",0.0177998438290102
1,"filtmonuments_nozero","intercept[20]",0.676570691164822
1,"filtmonuments_nozero","intercept[21]",-0.109371564602274
1,"filtmonuments_nozero","intercept[22]",0.242552789920904
1,"filtmonuments_nozero","intercept[23]",-0.209238767199752
1,"filtmonuments_nozero","intercept[24]",-0.36716334162793
1,"filtmonuments_nozero","intercept[25]",0.119190473304639
1,"filtmonuments_nozero","intercept[26]",-0.723637179069568
1,"filtmonuments_nozero","intercept[27]",0.0893433039099752
1,"filtmonuments_nozero","intercept[28]",-0.319497958390655
1,"filtmonuments_nozero","intercept[29]",0.115185915009628
1,"filtmonuments_nozero","intercept[30]",-0.555311799717581
1,"filtmonuments_nozero","intercept[31]",-0.16465825936815
1,"filtmonuments_nozero","intercept[32]",0.0922361450773174
1,"filtmonuments_nozero","intercept[33]",-0.114971080803428
1,"filtmonuments_nozero","intercept[34]",0.553267233717606
1,"filtmonuments_nozero","intercept[35]",-0.488167342946649
1,"filtmonuments_nozero","intercept[36]",-0.108690747758692
1,"filtmonuments_nozero","intercept[37]",-0.510641197882781
1,"filtmonuments_nozero","intercept[38]",-0.838404347490915
1,"filtmonuments_nozero","intercept[39]",-0.548503183652891
1,"filtmonuments_nozero","intercept[40]",0.245935999064255
1,"filtmonuments_nozero","intercept[41]",-0.0524796067871859
1,"filtmonuments_nozero","intercept[42]",0.111256783634527
1,"filtmonuments_nozero","intercept[43]",0.331054171113779
1,"filtmonuments_nozero","intercept[44]",0.531616825268309
1,"filtmonuments_nozero","intercept[45]",-0.572045237482698
1,"filtmonuments_nozero","intercept[46]",-0.288762392874791
1,"filtmonuments_nozero","intercept[47]",-0.330299306487766
1,"filtmonuments_nozero","intercept[48]",-0.407459007963705
1,"filtmonuments_nozero","intercept[49]",0.0957253839504838
1,"filtmonuments_nozero","intercept[50]",-0.0145615288950034
1,"filtmonuments_nozero","intercept[51]",0.0331370802679471
1,"filtmonuments_nozero","intercept0",-0.210428909180698
1,"filtmonuments_nozero","scaling[1]",0.36162965253355
1,"filtmonuments_nozero","scaling[2]",0.690056028364778
1,"filtmonuments_nozero","scaling[3]",-0.138975404362645
1,"filtmonuments_nozero","scaling[4]",0.355214583715766
1,"filtmonuments_nozero","scaling[5]",0.691646507753441
1,"filtmonuments_nozero","scaling[6]",1.16252596692886
1,"filtmonuments_nozero","scaling[7]",0.869143701666666
1,"filtmonuments_nozero","scaling[8]",-0.19481177729334
1,"filtmonuments_nozero","scaling[9]",1.06392716541656
1,"filtmonuments_nozero","scaling[10]",0.731938547795765
1,"filtmonuments_nozero","scaling[11]",0.846357658233498
