"chain","model","parameter","z"
1,"hnwi_sup","intercept",-1.03608207562722
1,"hnwi_sup","scaling",0.836664710844931
1,"hnwi_sup","size",-1.22587276257741
2,"hnwi_sup","intercept",-0.188722885625764
2,"hnwi_sup","scaling",0.196359827075836
2,"hnwi_sup","size",-0.98371412592229
3,"hnwi_sup","intercept",1.9955811155664
3,"hnwi_sup","scaling",-2.04467675940056
3,"hnwi_sup","size",0.165857487671416
4,"hnwi_sup","intercept",-0.864285924469906
4,"hnwi_sup","scaling",0.892959511515433
4,"hnwi_sup","size",-0.404286036621361
