"model" "param" "Estimate" "Std. Error" "t value" "Pr(>|t|)" "r_squared"
"Complete" "Intercept" 0.8102 0.0834 9.7102 0 0.19
"Complete" "Scaling" 0.3242 0.0231 14.0645 0 NA
"Walled" "Intercept" 0.9058 0.1 9.062 0 0.23
"Walled" "Scaling" 0.3237 0.0282 11.4789 0 NA
"Walled and Filtered" "Intercept" 0.3694 0.1304 2.834 0.0048 0.19
"Walled and Filtered" "Scaling" 0.3626 0.0364 9.9512 0 NA
"Walled and Temples" "Intercept" 0.2276 0.1475 1.5435 0.1238 0.04
"Walled and Temples" "Scaling" 0.1306 0.0395 3.3105 0.001 NA
"Churches" "Intercept" -14.7501 0.7905 -18.6602 0 0.82
"Churches" "Scaling" 1.0208 0.0456 22.3905 0 NA
