"parameter","point_estimate","upper_ci"
"b0",1.00627396270359,1.01801939015382
"b1",1.00445498243794,1.01286859465787
"intercept[1]",1.00169946886916,1.00468599020339
"intercept[2]",1.00555446016173,1.01700698660156
"intercept[3]",1.00210530732235,1.00576783562087
"intercept[4]",1.00161421564599,1.00440126501755
"intercept[5]",1.00166764567891,1.00436192351318
"intercept[6]",1.00241747285289,1.00642523852565
"intercept[7]",1.00179953174296,1.00491176128631
"intercept[8]",1.00195978941435,1.00548871276082
"intercept[9]",1.00308063243272,1.00872711344515
"intercept[10]",1.00212900983906,1.00591736179813
"intercept[11]",1.00217530709203,1.00562589366746
"intercept[12]",1.00198715843943,1.00549349659882
"intercept[13]",1.00296837493476,1.00845559428565
"intercept[14]",1.00157035544029,1.00429374929703
"intercept[15]",1.0021858112249,1.00587209125785
"intercept[16]",1.00266174607576,1.00771933968938
"intercept[17]",1.00419751253795,1.01182336281475
"intercept[18]",1.00335168113258,1.00934267798113
"intercept[19]",1.00311594274145,1.0080448706518
"intercept[20]",1.00353356847125,1.0099686390025
"intercept[21]",1.00241660542448,1.00646890993573
"intercept[22]",1.00320641625064,1.0093017965129
"intercept[23]",1.00212068835184,1.00545417271383
"intercept[24]",1.00287431648075,1.00681637565014
"intercept[25]",1.00239998170332,1.00657008107221
"intercept[26]",1.00358392245455,1.01047229383869
"intercept[27]",1.00250815350471,1.00720340642597
"intercept[28]",1.00218087078114,1.00615470920014
"intercept[29]",1.00258604205529,1.00701810161823
"intercept[30]",1.00323452045771,1.00829914293212
"intercept[31]",1.0034272871361,1.00929151075531
"intercept[32]",1.0029135192059,1.00838263676701
"intercept[33]",1.00266305409851,1.00735703892091
"intercept[34]",1.00428670007022,1.01231502410573
"intercept[35]",1.00359367424723,1.01024991190856
"intercept[36]",1.00195594392077,1.00568692974079
"intercept[37]",1.00145473323551,1.00411557488046
"intercept[38]",1.0031040692785,1.00881592527245
"intercept[39]",1.00195019700147,1.00561259565623
"intercept[40]",1.00165819259718,1.004848231041
"intercept[41]",1.00214568108851,1.00596853491714
"intercept[42]",1.00408843458936,1.01182926418865
"intercept[43]",1.00194610901672,1.00546621519216
"intercept[44]",1.00208720459117,1.00587451946583
"intercept[45]",1.00215754978634,1.00573651847308
"intercept[46]",1.00334955131418,1.00953669177335
"intercept[47]",1.00255391740632,1.00690957192634
"intercept[48]",1.00234344134234,1.00606095628224
"intercept[49]",1.00337916716131,1.00972111165508
"intercept[50]",1.00377814550205,1.01105661657506
"intercept[51]",1.00156723757923,1.0041994451061
"intercept0",1.00359426116163,1.00981683903777
"scaling[1]",1.00137217745878,1.00397527612072
"scaling[2]",1.00493239209615,1.01508356244789
"scaling[3]",1.00155806038836,1.00449358428301
"scaling[4]",1.00152261521658,1.00445153061727
"scaling[5]",1.00103177727947,1.00317473197194
"scaling[6]",1.00135677807554,1.00398953903816
"scaling[7]",1.00095618206813,1.00301619509217
"scaling[8]",1.00170894069113,1.00511833500834
"scaling[9]",1.00232479618805,1.00686556996561
"scaling[10]",1.00113959496377,1.00322283701632
"scaling[11]",1.00137524114545,1.00407993896026
"scaling[12]",1.0012678859173,1.00382306423425
"scaling[13]",1.00189535588367,1.00561539688085
"scaling[14]",1.00091206150693,1.00270528760081
"scaling[15]",1.00217159842823,1.0063203944038
"scaling[16]",1.0013003454648,1.00388286786322
"scaling[17]",1.00214059031252,1.00601577147971
"scaling[18]",1.00180913201308,1.00516156985961
"scaling[19]",1.00135986866432,1.00374842531513
"scaling[20]",1.00233070338118,1.00641337221302
"scaling[21]",1.00166453871267,1.00483366235178
"scaling[22]",1.00167936532396,1.00509237339452
"scaling[23]",1.00119514297916,1.00351451886946
"scaling[24]",1.00175958359425,1.00463151413668
"scaling[25]",1.00152033636787,1.0042594241918
"scaling[26]",1.00271996290412,1.00787268961224
"scaling[27]",1.00199524713765,1.00604241597158
"scaling[28]",1.00068681284829,1.00206335162544
"scaling[29]",1.00138405659148,1.00350687066047
"scaling[30]",1.00251358591807,1.00699018585567
"scaling[31]",1.00190564050882,1.00523407026069
"scaling[32]",1.00129219105511,1.00390002715578
"scaling[33]",1.00218622669231,1.00631476672831
"scaling[34]",1.00282924783094,1.00820410233778
"scaling[35]",1.00243751298674,1.0070700381024
"scaling[36]",1.00096262050512,1.00294981707943
"scaling[37]",1.00115622519972,1.00348228671066
"scaling[38]",1.00204247497043,1.00615300756777
"scaling[39]",1.00104098098719,1.00313107816362
"scaling[40]",1.00080640200212,1.00248269719746
"scaling[41]",1.00137483489311,1.00420506023166
"scaling[42]",1.00282665599567,1.00824465434371
"scaling[43]",1.00181384326495,1.0051945687487
"scaling[44]",1.00192128912212,1.00570018926851
"scaling[45]",1.00129854675496,1.00374139635486
"scaling[46]",1.00232820054544,1.00667411801749
"scaling[47]",1.00199588422376,1.00571901293921
"scaling[48]",1.00161538241595,1.00385542427553
"scaling[49]",1.00221314944923,1.00675357925194
"scaling[50]",1.00251086826964,1.00716935197592
"scaling[51]",1.00087450261037,1.00242162456335
"scaling0",1.00228828111119,1.00648268538976
"sd0",1.00403209185347,1.01174473448659
"sd1",1.00436684268163,1.01269901037305
"sigma_pop",1.00638524839383,1.01885352139155
"size",1.00029056911396,1.0009809072797
