"parameter","point_estimate","upper_ci"
"b0",1.00898219935839,1.0256840822386
"b1",1.00504052400204,1.01446081264919
"intercept[1]",1.00560680922174,1.01622324302749
"intercept[2]",1.0054751801364,1.01660902389762
"intercept[3]",1.0057967847975,1.0166212763401
"intercept[4]",1.00532622001189,1.01567814889687
"intercept[5]",1.0046300961271,1.01334526089202
"intercept[6]",1.00450143332902,1.01252813436377
"intercept[7]",1.00540473182696,1.0152434156
"intercept[8]",1.0058160509393,1.01655213003286
"intercept[9]",1.00618092236327,1.01762356146318
"intercept[10]",1.006057113867,1.01749466658057
"intercept[11]",1.00610712620986,1.01791634115341
"intercept[12]",1.00589708667004,1.01683823373278
"intercept[13]",1.00584880278395,1.0166984891541
"intercept[14]",1.00560649806183,1.01633609286643
"intercept[15]",1.00615316768498,1.01813121438188
"intercept[16]",1.00658180109447,1.01873770311381
"intercept[17]",1.00684857231288,1.01945255721615
"intercept[18]",1.0063301386486,1.01803201754248
"intercept[19]",1.00639440442857,1.01885949236483
"intercept[20]",1.00589163305479,1.01729916877971
"intercept[21]",1.00457082420827,1.01357845041138
"intercept[22]",1.00634853517413,1.01845453034916
"intercept[23]",1.0063527964772,1.01841831914612
"intercept[24]",1.00635999303197,1.01829263663014
"intercept[25]",1.00583535588316,1.01621564403907
"intercept[26]",1.00624551964409,1.01791362034179
"intercept[27]",1.0063396482058,1.01775627791803
"intercept[28]",1.00794531876818,1.02268906634992
"intercept[29]",1.00649333180447,1.01924754363595
"intercept[30]",1.00682786671257,1.01955509286863
"intercept[31]",1.00612545450514,1.01770888795387
"intercept[32]",1.00633430150893,1.01872599001199
"intercept[33]",1.00756690018448,1.02163759950958
"intercept[34]",1.00676548186343,1.01944618445233
"intercept[35]",1.00617842082636,1.01818238092068
"intercept[36]",1.00621901540751,1.01778631273106
"intercept[37]",1.00398837821199,1.01122276005402
"intercept[38]",1.00640312616018,1.01858504714465
"intercept[39]",1.00600403896981,1.01721136514354
"intercept[40]",1.00498992612942,1.01417032993298
"intercept[41]",1.00558578424535,1.01611633051253
"intercept[42]",1.0061794418838,1.01816269892569
"intercept[43]",1.00632660091135,1.01885325623789
"intercept[44]",1.00425256897729,1.01221543265153
"intercept[45]",1.00620607067598,1.01827397985201
"intercept[46]",1.00680491567478,1.01997600863621
"intercept[47]",1.00582591952654,1.01739459323957
"intercept[48]",1.00606240904785,1.01720072514027
"intercept[49]",1.00631907841539,1.01844138604237
"intercept[50]",1.00712586921035,1.02067503724197
"intercept[51]",1.00685838486845,1.01981970759606
"intercept0",1.00783410836644,1.02238800805386
"scaling[1]",1.0043347769541,1.01226343747886
"scaling[2]",1.00524753806646,1.01535750321248
"scaling[3]",1.00464015727793,1.01293488153604
"scaling[4]",1.00499513985357,1.01448775298853
"scaling[5]",1.00414529644763,1.01228969553134
"scaling[6]",1.00341776158892,1.01018581628972
"scaling[7]",1.00401011552069,1.01183428755554
"scaling[8]",1.004248140799,1.01201901847558
"scaling[9]",1.0046524185933,1.01324198628876
"scaling[10]",1.00493421115597,1.0141353424126
"scaling[11]",1.0045335727026,1.01324445483069
"scaling[12]",1.00525721183217,1.01458033092907
"scaling[13]",1.00443838384791,1.01259559117195
"scaling[14]",1.00487472398682,1.01394322388303
"scaling[15]",1.00543046301636,1.01616180130613
"scaling[16]",1.00580412580373,1.0168732724311
"scaling[17]",1.00436718646831,1.01279925038685
"scaling[18]",1.00539409171327,1.01550258396992
"scaling[19]",1.00488116249965,1.01405632924194
"scaling[20]",1.00585981673389,1.01707639916528
"scaling[21]",1.00354325246365,1.01063727267226
"scaling[22]",1.00565673111626,1.01613731510238
"scaling[23]",1.00484868694574,1.01381680404274
"scaling[24]",1.00474148076088,1.01372023305371
"scaling[25]",1.00409184004173,1.01149200723624
"scaling[26]",1.00520243369784,1.01494775677602
"scaling[27]",1.00455062651995,1.0128026974012
"scaling[28]",1.00526871915917,1.01477362099817
"scaling[29]",1.0053133742875,1.01563758883746
"scaling[30]",1.00573571848918,1.01669186609489
"scaling[31]",1.00458210245469,1.01347613969994
"scaling[32]",1.00539326880308,1.01570270825746
"scaling[33]",1.00531065020816,1.01499406958454
"scaling[34]",1.00467043987695,1.01305723742991
"scaling[35]",1.00526257564014,1.01568116432083
"scaling[36]",1.00444834464035,1.01274254791031
"scaling[37]",1.00278342324088,1.00803420790114
"scaling[38]",1.0052139679039,1.01529167311043
"scaling[39]",1.00426159236601,1.01216903308412
"scaling[40]",1.00394995992756,1.01150158416869
"scaling[41]",1.00417057700528,1.01218352055239
"scaling[42]",1.00514896819741,1.0150049959718
"scaling[43]",1.00472364536326,1.01390922733846
"scaling[44]",1.00307052618881,1.00880609746496
"scaling[45]",1.00442573273339,1.01293137750804
"scaling[46]",1.00547592727086,1.01606675609269
"scaling[47]",1.00469224365897,1.01344987362742
"scaling[48]",1.00505689144148,1.01461942765546
"scaling[49]",1.00515382218689,1.01461631455411
"scaling[50]",1.00589041426193,1.01686980960569
"scaling[51]",1.0055474601078,1.01546139634383
"scaling0",1.00583867617753,1.01665838352444
"sd0",1.00066592297534,1.00189579567787
"sd1",1.00061953788235,1.00194372424734
"sigma_pop",1.01496281995166,1.04216404276657
"size",1.00378421254971,1.01047615757443
