"parameter","point_estimate","upper_ci"
"b0",1.00294313709518,1.00658228772286
"b1",1.00288563047178,1.00688337768842
"intercept[1]",1.00112255287703,1.00316662442845
"intercept[2]",1.00052039125555,1.00154909676937
"intercept[3]",1.00097008440859,1.00266107636382
"intercept[4]",1.00051938476309,1.00151287191422
"intercept[5]",1.00095734188564,1.00279977009686
"intercept[6]",1.00050828939314,1.00155427077813
"intercept[7]",1.00120097500866,1.00331805932604
"intercept[8]",1.00190093252782,1.00547151483101
"intercept[9]",1.00031348243342,1.00060941307175
"intercept[10]",1.0005464619697,1.00148597159987
"intercept[11]",1.00082159090723,1.00213741931886
"intercept[12]",1.00048170434531,1.00133717591516
"intercept[13]",1.00109122279114,1.00321688957049
"intercept[14]",1.00093172332176,1.00233246171586
"intercept[15]",1.00112550180882,1.00318735770346
"intercept[16]",1.00030095362397,1.00071753125963
"intercept[17]",1.00060959357086,1.00150842029393
"intercept[18]",1.00029000018038,1.00061812258383
"intercept[19]",1.00057727589876,1.00171231095844
"intercept[20]",1.00020575689892,1.00045884100521
"intercept[21]",1.00148984334331,1.00450645871823
"intercept[22]",1.00040571394291,1.00120893886968
"intercept[23]",1.00076015027175,1.0020993686509
"intercept[24]",1.00102227459058,1.00281625067086
"intercept[25]",1.00130588693271,1.00363705808135
"intercept[26]",1.00028688388811,1.00078906649543
"intercept[27]",1.00097021891063,1.00264956485565
"intercept[28]",1.00079727871773,1.00224788781966
"intercept[29]",1.0006006270172,1.00174016888093
"intercept[30]",1.00082422944036,1.00207964233913
"intercept[31]",1.00050084236791,1.00119534529754
"intercept[32]",1.00055768213469,1.00136561158545
"intercept[33]",1.0005987472676,1.0013574936658
"intercept[34]",1.00067152881597,1.00183060495377
"intercept[35]",1.00026618958175,1.00056632633602
"intercept[36]",1.0006079075889,1.00168660314077
"intercept[37]",1.00253252420096,1.00711040004935
"intercept[38]",1.00075190412024,1.00211554207253
"intercept[39]",1.00146088266032,1.00424999339034
"intercept[40]",1.00116212356503,1.00313095940939
"intercept[41]",1.00081757545327,1.00223445574856
"intercept[42]",1.00022897988435,1.00047530485047
"intercept[43]",1.00029229518666,1.00084548204971
"intercept[44]",1.00195813347391,1.00577480957711
"intercept[45]",1.00074311131868,1.00198583506569
"intercept[46]",1.00017825255134,1.00045030863819
"intercept[47]",1.00022524691827,1.0005334394098
"intercept[48]",1.00051701080037,1.00135932713426
"intercept[49]",1.00035432838631,1.0009256825785
"intercept[50]",1.00048557535633,1.00133763914845
"intercept[51]",1.00086714540995,1.00244067638333
"intercept0",1.00090612273025,1.0025453571468
"scaling[1]",1.00151006644039,1.00405333273936
"scaling[2]",1.00054019076796,1.0014642867204
"scaling[3]",1.00122626728124,1.00325002562611
"scaling[4]",1.00068095255837,1.00181287157643
"scaling[5]",1.00077896020927,1.00202955371763
"scaling[6]",1.00089765522422,1.00241738798376
"scaling[7]",1.00119676632447,1.00332467911934
"scaling[8]",1.00196626242056,1.00546804143912
"scaling[9]",1.00055338575381,1.00121431738152
"scaling[10]",1.00073465671867,1.00193893944862
"scaling[11]",1.00101276403326,1.00270124629894
"scaling[12]",1.00062230134883,1.00179046425597
"scaling[13]",1.00118530386346,1.00327377311466
"scaling[14]",1.0008207043864,1.00236865531525
"scaling[15]",1.00138026709208,1.00386491876051
"scaling[16]",1.00046468024893,1.00112367022796
"scaling[17]",1.0005309467279,1.00144208840563
"scaling[18]",1.000378285822,1.00102483037984
"scaling[19]",1.00061609614873,1.0017212168333
"scaling[20]",1.00020488832825,1.00051710441234
"scaling[21]",1.00183165576544,1.00524177433444
"scaling[22]",1.00053509281045,1.0013303982654
"scaling[23]",1.00110723374587,1.0028154794396
"scaling[24]",1.0007838892787,1.0020855653934
"scaling[25]",1.00130467532894,1.00368209564488
"scaling[26]",1.00044463426727,1.00114756989439
"scaling[27]",1.00138262105995,1.00376251283297
"scaling[28]",1.00066772503674,1.00178453990511
"scaling[29]",1.0006238998397,1.00174686196874
"scaling[30]",1.0006296406802,1.00153035476482
"scaling[31]",1.0003010831565,1.00079915488788
"scaling[32]",1.00056104430449,1.00128414824844
"scaling[33]",1.00055755334377,1.00139277350049
"scaling[34]",1.00085271404246,1.00208389940553
"scaling[35]",1.00040670844768,1.0010149044543
"scaling[36]",1.0010681069535,1.00293752065415
"scaling[37]",1.00299752731638,1.00819317556682
"scaling[38]",1.00099044184633,1.00255547827538
"scaling[39]",1.00139825276845,1.00388124894154
"scaling[40]",1.00163914368127,1.00438376864389
"scaling[41]",1.00096432800676,1.00262832512688
"scaling[42]",1.00031953538425,1.00090317227493
"scaling[43]",1.00039101381546,1.00102294136648
"scaling[44]",1.00221607882227,1.00625378615218
"scaling[45]",1.00089036887459,1.00209468754381
"scaling[46]",1.00020929944998,1.00055248562676
"scaling[47]",1.00036434100575,1.00098572102143
"scaling[48]",1.00085605517507,1.00215749589005
"scaling[49]",1.00066237598015,1.00165532626858
"scaling[50]",1.00063912753909,1.00162341862244
"scaling[51]",1.00095064614956,1.00244986324237
"scaling0",1.00093386369979,1.00236030499621
"sd0",1.00362066592351,1.00832865891941
"sd1",1.00534063094855,1.01320279543607
"sigma_pop",1.01223097706007,1.03314727990329
"size",1.00222159096618,1.00658072151446
