"parameter","point_estimate","upper_ci"
"b0",1.00311419600563,1.00566101417506
"b1",1.00213702036168,1.00447346091224
"intercept[1]",1.00079060744658,1.00169837369021
"intercept[2]",1.00088416127393,1.0022186615404
"intercept[3]",1.00088575692592,1.00195027121492
"intercept[4]",1.00114772148884,1.00273004226935
"intercept[5]",1.00090487114144,1.00197636158393
"intercept[6]",1.00085532308515,1.00188992313017
"intercept[7]",1.00092903347821,1.00213237129536
"intercept[8]",1.00073275675618,1.00165244949164
"intercept[9]",1.00080380194389,1.00169065476906
"intercept[10]",1.00063555417734,1.00142749592552
"intercept[11]",1.00103840115354,1.0021957589901
"intercept[12]",1.0007718316657,1.00174889189916
"intercept[13]",1.00088762476596,1.00184894004102
"intercept[14]",1.0009949566989,1.00265345210549
"intercept[15]",1.00090331633487,1.00209279918914
"intercept[16]",1.00088072516758,1.00216222444593
"intercept[17]",1.0007286613501,1.00167708453727
"intercept[18]",1.00084611422485,1.00211636644721
"intercept[19]",1.00081299021416,1.00166969745145
"intercept[20]",1.00083226401159,1.00183784390045
"intercept[21]",1.00108335301675,1.00252141037615
"intercept[22]",1.00099120639794,1.0023431402303
"intercept[23]",1.00099181533532,1.00225462404904
"intercept[24]",1.00070089686733,1.00169193992059
"intercept[25]",1.00068268064016,1.00155940723383
"intercept[26]",1.00092941720185,1.00221994286019
"intercept[27]",1.0008301752693,1.00201525327764
"intercept[28]",1.00069719025617,1.00146768543145
"intercept[29]",1.00074693710665,1.00188137363707
"intercept[30]",1.00086837458763,1.00207458818623
"intercept[31]",1.00103554763017,1.00231273692962
"intercept[32]",1.00081754875782,1.00200911491562
"intercept[33]",1.00109796292643,1.00269496954955
"intercept[34]",1.00083768197953,1.00203648195228
"intercept[35]",1.00076680042499,1.00164446706141
"intercept[36]",1.00097553982781,1.00233949305433
"intercept[37]",1.00066143263311,1.0015025256923
"intercept[38]",1.00076365832201,1.00174540282408
"intercept[39]",1.00080192823545,1.00185642909867
"intercept[40]",1.00091115272241,1.00230946137272
"intercept[41]",1.00070624369132,1.00171401220019
"intercept[42]",1.00085826398574,1.00188080686042
"intercept[43]",1.0007623735124,1.00174711454831
"intercept[44]",1.00107711957219,1.00250134847882
"intercept[45]",1.00110629399247,1.00252689289297
"intercept[46]",1.00086619070399,1.00180393598182
"intercept[47]",1.00084683794001,1.00197537889162
"intercept[48]",1.00089805760774,1.00205179251743
"intercept[49]",1.00064330522541,1.00145994427933
"intercept0",1.00097288266432,1.00217006398189
"scaling[1]",1.00066766792453,1.00151597335407
"scaling[2]",1.00066446407,1.0018024568227
"scaling[3]",1.00050016663647,1.00123527425189
"scaling[4]",1.00070512908582,1.00160343601809
"scaling[5]",1.00064061599563,1.0015373980122
"scaling[6]",1.00067915727104,1.00144910218479
"scaling[7]",1.0006542065984,1.00169912464126
"scaling[8]",1.00054799248668,1.00149832276463
"scaling[9]",1.00056327749841,1.00120500708745
"scaling[10]",1.00071811455839,1.00171199400525
"scaling[11]",1.00064219336185,1.00156529315459
"scaling[12]",1.00065378169188,1.00173046639726
"scaling[13]",1.00056415100783,1.00124126206642
"scaling[14]",1.00073461806135,1.00179614467235
"scaling[15]",1.00052682300887,1.00152936492878
"scaling[16]",1.00063318784103,1.00156357997713
"scaling[17]",1.00062315209063,1.00169084284094
"scaling[18]",1.00073612572166,1.00179580119553
"scaling[19]",1.0006276735113,1.00159124013348
"scaling[20]",1.00073639595684,1.00186060493845
"scaling[21]",1.00078157127977,1.00200944431037
"scaling[22]",1.0005799360147,1.00141791369425
"scaling[23]",1.00071277089017,1.00166659395279
"scaling[24]",1.00063079144778,1.00161384068628
"scaling[25]",1.00071814707834,1.00180716778941
"scaling[26]",1.00062037716571,1.00154640281642
"scaling[27]",1.0006036152935,1.00139382684046
"scaling[28]",1.00053923342058,1.00147652583341
"scaling[29]",1.0006146507938,1.00157340736064
"scaling[30]",1.0006753540414,1.00160262668014
"scaling[31]",1.00053649964407,1.00132058190724
"scaling[32]",1.0007309411404,1.00184376940353
"scaling[33]",1.00061510445148,1.00158226277743
"scaling[34]",1.00074042282905,1.00182721954433
"scaling[35]",1.00044694929112,1.0010952264326
"scaling[36]",1.00068973999494,1.00168435813949
"scaling[37]",1.00063035507846,1.00149118379744
"scaling[38]",1.0004533283323,1.00124121316756
"scaling[39]",1.00072797148496,1.0017997965624
"scaling[40]",1.00061524822241,1.00163606916896
"scaling[41]",1.00054940225384,1.00165613258741
"scaling[42]",1.00072945211247,1.00169313066773
"scaling[43]",1.00051885371813,1.00129357411871
"scaling[44]",1.00059225072824,1.0015630543222
"scaling[45]",1.00059260451127,1.0014713444041
"scaling[46]",1.00072557523342,1.00187913444999
"scaling[47]",1.00075559024858,1.00190498091479
"scaling[48]",1.00070136135136,1.00172197863533
"scaling[49]",1.00071790394403,1.0018321784124
"scaling0",1.00066752344859,1.0016493696245
"sd0",1.00160509245627,1.00499436837484
"sd1",1.00099032328276,1.00320284458285
"sigma_pop",1.00388545050152,1.00745767469747
"size",1.00031989771141,1.00110654432433
