"parameter","point_estimate","upper_ci"
"b0",1.0017511869169,1.00523442937818
"b1",1.00137703712199,1.00352815959837
"intercept[1]",1.00078551160893,1.00243817683336
"intercept[2]",1.00093736643698,1.00279851531774
"intercept[3]",1.00089841029726,1.00269052503726
"intercept[4]",1.00090422282698,1.00273036128422
"intercept[5]",1.00070002386718,1.00221365140535
"intercept[6]",1.00090187807467,1.00278523766518
"intercept[7]",1.00088989594745,1.00266329466308
"intercept[8]",1.00098477591933,1.00288620396704
"intercept[9]",1.00093286576134,1.00281125991712
"intercept[10]",1.00081916955977,1.00253815917665
"intercept[11]",1.00101126162198,1.00311455812974
"intercept[12]",1.00105056481785,1.00305042840551
"intercept[13]",1.00100127506613,1.00306084565624
"intercept[14]",1.00087020721577,1.0026804412513
"intercept[15]",1.00114350376808,1.00339633918382
"intercept[16]",1.00099626528204,1.00297117631427
"intercept[17]",1.00093266698864,1.00288775220278
"intercept[18]",1.00082613490426,1.00235261796762
"intercept[19]",1.00070626333698,1.00213034485651
"intercept[20]",1.00093221852185,1.00283774323592
"intercept[21]",1.00087407069406,1.00259112507431
"intercept[22]",1.00103570038257,1.00315217157563
"intercept[23]",1.00085855153619,1.00262980210488
"intercept[24]",1.00108356208935,1.00334076289398
"intercept[25]",1.00096233783654,1.00301918918265
"intercept[26]",1.00079241571107,1.00244158955788
"intercept[27]",1.00074026149986,1.0023021095454
"intercept[28]",1.00074062951723,1.00224481666196
"intercept[29]",1.00097412953729,1.00283227049422
"intercept[30]",1.00095566172551,1.00291195074418
"intercept[31]",1.00090201714259,1.00260444046304
"intercept[32]",1.00091261994372,1.00277461573344
"intercept[33]",1.00081102603746,1.00235094794411
"intercept[34]",1.00098650442588,1.00289493820312
"intercept[35]",1.00063527807492,1.00195835127841
"intercept[36]",1.00080049383745,1.0024223290262
"intercept[37]",1.00093380221623,1.00278107125082
"intercept[38]",1.00086120194583,1.00265982679203
"intercept[39]",1.00103425353074,1.00313550774248
"intercept[40]",1.00097771913008,1.00293611306399
"intercept[41]",1.00089935300307,1.00277819595309
"intercept[42]",1.00083870770267,1.0025392327216
"intercept[43]",1.00075224372492,1.00222031675315
"intercept[44]",1.00096028019972,1.00290767857383
"intercept[45]",1.00076171182618,1.00232315149774
"intercept[46]",1.00103013175472,1.0031063507596
"intercept[47]",1.0008980957895,1.00279444793586
"intercept[48]",1.00084088003508,1.00258428871752
"intercept[49]",1.00082502076551,1.00244280238434
"intercept0",1.00099338124516,1.00300226994771
"scaling[1]",1.00043259679352,1.00137524434651
"scaling[2]",1.00060305325176,1.00185889237407
"scaling[3]",1.00034953070781,1.00105167416645
"scaling[4]",1.00057756837346,1.00167125154355
"scaling[5]",1.00039686242569,1.00124931016191
"scaling[6]",1.00042542450745,1.00134382365907
"scaling[7]",1.00038400954592,1.00122347691798
"scaling[8]",1.00050669190217,1.00157900306684
"scaling[9]",1.00048910354222,1.00155772502437
"scaling[10]",1.00045141716758,1.00147911941647
"scaling[11]",1.00055061576729,1.00174251057761
"scaling[12]",1.00041852761388,1.0013036033181
"scaling[13]",1.00037321885785,1.00121365590137
"scaling[14]",1.00031372527469,1.0010283464279
"scaling[15]",1.00069616391131,1.00224310459024
"scaling[16]",1.00041109877061,1.00131606437773
"scaling[17]",1.00044386966108,1.00137043217587
"scaling[18]",1.00061786853963,1.00200907919459
"scaling[19]",1.00026636013859,1.00083824342914
"scaling[20]",1.00040347710021,1.00129727449497
"scaling[21]",1.00043139519045,1.00140226101377
"scaling[22]",1.00058317580612,1.00188401665071
"scaling[23]",1.00038901796592,1.00119284432353
"scaling[24]",1.00068940812592,1.00221362331961
"scaling[25]",1.0004509888684,1.00142930897512
"scaling[26]",1.00060351747538,1.0018761320707
"scaling[27]",1.00048159011208,1.00145845202305
"scaling[28]",1.00046165749623,1.00151589797358
"scaling[29]",1.00040142768527,1.00133901413812
"scaling[30]",1.0005973082137,1.00193643395162
"scaling[31]",1.00044035617863,1.00134636882454
"scaling[32]",1.000601381641,1.0019224651619
"scaling[33]",1.00079911660907,1.00239844826453
"scaling[34]",1.00053956672584,1.00167453748829
"scaling[35]",1.00026020517863,1.00084932094786
"scaling[36]",1.00051983424458,1.0016738998308
"scaling[37]",1.00046748108234,1.00149517405945
"scaling[38]",1.00027285048659,1.00084648096443
"scaling[39]",1.00053770693691,1.00167965030939
"scaling[40]",1.00056007225022,1.00180575822386
"scaling[41]",1.00061874808822,1.00197985023761
"scaling[42]",1.00049317984439,1.00144010856566
"scaling[43]",1.0003859024783,1.00116987062047
"scaling[44]",1.00051309477093,1.00168477238143
"scaling[45]",1.00051939018698,1.0015846583513
"scaling[46]",1.00073518909792,1.00229767519469
"scaling[47]",1.00055580518462,1.0016996768157
"scaling[48]",1.00048731752822,1.00157634341055
"scaling[49]",1.00048836264599,1.00147784929514
"scaling0",1.00051628509938,1.00166290530853
"sd0",1.00037088076755,1.00111336336787
"sd1",1.00153653707552,1.00465881762988
"sigma_pop",1.0019071416472,1.00562597966508
"size",1.000050176647,1.00007905944936
