"parameter","point_estimate","upper_ci"
"b0",1.00111703775281,1.00295986529895
"b1",1.00113921348958,1.0034307187604
"intercept[1]",1.00075994520279,1.0024093105084
"intercept[2]",1.00082834090781,1.00260453074115
"intercept[3]",1.00064490001114,1.00202708832041
"intercept[4]",1.00090267182578,1.0027935279965
"intercept[5]",1.00065112237967,1.00210478799732
"intercept[6]",1.00087859148928,1.00274873463754
"intercept[7]",1.00083551279356,1.00258103047532
"intercept[8]",1.00066507035353,1.00206450128717
"intercept[9]",1.00072679134984,1.00231634528864
"intercept[10]",1.00075389663227,1.00239503008116
"intercept[11]",1.00077485687055,1.00247123693346
"intercept[12]",1.00081596133705,1.00255146908603
"intercept[13]",1.00075736060792,1.00239094186839
"intercept[14]",1.00085633387286,1.00267115584813
"intercept[15]",1.00097722322247,1.00286939712041
"intercept[16]",1.00079669581251,1.0025186853117
"intercept[17]",1.00080097479927,1.00254464220091
"intercept[18]",1.00097422263125,1.00301187115255
"intercept[19]",1.00061337284439,1.00194160915508
"intercept[20]",1.00082205115044,1.00259698590006
"intercept[21]",1.00093612747746,1.0028583649155
"intercept[22]",1.00080387738639,1.002484180886
"intercept[23]",1.00087985124652,1.00269921592258
"intercept[24]",1.00081611966505,1.00250924917833
"intercept[25]",1.00078902229956,1.00243668070737
"intercept[26]",1.00085350830012,1.00269057059644
"intercept[27]",1.000698128672,1.00226054896447
"intercept[28]",1.0007027388127,1.00222531723119
"intercept[29]",1.00072240175938,1.00218102883797
"intercept[30]",1.00085354364669,1.00258026407463
"intercept[31]",1.00078499062614,1.00250295842682
"intercept[32]",1.00075227089533,1.00240421132584
"intercept[33]",1.00077795963797,1.00242497017313
"intercept[34]",1.00072617477796,1.0022899156972
"intercept[35]",1.00059837130008,1.00184054762026
"intercept[36]",1.00076611945533,1.00232365518753
"intercept[37]",1.00071022992941,1.00221847412443
"intercept[38]",1.00079653593721,1.00252940480253
"intercept[39]",1.00078261340656,1.00251075233226
"intercept[40]",1.0006596416717,1.00202245177381
"intercept[41]",1.0008346246624,1.0025212675094
"intercept[42]",1.00092429048769,1.00273770848294
"intercept[43]",1.00077557669292,1.00248625212033
"intercept[44]",1.00076374613762,1.00242647931189
"intercept[45]",1.00065297472324,1.00201832331164
"intercept[46]",1.00092915945538,1.00298126892698
"intercept[47]",1.00068210617949,1.00211338954719
"intercept[48]",1.00087562221491,1.002812711684
"intercept[49]",1.0007763553788,1.00244229597414
"intercept0",1.00084265216666,1.00264711522072
"scaling[1]",1.00093735627728,1.00299465163036
"scaling[2]",1.00083915165074,1.00269071004318
"scaling[3]",1.00081698719777,1.00262968960538
"scaling[4]",1.00080405332045,1.00258753697261
"scaling[5]",1.0008576085106,1.00274335476375
"scaling[6]",1.00091663977912,1.00292640489661
"scaling[7]",1.00077737063174,1.00249158002433
"scaling[8]",1.00095623552845,1.0030157857519
"scaling[9]",1.0008005207041,1.0025574907035
"scaling[10]",1.00086506362951,1.00276369727691
"scaling[11]",1.00086666689758,1.00277252412302
"scaling[12]",1.00093390486721,1.00297570946422
"scaling[13]",1.00078124878014,1.00249368476485
"scaling[14]",1.00077080763793,1.00249626502532
"scaling[15]",1.00115450378467,1.00357663429358
"scaling[16]",1.00090414864359,1.00291236264147
"scaling[17]",1.00102191450402,1.00326067593723
"scaling[18]",1.00097904296098,1.00309710261105
"scaling[19]",1.00065762439288,1.0020810443003
"scaling[20]",1.00102259564261,1.00324904423872
"scaling[21]",1.00081877126627,1.00260975450302
"scaling[22]",1.00093839694645,1.00299446019884
"scaling[23]",1.00099234256742,1.00314540904084
"scaling[24]",1.00077748846493,1.00247665379546
"scaling[25]",1.00099049484668,1.00316670017576
"scaling[26]",1.00091089093179,1.00292602174014
"scaling[27]",1.00078729386282,1.00252824995668
"scaling[28]",1.00098895740953,1.00314206594281
"scaling[29]",1.0008410745691,1.0026955111882
"scaling[30]",1.00089499977691,1.00282060373979
"scaling[31]",1.00087335837231,1.00280215546187
"scaling[32]",1.00071958010321,1.00232737392166
"scaling[33]",1.00102257844717,1.00319971405649
"scaling[34]",1.00077657231549,1.00250595652759
"scaling[35]",1.00077268416732,1.00245927724369
"scaling[36]",1.00097775680689,1.00308779225045
"scaling[37]",1.00076347162757,1.00245127413107
"scaling[38]",1.00067045237873,1.00217317254173
"scaling[39]",1.00105134234894,1.00335966784979
"scaling[40]",1.00094555395941,1.00294261787151
"scaling[41]",1.00103679964416,1.00324272802792
"scaling[42]",1.00071354254403,1.00220673412652
"scaling[43]",1.00084949918337,1.0027430837925
"scaling[44]",1.00095309170348,1.00299392020402
"scaling[45]",1.00101905435069,1.00324129166404
"scaling[46]",1.00106998201709,1.00341433074225
"scaling[47]",1.00071316511314,1.00229894889853
"scaling[48]",1.00095110485046,1.00301430157866
"scaling[49]",1.0008724112055,1.00278919755575
"scaling0",1.0009307692641,1.00297589909573
"sd0",1.00070993164624,1.00227708679106
"sd1",1.00102967521306,1.00279499214138
"sigma_pop",1.00408127083574,1.00953400266053
"size",1.00051223837779,1.00146542555272
