"parameter","point_estimate","upper_ci"
"b0",1.0041372184412,1.00935604841368
"b1",1.00346434340151,1.00884801054826
"intercept[1]",1.00017502907612,1.00054996147059
"intercept[2]",1.00102207884302,1.003062727005
"intercept[3]",1.00123563620828,1.00370549100481
"intercept[4]",1.00057424574733,1.00141004612883
"intercept[5]",1.00093132040874,1.00275344980699
"intercept[6]",1.00098297954767,1.0030508553002
"intercept[7]",1.00024462536343,1.0005739032893
"intercept[8]",1.0009278501289,1.00297859612577
"intercept[9]",1.00112141681583,1.00351617538759
"intercept[10]",1.00018300739305,1.00035510127773
"intercept[11]",1.00181332271473,1.00557235747719
"intercept[12]",1.00066923521041,1.00210499255938
"intercept[13]",1.00029091698398,1.00067779749997
"intercept[14]",1.00034829203694,1.00050508081282
"intercept[15]",1.00026143089938,1.00041780145142
"intercept[16]",1.00280143396014,1.00799573829501
"intercept[17]",1.00224178174298,1.0066722117579
"intercept[18]",1.00028329217633,1.00072568730375
"intercept[19]",1.00027659096738,1.00062980894135
"intercept[20]",1.00102895964236,1.00289068602158
"intercept[21]",1.00036721317859,1.00087240719712
"intercept[22]",1.00138102926745,1.00398259098229
"intercept[23]",1.00215561433086,1.00661465978063
"intercept[24]",1.00199468149807,1.00622380034521
"intercept[25]",1.00145759188083,1.00443871461655
"intercept[26]",1.00028667237134,1.00069956754679
"intercept[27]",1.00031949832598,1.00075435965844
"intercept[28]",1.00025911960219,1.00068083410007
"intercept[29]",1.00013275842098,1.00025035364
"intercept[30]",1.00025457729033,1.00076523543167
"intercept[31]",1.00026061471618,1.00084396519985
"intercept[32]",1.00118029667299,1.00371793355648
"intercept[33]",1.00066528825395,1.00172083022244
"intercept[34]",1.00092636133377,1.00272276228938
"intercept[35]",1.0005334355705,1.00144354032589
"intercept[36]",1.00019063525107,1.00060510975971
"intercept[37]",1.00042115157567,1.00103506654852
"intercept[38]",1.0014449662865,1.0042969176537
"intercept[39]",1.00032210183772,1.00096568296949
"intercept[40]",1.00043626838881,1.00111297547644
"intercept[41]",1.00263948992735,1.0074842225448
"intercept[42]",1.00165226714479,1.00499536312533
"intercept[43]",1.00156247481904,1.00461792685856
"intercept[44]",1.00128005836691,1.00370801418689
"intercept[45]",1.0019569972502,1.00549921741039
"intercept[46]",1.00305382084644,1.00909070383528
"intercept[47]",1.00083230616381,1.00246390140683
"intercept[48]",1.0002426401546,1.00043602760897
"intercept[49]",1.00026279166513,1.00070443854651
"intercept[50]",1.00026502874122,1.00061815913055
"intercept[51]",1.00035429713914,1.00112320121797
"intercept0",1.00086360925076,1.00223061481133
"scaling[1]",1.00023181350657,1.00069339462037
"scaling[2]",1.00110253473412,1.00285737786061
"scaling[3]",1.00150530714088,1.00458043654179
"scaling[4]",1.00039209293894,1.00106286725337
"scaling[5]",1.00134723536759,1.00420238141089
"scaling[6]",1.00125420120222,1.00394125706363
"scaling[7]",1.0002434075682,1.00067007170624
"scaling[8]",1.00077648933826,1.00250054522734
"scaling[9]",1.00121569345443,1.00366221502963
"scaling[10]",1.00037915044038,1.00085459341021
"scaling[11]",1.00186318422979,1.00573374243655
"scaling[12]",1.00032713345802,1.00108226669994
"scaling[13]",1.0003797501982,1.00067870769222
"scaling[14]",1.00022094775024,1.00051461691374
"scaling[15]",1.00030933099642,1.00063296011798
"scaling[16]",1.00316306288317,1.00923903836798
"scaling[17]",1.00207453063159,1.00634006354592
"scaling[18]",1.00042055712131,1.00073877143738
"scaling[19]",1.00036094434159,1.00082447658417
"scaling[20]",1.00090890290549,1.00236633275116
"scaling[21]",1.00053665435424,1.00116278922919
"scaling[22]",1.00159316637494,1.00468769602577
"scaling[23]",1.00216141785539,1.00673749055521
"scaling[24]",1.00179494155524,1.00563709280895
"scaling[25]",1.00142118415918,1.00436391398872
"scaling[26]",1.00043810643285,1.00099973627373
"scaling[27]",1.00050067760052,1.00087728113839
"scaling[28]",1.00028817814824,1.00089825355986
"scaling[29]",1.0002349740902,1.00049453724814
"scaling[30]",1.00027109376893,1.00071817781951
"scaling[31]",1.00041727027093,1.00131610853618
"scaling[32]",1.00135445809398,1.00426645831772
"scaling[33]",1.00074654176576,1.00191871338181
"scaling[34]",1.0010317878937,1.00304147633877
"scaling[35]",1.00029892162358,1.00064492296914
"scaling[36]",1.00037480823187,1.00110012622425
"scaling[37]",1.00048302025233,1.00086066414151
"scaling[38]",1.00150169856553,1.00458488628073
"scaling[39]",1.00043581225625,1.00114493912488
"scaling[40]",1.00049835191544,1.00151208440901
"scaling[41]",1.00233394037572,1.00687124572086
"scaling[42]",1.00165033443033,1.0050639511853
"scaling[43]",1.00128034497482,1.00402987910899
"scaling[44]",1.00141039613606,1.00428526365067
"scaling[45]",1.00233106388066,1.00684919467442
"scaling[46]",1.00363346131308,1.01087120416265
"scaling[47]",1.0009369606467,1.00293963889884
"scaling[48]",1.00028643181661,1.00037819858132
"scaling[49]",1.00033218084363,1.00067032115594
"scaling[50]",1.00057705929141,1.00166412605903
"scaling[51]",1.00053707824858,1.00172922545923
"scaling0",1.0007922965017,1.00228009200089
"sd0",1.00265596766766,1.00820532077755
"sd1",1.00408973291346,1.01232189724552
"sigma_pop",1.00992637633677,1.02337360671539
"size",1.00052972922456,1.00108174630482
