"parameter","point_estimate","upper_ci"
"b0",1.00802617648079,1.01033956439588
"b1",1.00828047943106,1.01172629870517
"intercept[1]",1.00203447527198,1.00541914947747
"intercept[2]",1.00259050710492,1.00692286880271
"intercept[3]",1.00184383135643,1.00217748153868
"intercept[4]",1.00191714997064,1.00363928056546
"intercept[5]",1.00184364588396,1.00248979247428
"intercept[6]",1.00241904499964,1.00347762276315
"intercept[7]",1.00209411474641,1.0034936750077
"intercept[8]",1.00245292335894,1.00645398199458
"intercept[9]",1.00149832662622,1.00257167317034
"intercept[10]",1.00217998744292,1.00328955221846
"intercept[11]",1.00230570307919,1.00303057542511
"intercept[12]",1.00226313937367,1.00401642917956
"intercept[13]",1.00089678273011,1.00216431060511
"intercept[14]",1.00162574349741,1.00225622248602
"intercept[15]",1.00188094366116,1.00371637943714
"intercept[16]",1.00353814515373,1.00482281774169
"intercept[17]",1.00265260918844,1.00330841758893
"intercept[18]",1.00143743542205,1.0019012020255
"intercept[19]",1.00214038114937,1.00417985356631
"intercept[20]",1.00375061756849,1.00846943793577
"intercept[21]",1.00284114945986,1.00491523514603
"intercept[22]",1.00229376313571,1.00276875318875
"intercept[23]",1.00295592509599,1.00377230856897
"intercept[24]",1.00172399335785,1.00245249895246
"intercept[25]",1.0021668899332,1.00444082507194
"intercept[26]",1.00267479443914,1.0059947879577
"intercept[27]",1.00362804066869,1.0086022899452
"intercept[28]",1.00181137536205,1.0043535014544
"intercept[29]",1.00204568284572,1.00413026407586
"intercept[30]",1.00133396701059,1.00306244535926
"intercept[31]",1.00266398986779,1.00625392558374
"intercept[32]",1.0024200231702,1.0042534924238
"intercept[33]",1.00182629374393,1.00391060945655
"intercept[34]",1.0013765474092,1.0025857232194
"intercept[35]",1.00221697950149,1.00364037110065
"intercept[36]",1.00159064060545,1.00283318108456
"intercept[37]",1.00268236288152,1.00619281107217
"intercept[38]",1.00259395409035,1.00355332875665
"intercept[39]",1.0014610480029,1.00275407384337
"intercept[40]",1.00229404019284,1.00379853671524
"intercept[41]",1.00205208185868,1.0023717105569
"intercept[42]",1.00141858490586,1.00226973201635
"intercept[43]",1.00222095172208,1.00315551159408
"intercept[44]",1.00236306897839,1.00348630810416
"intercept[45]",1.00217874707785,1.00297102644535
"intercept[46]",1.00344273333374,1.00455973817959
"intercept[47]",1.0026560666551,1.00351812838492
"intercept[48]",1.00193761318529,1.00424453297583
"intercept[49]",1.0028546621271,1.00467644788287
"intercept[50]",1.00233359218327,1.00488050107184
"intercept[51]",1.00242460075333,1.00434615305944
"intercept0",1.0013024201891,1.0034623609278
"scaling[1]",1.00076970454915,1.00214773749402
"scaling[2]",1.00294769859779,1.00761026597526
"scaling[3]",1.00087115764404,1.00225108311834
"scaling[4]",1.0010659233709,1.00226668478354
"scaling[5]",1.00043747987195,1.00100185657961
"scaling[6]",1.00117918979172,1.00291499594983
"scaling[7]",1.00052944923806,1.00128629545796
"scaling[8]",1.00135112013646,1.00383492857377
"scaling[9]",1.00004773874968,1.00008192270391
"scaling[10]",1.00106799713154,1.00243430694919
"scaling[11]",1.00295433068379,1.00899333314359
"scaling[12]",1.00031983188798,1.00068979760866
"scaling[13]",1.00073437363298,1.0015976798894
"scaling[14]",1.00044515841786,1.0011308405751
"scaling[15]",1.00056785123973,1.00173174342153
"scaling[16]",1.00245465663287,1.00751053251993
"scaling[17]",1.0024918770584,1.00722837514819
"scaling[18]",1.00013179314928,1.00027934262624
"scaling[19]",1.00032555255122,1.00047709307672
"scaling[20]",1.00208642900611,1.00556372463618
"scaling[21]",1.00225612001471,1.0045572374294
"scaling[22]",1.00132173682128,1.00396171446686
"scaling[23]",1.00496037130199,1.01471603702729
"scaling[24]",1.00048055681384,1.0015227576782
"scaling[25]",1.00052452830851,1.00134471421566
"scaling[26]",1.00114012680121,1.00356096481524
"scaling[27]",1.00212825966664,1.00635954242592
"scaling[28]",1.00241934938311,1.00702828350422
"scaling[29]",1.00041489049468,1.00131805118738
"scaling[30]",1.0003174529046,1.00090517250234
"scaling[31]",1.00122881928594,1.00273121286726
"scaling[32]",1.00033615867011,1.00102054035502
"scaling[33]",1.00026355935061,1.00074028877484
"scaling[34]",1.00038274776101,1.00057208552951
"scaling[35]",1.00034071434661,1.00092067668914
"scaling[36]",1.00028657424506,1.00047577500703
"scaling[37]",1.00608400720711,1.01210276216072
"scaling[38]",1.00031040302993,1.00074223165633
"scaling[39]",1.00074393242508,1.00134788090396
"scaling[40]",1.00067564424008,1.00107074705123
"scaling[41]",1.00151968514144,1.00430425250195
"scaling[42]",1.00147681435959,1.00346905966134
"scaling[43]",1.0006272856211,1.00160975770646
"scaling[44]",1.00183885498369,1.00491883703414
"scaling[45]",1.00100955390279,1.00309368744389
"scaling[46]",1.0053973180309,1.01648728096844
"scaling[47]",1.00103139047114,1.00229368323975
"scaling[48]",1.00292283760586,1.00683840166412
"scaling[49]",1.00003815191107,1.00013619620719
"scaling[50]",1.00099563278046,1.00155869354088
"scaling[51]",1.00015634430068,1.0001791412339
"scaling0",1.00282999896541,1.00823274362943
"sd0",1.01386828830425,1.03469723763442
"sd1",1.03790953599119,1.10339573902541
"sigma_pop",1.01510631529202,1.03598843640364
"size",1.00191754847496,1.00604097371259
