"parameter","point_estimate","upper_ci"
"b0",1.00148144880871,1.00257406689828
"b1",1.0011784994778,1.00307963316447
"intercept[1]",1.00013064480158,1.00033329892854
"intercept[2]",1.00031606738984,1.00063349954712
"intercept[3]",1.00024408124365,1.00026773872807
"intercept[4]",1.00039999819721,1.00076275182737
"intercept[5]",1.0003248646411,1.00068301992627
"intercept[6]",1.00048383224417,1.00125179237436
"intercept[7]",1.00064409716773,1.00141372581692
"intercept[8]",1.00059708499502,1.00127416392418
"intercept[9]",1.00023815357769,1.00026402549225
"intercept[10]",1.00037562270724,1.00088550689929
"intercept[11]",1.00065551311415,1.00185405435139
"intercept[12]",1.00018812186694,1.0002491448247
"intercept[13]",1.00026719999623,1.00045463251342
"intercept[14]",1.00043966510966,1.00116114134616
"intercept[15]",1.00087643699304,1.00261183200645
"intercept[16]",1.00165226641974,1.00500838098596
"intercept[17]",1.00022704900757,1.00049935222606
"intercept[18]",1.00023058224929,1.00037862394071
"intercept[19]",1.00055081854909,1.00119726652402
"intercept[20]",1.00101947269132,1.00243741407709
"intercept[21]",1.00027318514751,1.0007260600418
"intercept[22]",1.0014038473687,1.00396750733643
"intercept[23]",1.0008860693969,1.00263787918193
"intercept[24]",1.00048684801468,1.00118096856747
"intercept[25]",1.00065855989925,1.00113319219449
"intercept[26]",1.0001601163614,1.00031439466705
"intercept[27]",1.00028554264728,1.00047622303638
"intercept[28]",1.0002339449913,1.00029392786238
"intercept[29]",1.00031040936327,1.00058711409513
"intercept[30]",1.00026966735805,1.00046976801559
"intercept[31]",1.00025324464178,1.00045070509245
"intercept[32]",1.00039963868927,1.00076474101109
"intercept[33]",1.00041297101806,1.00075468789531
"intercept[34]",1.00027272638187,1.00055486538932
"intercept[35]",1.00032818017192,1.00052065869231
"intercept[36]",1.00022932182258,1.00029782672446
"intercept[37]",1.00008509496242,1.00021357559597
"intercept[38]",1.00033920502006,1.00062604700599
"intercept[39]",1.00012087814668,1.0002486584707
"intercept[40]",1.00048869625441,1.00127666787683
"intercept[41]",1.00013114712217,1.00022958312745
"intercept[42]",1.00026522852261,1.00045543698495
"intercept[43]",1.00030679015575,1.00065927880941
"intercept[44]",1.00029291171726,1.00075583337662
"intercept[45]",1.00236647132567,1.00700616516924
"intercept[46]",1.00018948595476,1.00033286945838
"intercept[47]",1.00066622300376,1.00164415157579
"intercept[48]",1.00082592533233,1.00194635603608
"intercept[49]",1.00010115933697,1.0001361103435
"intercept[50]",1.00013659789308,1.00016323935659
"intercept0",1.00017147090379,1.00019925044869
"scaling[1]",1.00010895331268,1.00028330993081
"scaling[2]",1.00050237096132,1.00124981360146
"scaling[3]",1.00042090182452,1.00051720164838
"scaling[4]",1.00019169023558,1.00069285670338
"scaling[5]",1.00059317812373,1.00151743930679
"scaling[6]",1.00041455709793,1.00116653141918
"scaling[7]",1.00044909157999,1.0012757245077
"scaling[8]",1.00022509472581,1.00060305880676
"scaling[9]",1.00007660861391,1.00024486926152
"scaling[10]",1.00046620854701,1.00119096270375
"scaling[11]",1.00057619448674,1.00155815354472
"scaling[12]",1.00010012259511,1.0002512434517
"scaling[13]",1.00020169124678,1.00065861610816
"scaling[14]",1.00032402757452,1.00101487544688
"scaling[15]",1.00102028568246,1.00322334458373
"scaling[16]",1.00196828464065,1.00619287853417
"scaling[17]",1.00028302350471,1.00067217675696
"scaling[18]",1.00017423088062,1.00030537929088
"scaling[19]",1.00104004981878,1.00276492692511
"scaling[20]",1.00083420164508,1.00227704106872
"scaling[21]",1.00035162163836,1.00098824109202
"scaling[22]",1.00186036153793,1.00551071289532
"scaling[23]",1.00115981617225,1.00366984276793
"scaling[24]",1.00029828533776,1.00078219696747
"scaling[25]",1.00066672809621,1.00152992565345
"scaling[26]",1.00021995347998,1.00042159472265
"scaling[27]",1.00024099063209,1.00065714711762
"scaling[28]",1.00005497258899,1.00008701121743
"scaling[29]",1.00018521890135,1.0003925620048
"scaling[30]",1.00022872066118,1.00055401626631
"scaling[31]",1.00027408766075,1.0006423691064
"scaling[32]",1.0004694558621,1.00088150182344
"scaling[33]",1.00045154491711,1.00084570167794
"scaling[34]",1.00027389264699,1.00065357686758
"scaling[35]",1.00015379029094,1.000265792927
"scaling[36]",1.00020561854314,1.00039691358089
"scaling[37]",1.00003035070844,1.00012671670942
"scaling[38]",1.00030735206245,1.00079890948789
"scaling[39]",1.00026435234873,1.00069866491078
"scaling[40]",1.00022713753473,1.00063371594526
"scaling[41]",1.0001065415861,1.00019971919919
"scaling[42]",1.00005797341213,1.00012873292502
"scaling[43]",1.00030372305532,1.00077388155304
"scaling[44]",1.0003961848826,1.00117458958831
"scaling[45]",1.00221150475425,1.00679586059842
"scaling[46]",1.00012967743729,1.00041353506915
"scaling[47]",1.00106950227089,1.00303061939241
"scaling[48]",1.00083340028742,1.0022526965646
"scaling[49]",1.00005463085258,1.0001469575924
"scaling[50]",1.00014008276149,1.00034302398052
"scaling0",1.00008475981396,1.00009361158609
"sd0",1.00819550139475,1.02294841046244
"sd1",1.01097136871361,1.02976330265451
"sigma_pop",1.01268229050541,1.03520694959997
"size",1.00560526767207,1.0133180007729
