"parameter","point_estimate","upper_ci"
"b0",1.00115459941772,1.0037708146367
"b1",1.00118580940834,1.00395119049634
"intercept[1]",1.00148437164567,1.00460292884284
"intercept[2]",1.00197026671476,1.00491381384601
"intercept[3]",1.00072911485577,1.00252874683237
"intercept[4]",0.999947531314386,1.00004226237847
"intercept[5]",1.0010373365176,1.00337927654649
"intercept[6]",0.999969793112556,1.00012729619936
"intercept[7]",1.00080259733594,1.0027377255107
"intercept[8]",1.00125050046447,1.00397186279625
"intercept[9]",0.99996682335996,1.00003675910432
"intercept[10]",1.00000366972045,1.00021150956355
"intercept[11]",1.00016309785789,1.00064602369798
"intercept[12]",1.00009157703607,1.0005470594188
"intercept[13]",1.00087740696892,1.00288192578477
"intercept[14]",1.00027770019193,1.00068007061218
"intercept[15]",1.00098346687164,1.00326360317052
"intercept[16]",1.00003336575662,1.00017443754255
"intercept[17]",0.999943613326528,1.00002919481886
"intercept[18]",1.00010154404016,1.00051102854001
"intercept[19]",1.00004218093159,1.00022773230614
"intercept[20]",1.00013501869863,1.00066202792712
"intercept[21]",1.00215813290578,1.0067254817645
"intercept[22]",0.999922961318071,0.999984839461577
"intercept[23]",1.00042700826641,1.0014283923726
"intercept[24]",1.00020257744293,1.00089645632023
"intercept[25]",1.00055698423965,1.00181226770343
"intercept[26]",0.999935186829284,0.999987190137291
"intercept[27]",1.00012072686672,1.00061343763434
"intercept[28]",1.0004258197767,1.00154575729899
"intercept[29]",1.00008752508255,1.00039846780437
"intercept[30]",0.99997480515102,1.00016706707636
"intercept[31]",0.999959683647494,1.00012679446334
"intercept[32]",1.00068532744966,1.00231764987162
"intercept[33]",1.00031793810147,1.00100810403952
"intercept[34]",0.999948999991759,1.00009617499434
"intercept[35]",1.00039036597878,1.00108442841153
"intercept[36]",1.00052914973292,1.0018600401474
"intercept[37]",1.00440914646402,1.01279505909046
"intercept[38]",1.00011055438763,1.00055558652341
"intercept[39]",1.00168305271795,1.00521204518289
"intercept[40]",1.00200637523914,1.00641712906098
"intercept[41]",1.00039826041705,1.00137567686837
"intercept[42]",0.999974702689241,1.00011747694485
"intercept[43]",0.999901531687256,0.999965020930807
"intercept[44]",1.00434735219987,1.01299828204967
"intercept[45]",1.00012897256576,1.00064737191336
"intercept[46]",1.00000186914171,1.0000937695205
"intercept[47]",1.00001673294005,1.00022643746574
"intercept[48]",1.00005326453356,1.00043572738973
"intercept[49]",0.999887617343746,0.999890577518341
"intercept[50]",0.999901425409217,0.999932549624951
"intercept[51]",1.00001401704613,1.00020668032221
"intercept0",1.00009468035449,1.00053095085918
"scaling[1]",1.00162823161103,1.00482631348472
"scaling[2]",1.0020140623818,1.00508937463327
"scaling[3]",1.00095418273341,1.00302792709074
"scaling[4]",1.00031018716433,1.00100236857394
"scaling[5]",1.00094471501181,1.00275698874494
"scaling[6]",1.00027592580119,1.00079526974971
"scaling[7]",1.00084319218938,1.00259111791641
"scaling[8]",1.00150974668701,1.00469938847889
"scaling[9]",0.999985887818037,1.00004282957793
"scaling[10]",1.00017436043691,1.00043688855628
"scaling[11]",1.00035411875747,1.00103352630802
"scaling[12]",1.00027446599226,1.00093296123935
"scaling[13]",1.00065548555391,1.00180577820471
"scaling[14]",1.00052079266542,1.0014389011321
"scaling[15]",1.00120779463927,1.00391155796814
"scaling[16]",1.00011137149548,1.00042577801518
"scaling[17]",0.999982649502812,1.00013044367382
"scaling[18]",1.00000180781006,1.00010133086995
"scaling[19]",1.00002001098532,1.00002326459652
"scaling[20]",1.00020987043328,1.0005750401125
"scaling[21]",1.00206145965868,1.00613011270874
"scaling[22]",1.00023249632388,1.00031598906475
"scaling[23]",1.00051972352127,1.00176793025933
"scaling[24]",1.00031869827853,1.0010302321843
"scaling[25]",1.00063459396349,1.00198997392383
"scaling[26]",0.999964280017177,1.00000466002528
"scaling[27]",1.00030265733773,1.00101566094096
"scaling[28]",1.00044291048741,1.00123824162734
"scaling[29]",1.00008942580051,1.00015165822122
"scaling[30]",1.00019471510458,1.00041078308871
"scaling[31]",1.00004083144601,1.00013057332573
"scaling[32]",1.00103551348868,1.00323809164907
"scaling[33]",1.00030964560346,1.00064868301526
"scaling[34]",1.00001775210199,1.00007225513712
"scaling[35]",1.00048337560847,1.00109140146012
"scaling[36]",1.00065809279842,1.00195834496761
"scaling[37]",1.00475504092014,1.01363075685273
"scaling[38]",1.00044635023753,1.00138555872697
"scaling[39]",1.00104556925857,1.00325710011114
"scaling[40]",1.0016016474664,1.00472103020805
"scaling[41]",1.00059584013271,1.00159586360697
"scaling[42]",1.00004494183333,1.00015016380759
"scaling[43]",1.0001262865509,1.00021428480034
"scaling[44]",1.0043158429074,1.01243152915322
"scaling[45]",1.00039682347155,1.00092489331323
"scaling[46]",1.0000571406375,1.00008292956271
"scaling[47]",1.00033529283757,1.00045347328308
"scaling[48]",1.00038989738596,1.00106003126633
"scaling[49]",1.00001630922356,1.00014338985989
"scaling[50]",1.00007877818558,1.00013333648654
"scaling[51]",1.00012946365305,1.00047603203362
"scaling0",1.00018325533424,1.00074506728467
"sd0",1.02176502508134,1.04887781646136
"sd1",1.01433051963558,1.03754182442974
"sigma_pop",1.00203615087386,1.00435761422797
"size",1.00054466925176,1.0013788682847
