"parameter","point_estimate","upper_ci"
"b0",1.00367336143222,1.00907348701576
"b1",1.00292061178497,1.00718265460497
"intercept[1]",1.00281497246529,1.00659516946681
"intercept[2]",1.004854270969,1.01087998979117
"intercept[3]",1.00294941254879,1.00801656060563
"intercept[4]",1.00188814960296,1.00482480266087
"intercept[5]",1.00202942514753,1.00574022927027
"intercept[6]",1.00201269914945,1.00490441867052
"intercept[7]",1.00248586899618,1.00660270528852
"intercept[8]",1.00318584036905,1.00827378010783
"intercept[9]",1.00234334491943,1.00581886380983
"intercept[10]",1.00218250638693,1.00511930067032
"intercept[11]",1.00212957389909,1.00607087289858
"intercept[12]",1.00235418213597,1.00612728168462
"intercept[13]",1.00241298035984,1.00590403885127
"intercept[14]",1.0018119855644,1.00468865872535
"intercept[15]",1.0029137384837,1.00759733685366
"intercept[16]",1.00207883832698,1.00535166569459
"intercept[17]",1.00262472129931,1.00700446525545
"intercept[18]",1.00173033788982,1.00402911590133
"intercept[19]",1.00158595515172,1.0039623609568
"intercept[20]",1.00288248711278,1.00713082189478
"intercept[21]",1.00304991678909,1.00819489218595
"intercept[22]",1.00219681231403,1.00558541584434
"intercept[23]",1.00232227622811,1.00629334869522
"intercept[24]",1.00183570539123,1.00470269604004
"intercept[25]",1.00327765486635,1.00787680777999
"intercept[26]",1.00160676669352,1.00439471807115
"intercept[27]",1.00195596967267,1.00553399080982
"intercept[28]",1.00297148115643,1.00763446664621
"intercept[29]",1.00220913101159,1.00541053425828
"intercept[30]",1.00188843855673,1.0049286322019
"intercept[31]",1.002269884116,1.00608597286567
"intercept[32]",1.00185651436735,1.00513538092476
"intercept[33]",1.00217959027813,1.00546379087406
"intercept[34]",1.00145134725236,1.00374026245431
"intercept[35]",1.00324446518867,1.00767414366813
"intercept[36]",1.00306866461547,1.00817767592785
"intercept[37]",1.00409711725814,1.01107043289964
"intercept[38]",1.00212869677553,1.00607350565537
"intercept[39]",1.00337345179697,1.00925333270967
"intercept[40]",1.00299754114871,1.00772760854246
"intercept[41]",1.00269255801442,1.00760429981013
"intercept[42]",1.00220292833899,1.0056127400606
"intercept[43]",1.00221860178445,1.00585957005238
"intercept[44]",1.00539025290701,1.01479204880266
"intercept[45]",1.00233411420563,1.00656607487234
"intercept[46]",1.00205831268767,1.00535626571236
"intercept[47]",1.00221974685776,1.00553643579797
"intercept[48]",1.00204217005918,1.0052987818568
"intercept[49]",1.00194751409504,1.0054322134196
"intercept[50]",1.00251521908251,1.0057750265958
"intercept[51]",1.00143891902355,1.0036558118158
"intercept0",1.0029608975915,1.00766801903249
"scaling[1]",1.00248100562592,1.00623530373654
"scaling[2]",1.0033269615118,1.00771747712736
"scaling[3]",1.00280275474135,1.00824485607217
"scaling[4]",1.00151431888947,1.00453072410976
"scaling[5]",1.002117938503,1.00625755463208
"scaling[6]",1.00088550543788,1.00226208197847
"scaling[7]",1.00194238504401,1.00556725649683
"scaling[8]",1.0030614430911,1.00838777414132
"scaling[9]",1.00137689654596,1.00403477565371
"scaling[10]",1.00079341261161,1.00213992737946
"scaling[11]",1.00189859122584,1.00537132941407
"scaling[12]",1.0013012946649,1.00370937276165
"scaling[13]",1.00144890678848,1.00420606363802
"scaling[14]",1.00107227250808,1.00290606471331
"scaling[15]",1.00231066628686,1.00665062586381
"scaling[16]",1.00099583488531,1.00302487044212
"scaling[17]",1.00137373155748,1.00417045816272
"scaling[18]",1.00075076177137,1.00185047402139
"scaling[19]",1.00058506591426,1.00136625435051
"scaling[20]",1.00154696712988,1.00431757906881
"scaling[21]",1.00249020218906,1.00700501890948
"scaling[22]",1.00060885530631,1.0016886310706
"scaling[23]",1.00190219290438,1.00571253241708
"scaling[24]",1.00135542665233,1.00369577256543
"scaling[25]",1.00227573134068,1.00567898332961
"scaling[26]",1.00139001685161,1.00424403371945
"scaling[27]",1.00145849131147,1.00432179497165
"scaling[28]",1.00184966648959,1.0051086347527
"scaling[29]",1.00071622383171,1.00185352205167
"scaling[30]",1.00127100919114,1.00377469758302
"scaling[31]",1.00145739121093,1.00429645972575
"scaling[32]",1.00197169783231,1.00574099686341
"scaling[33]",1.00121019214015,1.00281215122097
"scaling[34]",1.00080602417228,1.00197496074196
"scaling[35]",1.00212016700042,1.00554516348905
"scaling[36]",1.00164693985367,1.00475471370101
"scaling[37]",1.00377663672003,1.01030895769865
"scaling[38]",1.00074755424042,1.00220343166155
"scaling[39]",1.00328576588378,1.0092278957275
"scaling[40]",1.00264971554128,1.00743253689587
"scaling[41]",1.00199555082057,1.0058889454091
"scaling[42]",1.00132928258425,1.00390994104539
"scaling[43]",1.00153838361221,1.00449482259633
"scaling[44]",1.00418456235831,1.01173379256701
"scaling[45]",1.00127570446191,1.00384225092044
"scaling[46]",1.00076377219683,1.00220564340016
"scaling[47]",1.00077763258911,1.00239436081517
"scaling[48]",1.00140300434554,1.00382078069761
"scaling[49]",1.00114399645721,1.00349123302041
"scaling[50]",1.0010956026561,1.00294259934246
"scaling[51]",1.0007637630501,1.00206401137009
"scaling0",1.00221836591402,1.00625647323999
"sd0",1.00585577485013,1.01749023053262
"sd1",1.00715107581351,1.01956299026893
"sigma_pop",1.00463678294783,1.01336828188302
"size",1.00064483852232,1.00202358154954
