"parameter","point_estimate","upper_ci"
"b0",1.00572207757004,1.01603962649949
"b1",1.00506549822803,1.01524141858758
"intercept[1]",1.0044614367511,1.01376851160816
"intercept[2]",1.00168360888985,1.00372461176755
"intercept[3]",1.00408928448917,1.01261606295455
"intercept[4]",1.00209741502864,1.00631978119832
"intercept[5]",1.00317503612394,1.0096264577147
"intercept[6]",1.0034724090088,1.01077109660711
"intercept[7]",1.0036932221246,1.01133492022405
"intercept[8]",1.003500533226,1.01071815383312
"intercept[9]",1.00270997016546,1.008072351289
"intercept[10]",1.00288211508062,1.00847247289625
"intercept[11]",1.00303082374474,1.00916012423269
"intercept[12]",1.00272161356963,1.00838321451297
"intercept[13]",1.00321959763177,1.00995452419644
"intercept[14]",1.00257567945921,1.00797783372295
"intercept[15]",1.00393277708937,1.01218789799433
"intercept[16]",1.00246764689724,1.00727934387678
"intercept[17]",1.00240040633599,1.0070597858077
"intercept[18]",1.00185190347515,1.00497614264268
"intercept[19]",1.00231234295664,1.00676772319787
"intercept[20]",1.0021822412195,1.00517290124143
"intercept[21]",1.00496630716599,1.01492310348662
"intercept[22]",1.00186045647502,1.00496693188677
"intercept[23]",1.00275514271895,1.00846586389448
"intercept[24]",1.00315775692474,1.0097624349079
"intercept[25]",1.00386956188138,1.01194600785411
"intercept[26]",1.00282380867168,1.00805908089753
"intercept[27]",1.00267790905909,1.00824182549475
"intercept[28]",1.00294649391455,1.00912164368712
"intercept[29]",1.00225188627077,1.00601778951046
"intercept[30]",1.00232427587251,1.00663505362463
"intercept[31]",1.00299991382707,1.00913843614833
"intercept[32]",1.00363204897478,1.01123265106733
"intercept[33]",1.00221228620141,1.00600198789299
"intercept[34]",1.00227030202431,1.00676833183254
"intercept[35]",1.00217289764133,1.00584093346902
"intercept[36]",1.00295489987407,1.00907452391441
"intercept[37]",1.00555356644039,1.01617348330572
"intercept[38]",1.00244517832214,1.00739409190763
"intercept[39]",1.00380747356222,1.01183098912343
"intercept[40]",1.00421906941604,1.01295388578582
"intercept[41]",1.00288267118774,1.00870357621053
"intercept[42]",1.00134107936304,1.00360355342014
"intercept[43]",1.00239545222945,1.00676408043726
"intercept[44]",1.00531161762049,1.01575233642468
"intercept[45]",1.00287646237825,1.00882395476359
"intercept[46]",1.00184730820511,1.00509610183437
"intercept[47]",1.00226080709304,1.00624412558295
"intercept[48]",1.00336851226972,1.00991745267523
"intercept[49]",1.00241132268445,1.00704527687951
"intercept[50]",1.00223392136593,1.00674844086766
"intercept[51]",1.00269471694788,1.00790043925982
"intercept0",1.00319036685681,1.00971197252383
"scaling[1]",1.00468082960464,1.01451493445949
"scaling[2]",1.00213995140555,1.00444709537782
"scaling[3]",1.00401215179237,1.01241769540268
"scaling[4]",1.00257887626164,1.00751328681652
"scaling[5]",1.0029454422056,1.00896043211592
"scaling[6]",1.00280318764669,1.00858154215317
"scaling[7]",1.00369813197711,1.01139629138915
"scaling[8]",1.00363269223561,1.01117767123582
"scaling[9]",1.00287019607979,1.00834049850138
"scaling[10]",1.00235247097987,1.00641737437796
"scaling[11]",1.00272056583587,1.00793429859203
"scaling[12]",1.002864406684,1.00857562783045
"scaling[13]",1.00358353794084,1.01096157438269
"scaling[14]",1.00245574065227,1.00728903054303
"scaling[15]",1.00367643768558,1.01140205111744
"scaling[16]",1.00244874883022,1.00684542758557
"scaling[17]",1.00238861032772,1.00656374848462
"scaling[18]",1.00216565562803,1.00544258610125
"scaling[19]",1.00232828386819,1.00646307783903
"scaling[20]",1.00239561123533,1.00557485268068
"scaling[21]",1.0051281526962,1.01573016927598
"scaling[22]",1.00220119003865,1.00568078901096
"scaling[23]",1.00285069971215,1.00863488049255
"scaling[24]",1.00333716559698,1.01015121525683
"scaling[25]",1.00379638276612,1.01164799525418
"scaling[26]",1.00241562785911,1.00644922628328
"scaling[27]",1.00306189787865,1.00926923400575
"scaling[28]",1.00231241636075,1.00690738304233
"scaling[29]",1.00206405545376,1.00512089559672
"scaling[30]",1.00239524377576,1.00676383854053
"scaling[31]",1.00270425743421,1.00773726414565
"scaling[32]",1.0040784281095,1.01258648120651
"scaling[33]",1.00214180886939,1.00522928944551
"scaling[34]",1.00226410110382,1.006212273746
"scaling[35]",1.00189851020092,1.0052775907344
"scaling[36]",1.00238728425089,1.00744837255616
"scaling[37]",1.00490252102347,1.01478775704979
"scaling[38]",1.00254018338363,1.00741857743366
"scaling[39]",1.00346988298484,1.01083778570769
"scaling[40]",1.00345306862723,1.01077596359515
"scaling[41]",1.0028946640867,1.00842255476174
"scaling[42]",1.00176105611901,1.00447952218124
"scaling[43]",1.00235263535887,1.00639622611133
"scaling[44]",1.00493034221695,1.01487718058805
"scaling[45]",1.00243236173296,1.00729441093425
"scaling[46]",1.00205851928407,1.00496290770812
"scaling[47]",1.00217748188487,1.00546872985599
"scaling[48]",1.00317671292369,1.00913772042026
"scaling[49]",1.0025917422622,1.00724356860269
"scaling[50]",1.00266498214831,1.00779190053484
"scaling[51]",1.00266421489392,1.00753677668164
"scaling0",1.00301391555605,1.00880337204158
"sd0",1.00243438233715,1.00742953543132
"sd1",1.003061119768,1.00951685043769
"sigma_pop",1.00746687430999,1.0220227902865
"size",1.00418830776468,1.01060761558188
