"modelname","modeltype","lppd"
"allmonuments","power_law",-2.28263959452314
"allmonuments","power_law",-2.66335926683851
"allmonuments","power_law",-2.95665756541218
"allmonuments","power_law",-2.67326912350671
"allmonuments","power_law",-2.82881556331745
"allmonuments","power_law",-3.85982615129164
"allmonuments","power_law",-7.77163603687514
"allmonuments","power_law",-2.8736725133896
"allmonuments","power_law",-4.29366884484129
"allmonuments","power_law",-2.67814133673569
"allmonuments","power_law",-2.61986648593955
"allmonuments","power_law",-2.45392638699031
"allmonuments","power_law",-2.82610131391262
"allmonuments","power_law",-2.68716653086773
"allmonuments","power_law",-5.41558277317805
"allmonuments","power_law",-2.97828020598807
"allmonuments","power_law",-6.55206934469493
"allmonuments","power_law",-2.99996383172672
"allmonuments","power_law",-3.05385795921235
"allmonuments","power_law",-2.24668428959093
"allmonuments","power_law",-4.97464201491757
"allmonuments","power_law",-3.13058629697727
"allmonuments","power_law",-3.01852725196658
"allmonuments","power_law",-2.33758230785601
"allmonuments","power_law",-2.24800705758653
"allmonuments","power_law",-2.8099377219165
"allmonuments","power_law",-2.86399908343336
"allmonuments","power_law",-2.37961751481349
"allmonuments","power_law",-2.94546319323458
"allmonuments","power_law",-3.57219458402578
"allmonuments","power_law",-4.27856903646579
"allmonuments","power_law",-2.46879353773275
"allmonuments","power_law",-3.54588757196919
"allmonuments","power_law",-2.48369706425053
"allmonuments","power_law",-2.38623302097051
"allmonuments","power_law",-2.47343646908886
"allmonuments","power_law",-2.46461853861559
"allmonuments","power_law",-3.07736298560158
"allmonuments","power_law",-2.92130153547592
"allmonuments","power_law",-2.89133405259945
"allmonuments","power_law",-2.6734563218901
"allmonuments","power_law",-2.40709959005961
"allmonuments","power_law",-2.77054278549178
"allmonuments","power_law",-2.2141167141615
"allmonuments","power_law",-2.67845905365158
"allmonuments","power_law",-2.38735164999319
"allmonuments","power_law",-2.87570366279218
"allmonuments","power_law",-3.1040295738944
"allmonuments","power_law",-2.92202325801905
"allmonuments","power_law",-2.59925607400984
"allmonuments","power_law",-3.07922852200365
"allmonuments","power_law",-2.79560273284513
"allmonuments","power_law",-3.51735598913965
"allmonuments","power_law",-3.23943688846128
"allmonuments","power_law",-2.81974189608662
"allmonuments","power_law",-2.85396355000548
"allmonuments","power_law",-2.9227613734242
"allmonuments","power_law",-3.0999005535781
"allmonuments","power_law",-2.09091542241814
"allmonuments","power_law",-4.13479466306369
"allmonuments","power_law",-2.56985957016928
"allmonuments","power_law",-2.71351752390624
"allmonuments","power_law",-2.72683832661946
"allmonuments","power_law",-2.46156441857139
"allmonuments","power_law",-4.06243686538937
"allmonuments","power_law",-4.90943414543653
"allmonuments","power_law",-3.59768398658431
"allmonuments","power_law",-2.26316884764879
"allmonuments","power_law",-2.26390562819672
"allmonuments","power_law",-2.22412095689122
"allmonuments","power_law",-2.32504361131622
"allmonuments","power_law",-2.0355615066798
"allmonuments","power_law",-3.33734537152423
"allmonuments","power_law",-2.70522470273323
"allmonuments","power_law",-2.11051224440556
"allmonuments","power_law",-1.89137792016442
"allmonuments","power_law",-2.71441753409718
"allmonuments","power_law",-1.74953493445788
"allmonuments","power_law",-2.59158072764456
"allmonuments","power_law",-2.48458057082463
"allmonuments","power_law",-2.22077752435301
"allmonuments","power_law",-2.35067217461877
"allmonuments","power_law",-3.18008085376545
"allmonuments","power_law",-1.7852459661776
"allmonuments","power_law",-3.35046708443662
"allmonuments","power_law",-3.0975692965857
"allmonuments","power_law",-2.89952611806383
"allmonuments","power_law",-2.3873144054684
"allmonuments","power_law",-3.34268998954862
"allmonuments","power_law",-2.57931661210714
"allmonuments","power_law",-3.30130839372984
"allmonuments","power_law",-3.06640754326211
"allmonuments","power_law",-4.69421770593618
"allmonuments","power_law",-2.7691018920051
"allmonuments","power_law",-3.13146052781612
"allmonuments","power_law",-2.66586889970083
"allmonuments","power_law",-2.55412809613192
"allmonuments","power_law",-4.30260449945911
"allmonuments","power_law",-2.23306986796153
"allmonuments","power_law",-4.33266101310785
"allmonuments","power_law",-2.61500365317242
"allmonuments","power_law",-3.04560949366966
"allmonuments","power_law",-4.0723211542148
"allmonuments","power_law",-2.7066504530201
"allmonuments","power_law",-4.37637295293743
"allmonuments","power_law",-6.09929318062193
"allmonuments","power_law",-3.02346180904237
"allmonuments","power_law",-2.52881864284504
"allmonuments","power_law",-2.88331720563791
"allmonuments","power_law",-3.12296093158097
"allmonuments","power_law",-3.93175784074075
"allmonuments","power_law",-2.48177562280469
"allmonuments","power_law",-2.70898527915538
"allmonuments","power_law",-2.80951125421814
"allmonuments","power_law",-3.17777895904364
"allmonuments","power_law",-3.51258447188251
"allmonuments","power_law",-2.35729228188501
"allmonuments","power_law",-2.94214659682005
"allmonuments","power_law",-3.55723814963798
"allmonuments","power_law",-3.1306268297986
"allmonuments","power_law",-2.54164552399218
"allmonuments","power_law",-3.24108007024327
"allmonuments","power_law",-4.01751875983927
