"","lower","upper","mean","stdd"
"b0",2.84,5.23,4.09,0.46
"b1",0.9,1.49,1.17,0.11
"intercept[1]",-1.33,0.25,-0.5,0.31
"intercept[2]",-2.41,-0.29,-1.39,0.41
"intercept[3]",-1.46,0.2,-0.61,0.32
"intercept[4]",-1.62,0.24,-0.65,0.36
"intercept[5]",-1.47,0.37,-0.56,0.36
"intercept[6]",-1.59,0.27,-0.63,0.36
"intercept[7]",-1.43,0.26,-0.56,0.33
"intercept[8]",-1.33,0.29,-0.5,0.32
"intercept[9]",-1.63,0.02,-0.79,0.32
"intercept[10]",-1.67,0.18,-0.71,0.36
"intercept[11]",-1.38,0.23,-0.54,0.31
"intercept[12]",-1.56,0.24,-0.63,0.35
"intercept[13]",-1.45,0.21,-0.59,0.32
"intercept[14]",-1.57,0.3,-0.62,0.36
"intercept[15]",-1.43,0.24,-0.56,0.32
"intercept[16]",-1.62,0.12,-0.74,0.34
"intercept[17]",-1.59,0.09,-0.73,0.32
"intercept[18]",-1.66,0.03,-0.8,0.33
"intercept[19]",-1.62,0.06,-0.75,0.33
"intercept[20]",-1.73,-0.02,-0.85,0.33
"intercept[21]",-1.23,0.39,-0.39,0.32
"intercept[22]",-1.73,0.11,-0.79,0.36
"intercept[23]",-1.46,0.21,-0.59,0.32
"intercept[24]",-1.43,0.12,-0.64,0.3
"intercept[25]",-1.3,0.26,-0.52,0.3
"intercept[26]",-1.62,0.05,-0.77,0.32
"intercept[27]",-1.44,0.21,-0.59,0.32
"intercept[28]",-1.48,0.13,-0.64,0.31
"intercept[29]",-1.55,0.12,-0.71,0.32
"intercept[30]",-1.56,0.1,-0.7,0.32
"intercept[31]",-1.52,0.09,-0.68,0.31
"intercept[32]",-1.52,0.03,-0.72,0.3
"intercept[33]",-1.67,0.03,-0.81,0.33
"intercept[34]",-1.54,0.09,-0.68,0.31
"intercept[35]",-1.75,0.02,-0.85,0.34
"intercept[36]",-1.44,0.22,-0.59,0.32
"intercept[37]",-1.07,0.6,-0.22,0.32
"intercept[38]",-1.46,0.2,-0.63,0.32
"intercept[39]",-1.38,0.26,-0.52,0.32
"intercept[40]",-1.34,0.45,-0.42,0.35
"intercept[41]",-1.38,0.32,-0.52,0.33
"intercept[42]",-1.8,-0.04,-0.89,0.34
"intercept[43]",-1.67,0.15,-0.74,0.35
"intercept[44]",-1.12,0.58,-0.25,0.33
"intercept[45]",-1.58,0.16,-0.66,0.34
"intercept[46]",-1.73,0.03,-0.82,0.34
"intercept[47]",-1.78,0.15,-0.79,0.37
"intercept[48]",-1.43,0.21,-0.59,0.32
"intercept[49]",-1.64,0.06,-0.75,0.33
"intercept[50]",-1.64,0.03,-0.79,0.32
"intercept[51]",-1.51,0.18,-0.65,0.33
"intercept0",-1.43,0.06,-0.66,0.29
"scaling[1]",0.25,0.43,0.33,0.03
"scaling[2]",0.2,0.41,0.31,0.04
"scaling[3]",0.25,0.43,0.33,0.03
"scaling[4]",0.24,0.42,0.33,0.04
"scaling[5]",0.24,0.42,0.33,0.04
"scaling[6]",0.24,0.42,0.33,0.04
"scaling[7]",0.24,0.42,0.33,0.03
"scaling[8]",0.25,0.43,0.33,0.03
"scaling[9]",0.23,0.42,0.32,0.03
"scaling[10]",0.24,0.42,0.33,0.04
"scaling[11]",0.24,0.42,0.33,0.03
"scaling[12]",0.24,0.42,0.33,0.04
"scaling[13]",0.24,0.42,0.33,0.03
"scaling[14]",0.24,0.42,0.33,0.04
"scaling[15]",0.24,0.42,0.33,0.03
"scaling[16]",0.23,0.42,0.33,0.03
"scaling[17]",0.24,0.42,0.33,0.03
"scaling[18]",0.23,0.42,0.32,0.03
"scaling[19]",0.24,0.42,0.32,0.03
"scaling[20]",0.23,0.41,0.32,0.04
"scaling[21]",0.25,0.43,0.33,0.04
"scaling[22]",0.23,0.42,0.32,0.04
"scaling[23]",0.24,0.42,0.33,0.03
"scaling[24]",0.24,0.42,0.33,0.03
"scaling[25]",0.24,0.42,0.33,0.03
"scaling[26]",0.23,0.42,0.32,0.03
"scaling[27]",0.24,0.42,0.33,0.03
"scaling[28]",0.24,0.42,0.33,0.03
"scaling[29]",0.23,0.42,0.32,0.04
"scaling[30]",0.24,0.42,0.33,0.03
"scaling[31]",0.24,0.42,0.32,0.03
"scaling[32]",0.25,0.43,0.34,0.03
"scaling[33]",0.23,0.42,0.32,0.04
"scaling[34]",0.24,0.42,0.33,0.03
"scaling[35]",0.23,0.42,0.32,0.04
"scaling[36]",0.24,0.42,0.33,0.03
"scaling[37]",0.25,0.44,0.34,0.04
"scaling[38]",0.24,0.42,0.33,0.03
"scaling[39]",0.24,0.43,0.33,0.03
"scaling[40]",0.25,0.43,0.33,0.04
"scaling[41]",0.24,0.43,0.33,0.04
"scaling[42]",0.23,0.42,0.32,0.04
"scaling[43]",0.23,0.42,0.32,0.04
"scaling[44]",0.25,0.43,0.34,0.04
"scaling[45]",0.23,0.42,0.33,0.04
"scaling[46]",0.23,0.41,0.32,0.04
"scaling[47]",0.23,0.42,0.32,0.04
"scaling[48]",0.24,0.42,0.33,0.03
"scaling[49]",0.24,0.42,0.32,0.03
"scaling[50]",0.24,0.42,0.33,0.03
"scaling[51]",0.24,0.42,0.33,0.03
"scaling0",0.25,0.42,0.33,0.03
"sd0",0.03,0.39,0.24,0.06
"sd1",0,0.03,0.01,0.01
"sigma_pop",0.59,1.06,0.8,0.09
"size",3.36,6.17,4.55,0.54
