"","lower","upper","mean","stdd"
"b0",2.78,5.09,4.06,0.45
"b1",0.95,1.54,1.23,0.11
"intercept[1]",-11.74,-1.62,-6.76,1.96
"intercept[2]",-16.75,-4.22,-9.98,2.62
"intercept[3]",-12.12,-2.09,-7.07,1.95
"intercept[4]",-12.06,-1.86,-7.16,1.97
"intercept[5]",-12.19,-1.52,-7.02,2.04
"intercept[6]",-12.43,-2.12,-7.21,2
"intercept[7]",-11.87,-1.63,-6.95,1.97
"intercept[8]",-11.68,-1.52,-6.66,1.99
"intercept[9]",-12.85,-3.32,-7.88,1.81
"intercept[10]",-12.77,-2.05,-7.34,2.02
"intercept[11]",-11.83,-2.18,-7.02,1.88
"intercept[12]",-12.29,-1.85,-7.2,1.99
"intercept[13]",-12.05,-2.13,-7.12,1.9
"intercept[14]",-12.26,-1.77,-7.17,2
"intercept[15]",-11.78,-1.68,-6.89,1.97
"intercept[16]",-13.03,-3.13,-7.7,1.91
"intercept[17]",-12.26,-2.95,-7.63,1.81
"intercept[18]",-12.99,-3.04,-7.9,1.92
"intercept[19]",-12.2,-2.48,-7.41,1.84
"intercept[20]",-12.82,-3.32,-7.94,1.86
"intercept[21]",-11.57,-1.03,-6.41,2.04
"intercept[22]",-13.22,-2.43,-7.71,2.03
"intercept[23]",-12.23,-2.09,-7.06,1.92
"intercept[24]",-12.1,-2.96,-7.39,1.78
"intercept[25]",-11.6,-2.32,-6.92,1.85
"intercept[26]",-12.68,-3.17,-7.84,1.86
"intercept[27]",-12.23,-2.47,-7.32,1.88
"intercept[28]",-11.82,-2.69,-7.05,1.81
"intercept[29]",-12.52,-2.95,-7.52,1.85
"intercept[30]",-12.43,-2.72,-7.65,1.87
"intercept[31]",-11.86,-2.57,-7.28,1.82
"intercept[32]",-12.58,-3.57,-7.9,1.76
"intercept[33]",-12.42,-3.22,-7.73,1.79
"intercept[34]",-12.34,-2.85,-7.56,1.85
"intercept[35]",-13.16,-3.38,-8.06,1.91
"intercept[36]",-11.95,-2.34,-7.01,1.87
"intercept[37]",-11.32,-0.19,-5.85,2.2
"intercept[38]",-12.1,-2.3,-7.11,1.88
"intercept[39]",-11.75,-2.11,-6.83,1.88
"intercept[40]",-11.93,-1.05,-6.64,2.08
"intercept[41]",-11.38,-1.27,-6.47,1.98
"intercept[42]",-13.24,-3.49,-8.02,1.9
"intercept[43]",-12.35,-2.28,-7.43,1.95
"intercept[44]",-11.36,0.27,-5.7,2.31
"intercept[45]",-12.27,-2.06,-7.15,1.94
"intercept[46]",-12.6,-2.87,-7.68,1.86
"intercept[47]",-13.02,-2.68,-7.78,1.98
"intercept[48]",-11.95,-2.01,-7.07,1.89
"intercept[49]",-12.61,-2.53,-7.46,1.92
"intercept[50]",-12.82,-3.28,-7.94,1.87
"intercept[51]",-11.97,-2.27,-7.28,1.88
"intercept0",-11.45,-3.13,-7.3,1.61
"scaling[1]",1.5,2.68,2.08,0.23
"scaling[2]",0.82,2.15,1.45,0.28
"scaling[3]",1.4,2.57,1.98,0.23
"scaling[4]",1.25,2.61,1.91,0.26
"scaling[5]",1.3,2.69,1.95,0.27
"scaling[6]",1.25,2.66,1.91,0.27
"scaling[7]",1.36,2.65,1.97,0.25
"scaling[8]",1.47,2.67,2.05,0.24
"scaling[9]",1.23,2.41,1.8,0.23
"scaling[10]",1.25,2.59,1.89,0.26
"scaling[11]",1.37,2.56,1.95,0.23
"scaling[12]",1.27,2.61,1.91,0.25
"scaling[13]",1.34,2.54,1.93,0.23
"scaling[14]",1.25,2.62,1.92,0.26
"scaling[15]",1.39,2.65,1.99,0.24
"scaling[16]",1.25,2.49,1.84,0.24
"scaling[17]",1.25,2.46,1.84,0.24
"scaling[18]",1.2,2.38,1.8,0.23
"scaling[19]",1.26,2.48,1.85,0.24
"scaling[20]",1.23,2.35,1.77,0.22
"scaling[21]",1.45,2.75,2.07,0.25
"scaling[22]",1.18,2.48,1.82,0.25
"scaling[23]",1.34,2.58,1.93,0.24
"scaling[24]",1.31,2.48,1.87,0.23
"scaling[25]",1.4,2.53,1.96,0.23
"scaling[26]",1.23,2.42,1.81,0.23
"scaling[27]",1.34,2.54,1.93,0.23
"scaling[28]",1.27,2.52,1.87,0.24
"scaling[29]",1.22,2.44,1.84,0.24
"scaling[30]",1.22,2.45,1.84,0.24
"scaling[31]",1.25,2.45,1.83,0.23
"scaling[32]",1.46,2.57,1.99,0.22
"scaling[33]",1.18,2.37,1.78,0.23
"scaling[34]",1.26,2.44,1.85,0.23
"scaling[35]",1.15,2.37,1.76,0.24
"scaling[36]",1.31,2.58,1.94,0.24
"scaling[37]",1.48,2.9,2.15,0.28
"scaling[38]",1.34,2.57,1.92,0.24
"scaling[39]",1.36,2.66,1.97,0.25
"scaling[40]",1.39,2.75,2.02,0.27
"scaling[41]",1.35,2.7,1.98,0.26
"scaling[42]",1.13,2.37,1.74,0.25
"scaling[43]",1.21,2.56,1.85,0.26
"scaling[44]",1.46,2.88,2.16,0.28
"scaling[45]",1.28,2.54,1.89,0.25
"scaling[46]",1.16,2.41,1.79,0.24
"scaling[47]",1.1,2.51,1.81,0.27
"scaling[48]",1.36,2.57,1.95,0.23
"scaling[49]",1.27,2.46,1.87,0.23
"scaling[50]",1.24,2.4,1.82,0.23
"scaling[51]",1.31,2.55,1.92,0.24
"scaling0",1.42,2.4,1.9,0.19
"sd0",0,2.48,1.15,0.61
"sd1",0,0.31,0.19,0.06
"sigma_pop",0.58,0.98,0.76,0.08
"size",2.72,4.08,3.36,0.27
