"","lower","upper","mean","stdd"
"b0",2.99,5.33,4.26,0.45
"b1",0.84,1.41,1.1,0.11
"intercept[1]",-1.27,0.26,-0.49,0.3
"intercept[2]",-1.96,-0.03,-0.97,0.39
"intercept[3]",-1.32,0.25,-0.51,0.3
"intercept[4]",-1.46,0.26,-0.58,0.33
"intercept[5]",-1.4,0.31,-0.51,0.33
"intercept[6]",-1.45,0.27,-0.56,0.33
"intercept[7]",-1.34,0.27,-0.51,0.31
"intercept[8]",-1.28,0.28,-0.47,0.3
"intercept[9]",-1.44,0.14,-0.62,0.31
"intercept[10]",-1.49,0.21,-0.61,0.33
"intercept[11]",-1.3,0.25,-0.51,0.3
"intercept[12]",-1.43,0.22,-0.57,0.32
"intercept[13]",-1.35,0.22,-0.54,0.31
"intercept[14]",-1.43,0.28,-0.55,0.33
"intercept[15]",-1.33,0.27,-0.51,0.31
"intercept[16]",-1.5,0.15,-0.65,0.32
"intercept[17]",-1.46,0.14,-0.65,0.31
"intercept[18]",-1.51,0.12,-0.67,0.32
"intercept[19]",-1.48,0.13,-0.66,0.31
"intercept[20]",-1.6,0.06,-0.74,0.32
"intercept[21]",-1.2,0.37,-0.39,0.31
"intercept[22]",-1.57,0.14,-0.68,0.33
"intercept[23]",-1.38,0.22,-0.54,0.31
"intercept[24]",-1.33,0.2,-0.53,0.29
"intercept[25]",-1.26,0.26,-0.47,0.29
"intercept[26]",-1.43,0.16,-0.62,0.31
"intercept[27]",-1.32,0.27,-0.52,0.31
"intercept[28]",-1.4,0.16,-0.58,0.3
"intercept[29]",-1.46,0.13,-0.63,0.31
"intercept[30]",-1.38,0.21,-0.56,0.31
"intercept[31]",-1.37,0.17,-0.56,0.3
"intercept[32]",-1.37,0.12,-0.6,0.29
"intercept[33]",-1.57,0.08,-0.71,0.32
"intercept[34]",-1.35,0.2,-0.56,0.3
"intercept[35]",-1.58,0.12,-0.72,0.33
"intercept[36]",-1.31,0.26,-0.5,0.3
"intercept[37]",-1.1,0.54,-0.26,0.32
"intercept[38]",-1.4,0.2,-0.57,0.31
"intercept[39]",-1.3,0.27,-0.49,0.3
"intercept[40]",-1.25,0.43,-0.41,0.32
"intercept[41]",-1.35,0.28,-0.49,0.31
"intercept[42]",-1.66,0.05,-0.76,0.33
"intercept[43]",-1.54,0.16,-0.65,0.33
"intercept[44]",-1.13,0.52,-0.28,0.32
"intercept[45]",-1.43,0.2,-0.59,0.32
"intercept[46]",-1.59,0.09,-0.71,0.33
"intercept[47]",-1.6,0.17,-0.67,0.34
"intercept[48]",-1.33,0.23,-0.54,0.3
"intercept[49]",-1.49,0.12,-0.65,0.31
"intercept[50]",-1.46,0.14,-0.63,0.31
"intercept[51]",-1.42,0.19,-0.59,0.31
"intercept0",-1.33,0.12,-0.58,0.28
"scaling[1]",0.25,0.42,0.33,0.03
"scaling[2]",0.2,0.4,0.3,0.04
"scaling[3]",0.24,0.42,0.33,0.03
"scaling[4]",0.23,0.42,0.32,0.04
"scaling[5]",0.24,0.42,0.33,0.04
"scaling[6]",0.23,0.42,0.32,0.04
"scaling[7]",0.24,0.42,0.33,0.03
"scaling[8]",0.25,0.42,0.33,0.03
"scaling[9]",0.23,0.41,0.32,0.03
"scaling[10]",0.23,0.42,0.32,0.04
"scaling[11]",0.24,0.42,0.33,0.03
"scaling[12]",0.24,0.42,0.32,0.04
"scaling[13]",0.24,0.42,0.33,0.03
"scaling[14]",0.23,0.42,0.33,0.04
"scaling[15]",0.24,0.42,0.33,0.03
"scaling[16]",0.23,0.41,0.32,0.04
"scaling[17]",0.23,0.41,0.32,0.04
"scaling[18]",0.23,0.41,0.32,0.04
"scaling[19]",0.23,0.41,0.32,0.04
"scaling[20]",0.22,0.41,0.31,0.04
"scaling[21]",0.25,0.43,0.34,0.04
"scaling[22]",0.22,0.41,0.32,0.04
"scaling[23]",0.24,0.42,0.33,0.03
"scaling[24]",0.24,0.42,0.33,0.03
"scaling[25]",0.25,0.42,0.33,0.03
"scaling[26]",0.23,0.41,0.32,0.03
"scaling[27]",0.24,0.42,0.33,0.03
"scaling[28]",0.23,0.41,0.32,0.04
"scaling[29]",0.23,0.41,0.32,0.04
"scaling[30]",0.24,0.42,0.32,0.04
"scaling[31]",0.23,0.41,0.32,0.03
"scaling[32]",0.26,0.43,0.33,0.03
"scaling[33]",0.22,0.41,0.31,0.04
"scaling[34]",0.24,0.42,0.32,0.03
"scaling[35]",0.22,0.41,0.31,0.04
"scaling[36]",0.24,0.42,0.33,0.03
"scaling[37]",0.25,0.44,0.34,0.04
"scaling[38]",0.24,0.41,0.32,0.03
"scaling[39]",0.24,0.42,0.33,0.03
"scaling[40]",0.24,0.43,0.33,0.04
"scaling[41]",0.24,0.42,0.33,0.04
"scaling[42]",0.21,0.41,0.31,0.04
"scaling[43]",0.23,0.42,0.32,0.04
"scaling[44]",0.25,0.44,0.34,0.04
"scaling[45]",0.23,0.41,0.32,0.04
"scaling[46]",0.22,0.41,0.32,0.04
"scaling[47]",0.22,0.42,0.32,0.04
"scaling[48]",0.24,0.42,0.33,0.03
"scaling[49]",0.23,0.41,0.32,0.03
"scaling[50]",0.23,0.41,0.32,0.03
"scaling[51]",0.24,0.41,0.32,0.03
"scaling0",0.24,0.41,0.32,0.03
"sd0",0,0.31,0.18,0.07
"sd1",0,0.03,0.01,0.01
"sigma_pop",0.61,1.1,0.84,0.1
"size",4.36,8.87,6.18,0.87
