"","lower","upper","mean","stdd"
"b0",2.85,5.21,4.13,0.45
"b1",0.9,1.49,1.18,0.11
"intercept[1]",-1.03,0.47,-0.25,0.29
"intercept[2]",-2.12,-0.18,-1.14,0.37
"intercept[3]",-1.23,0.34,-0.4,0.3
"intercept[4]",-1.32,0.47,-0.41,0.34
"intercept[5]",-1.18,0.58,-0.3,0.34
"intercept[6]",-1.31,0.47,-0.38,0.35
"intercept[7]",-1.13,0.48,-0.29,0.31
"intercept[8]",-1.03,0.52,-0.22,0.3
"intercept[9]",-1.34,0.21,-0.55,0.3
"intercept[10]",-1.36,0.41,-0.45,0.34
"intercept[11]",-1.07,0.44,-0.29,0.29
"intercept[12]",-1.25,0.46,-0.38,0.33
"intercept[13]",-1.14,0.43,-0.34,0.3
"intercept[14]",-1.29,0.49,-0.37,0.34
"intercept[15]",-1.1,0.47,-0.29,0.31
"intercept[16]",-1.51,0.19,-0.64,0.33
"intercept[17]",-1.28,0.28,-0.49,0.31
"intercept[18]",-1.37,0.22,-0.55,0.31
"intercept[19]",-1.3,0.27,-0.5,0.31
"intercept[20]",-1.41,0.17,-0.61,0.31
"intercept[21]",-0.92,0.63,-0.12,0.3
"intercept[22]",-1.44,0.3,-0.55,0.34
"intercept[23]",-1.16,0.42,-0.34,0.31
"intercept[24]",-1.16,0.3,-0.41,0.28
"intercept[25]",-1.02,0.45,-0.27,0.28
"intercept[26]",-1.34,0.22,-0.52,0.3
"intercept[27]",-1.16,0.41,-0.33,0.3
"intercept[28]",-1.18,0.32,-0.42,0.29
"intercept[29]",-1.29,0.28,-0.48,0.3
"intercept[30]",-1.25,0.3,-0.46,0.3
"intercept[31]",-1.24,0.25,-0.45,0.29
"intercept[32]",-1.26,0.19,-0.52,0.28
"intercept[33]",-1.39,0.18,-0.58,0.31
"intercept[34]",-1.23,0.29,-0.44,0.29
"intercept[35]",-1.47,0.19,-0.61,0.32
"intercept[36]",-1.16,0.4,-0.34,0.3
"intercept[37]",-0.8,0.79,0.04,0.31
"intercept[38]",-1.18,0.39,-0.37,0.3
"intercept[39]",-1.08,0.47,-0.28,0.3
"intercept[40]",-1.03,0.68,-0.16,0.33
"intercept[41]",-1.11,0.5,-0.28,0.31
"intercept[42]",-1.54,0.12,-0.66,0.32
"intercept[43]",-1.39,0.36,-0.51,0.34
"intercept[44]",-0.83,0.79,0.02,0.31
"intercept[45]",-1.27,0.38,-0.42,0.32
"intercept[46]",-1.42,0.21,-0.58,0.32
"intercept[47]",-1.51,0.34,-0.55,0.36
"intercept[48]",-1.14,0.42,-0.33,0.3
"intercept[49]",-1.3,0.3,-0.48,0.31
"intercept[50]",-1.36,0.21,-0.54,0.3
"intercept[51]",-1.21,0.38,-0.39,0.31
"intercept0",-1.13,0.26,-0.42,0.27
"scaling[1]",0.22,0.39,0.3,0.03
"scaling[2]",0.18,0.37,0.28,0.04
"scaling[3]",0.22,0.38,0.3,0.03
"scaling[4]",0.21,0.38,0.29,0.03
"scaling[5]",0.22,0.39,0.3,0.03
"scaling[6]",0.22,0.39,0.3,0.03
"scaling[7]",0.22,0.39,0.3,0.03
"scaling[8]",0.22,0.39,0.3,0.03
"scaling[9]",0.21,0.38,0.29,0.03
"scaling[10]",0.21,0.38,0.29,0.03
"scaling[11]",0.22,0.39,0.3,0.03
"scaling[12]",0.21,0.38,0.3,0.03
"scaling[13]",0.22,0.38,0.3,0.03
"scaling[14]",0.22,0.39,0.3,0.03
"scaling[15]",0.22,0.38,0.3,0.03
"scaling[16]",0.21,0.38,0.29,0.03
"scaling[17]",0.21,0.38,0.29,0.03
"scaling[18]",0.21,0.38,0.29,0.03
"scaling[19]",0.21,0.38,0.29,0.03
"scaling[20]",0.21,0.38,0.29,0.03
"scaling[21]",0.22,0.39,0.3,0.03
"scaling[22]",0.21,0.38,0.29,0.03
"scaling[23]",0.22,0.39,0.3,0.03
"scaling[24]",0.22,0.38,0.3,0.03
"scaling[25]",0.22,0.39,0.3,0.03
"scaling[26]",0.21,0.38,0.29,0.03
"scaling[27]",0.22,0.38,0.3,0.03
"scaling[28]",0.21,0.38,0.29,0.03
"scaling[29]",0.21,0.38,0.29,0.03
"scaling[30]",0.21,0.38,0.29,0.03
"scaling[31]",0.21,0.38,0.29,0.03
"scaling[32]",0.21,0.38,0.29,0.03
"scaling[33]",0.21,0.38,0.29,0.03
"scaling[34]",0.21,0.38,0.29,0.03
"scaling[35]",0.21,0.38,0.29,0.03
"scaling[36]",0.21,0.38,0.3,0.03
"scaling[37]",0.22,0.4,0.3,0.03
"scaling[38]",0.21,0.38,0.29,0.03
"scaling[39]",0.22,0.38,0.3,0.03
"scaling[40]",0.22,0.39,0.3,0.03
"scaling[41]",0.21,0.39,0.3,0.03
"scaling[42]",0.2,0.38,0.29,0.03
"scaling[43]",0.21,0.38,0.29,0.03
"scaling[44]",0.22,0.4,0.3,0.03
"scaling[45]",0.21,0.38,0.29,0.03
"scaling[46]",0.21,0.38,0.29,0.03
"scaling[47]",0.21,0.38,0.29,0.03
"scaling[48]",0.22,0.39,0.3,0.03
"scaling[49]",0.21,0.38,0.29,0.03
"scaling[50]",0.22,0.38,0.29,0.03
"scaling[51]",0.21,0.38,0.3,0.03
"scaling0",0.22,0.38,0.29,0.03
"sd0",0.04,0.39,0.25,0.06
"sd1",0,0.03,0.01,0.01
"sigma_pop",0.55,0.99,0.74,0.08
"size",3.59,6.25,4.69,0.51
