"","lower","upper","mean","stdd"
"b0",2.46,5.93,4.44,0.66
"b1",0.69,1.55,1.06,0.16
"intercept[1]",-1.53,0.65,-0.37,0.43
"intercept[2]",-1.61,0.61,-0.45,0.44
"intercept[3]",-1.59,0.66,-0.41,0.44
"intercept[4]",-1.58,0.68,-0.39,0.44
"intercept[5]",-1.52,0.75,-0.31,0.44
"intercept[6]",-1.54,0.65,-0.39,0.43
"intercept[7]",-1.59,0.6,-0.43,0.43
"intercept[8]",-1.64,0.62,-0.43,0.44
"intercept[9]",-1.55,0.65,-0.38,0.43
"intercept[10]",-1.59,0.65,-0.39,0.43
"intercept[11]",-1.58,0.64,-0.4,0.43
"intercept[12]",-1.6,0.66,-0.41,0.44
"intercept[13]",-1.51,0.73,-0.32,0.44
"intercept[14]",-1.6,0.64,-0.41,0.44
"intercept[15]",-1.72,0.51,-0.5,0.43
"intercept[16]",-1.63,0.63,-0.43,0.44
"intercept[17]",-1.61,0.61,-0.42,0.43
"intercept[18]",-1.63,0.61,-0.46,0.44
"intercept[19]",-1.46,0.76,-0.28,0.43
"intercept[20]",-1.61,0.63,-0.43,0.44
"intercept[21]",-1.66,0.59,-0.46,0.44
"intercept[22]",-1.65,0.53,-0.5,0.43
"intercept[23]",-1.52,0.67,-0.37,0.42
"intercept[24]",-1.59,0.62,-0.43,0.43
"intercept[25]",-1.56,0.68,-0.36,0.43
"intercept[26]",-1.55,0.68,-0.37,0.43
"intercept[27]",-1.61,0.63,-0.42,0.44
"intercept[28]",-1.54,0.67,-0.4,0.43
"intercept[29]",-1.59,0.59,-0.44,0.43
"intercept[30]",-1.59,0.59,-0.43,0.42
"intercept[31]",-1.58,0.68,-0.38,0.44
"intercept[32]",-1.53,0.67,-0.37,0.43
"intercept[33]",-1.65,0.58,-0.45,0.44
"intercept[34]",-1.55,0.65,-0.38,0.43
"intercept[35]",-1.41,0.86,-0.2,0.44
"intercept[36]",-1.55,0.65,-0.4,0.43
"intercept[37]",-1.57,0.65,-0.41,0.43
"intercept[38]",-1.48,0.78,-0.31,0.44
"intercept[39]",-1.58,0.65,-0.41,0.43
"intercept[40]",-1.66,0.58,-0.44,0.43
"intercept[41]",-1.64,0.62,-0.44,0.44
"intercept[42]",-1.42,0.87,-0.22,0.45
"intercept[43]",-1.61,0.63,-0.41,0.43
"intercept[44]",-1.66,0.59,-0.45,0.44
"intercept[45]",-1.62,0.63,-0.42,0.44
"intercept[46]",-1.58,0.63,-0.42,0.43
"intercept[47]",-1.61,0.61,-0.43,0.43
"intercept[48]",-1.58,0.65,-0.41,0.43
"intercept[49]",-1.62,0.59,-0.45,0.43
"intercept0",-1.54,0.61,-0.4,0.42
"scaling[1]",0.21,0.45,0.32,0.05
"scaling[2]",0.19,0.44,0.31,0.05
"scaling[3]",0.19,0.45,0.31,0.05
"scaling[4]",0.19,0.45,0.31,0.05
"scaling[5]",0.2,0.46,0.32,0.05
"scaling[6]",0.2,0.45,0.31,0.05
"scaling[7]",0.19,0.44,0.31,0.05
"scaling[8]",0.19,0.44,0.31,0.05
"scaling[9]",0.2,0.45,0.31,0.05
"scaling[10]",0.19,0.45,0.31,0.05
"scaling[11]",0.19,0.45,0.31,0.05
"scaling[12]",0.19,0.45,0.31,0.05
"scaling[13]",0.2,0.46,0.32,0.05
"scaling[14]",0.19,0.45,0.31,0.05
"scaling[15]",0.18,0.44,0.31,0.05
"scaling[16]",0.19,0.45,0.31,0.05
"scaling[17]",0.19,0.45,0.31,0.05
"scaling[18]",0.19,0.44,0.31,0.05
"scaling[19]",0.2,0.46,0.32,0.05
"scaling[20]",0.19,0.44,0.31,0.05
"scaling[21]",0.18,0.44,0.31,0.05
"scaling[22]",0.19,0.44,0.31,0.05
"scaling[23]",0.2,0.45,0.32,0.05
"scaling[24]",0.19,0.45,0.31,0.05
"scaling[25]",0.2,0.45,0.32,0.05
"scaling[26]",0.2,0.45,0.31,0.05
"scaling[27]",0.19,0.45,0.31,0.05
"scaling[28]",0.19,0.45,0.31,0.05
"scaling[29]",0.19,0.44,0.31,0.05
"scaling[30]",0.19,0.44,0.31,0.05
"scaling[31]",0.19,0.45,0.31,0.05
"scaling[32]",0.2,0.45,0.32,0.05
"scaling[33]",0.19,0.45,0.31,0.05
"scaling[34]",0.19,0.45,0.32,0.05
"scaling[35]",0.21,0.47,0.33,0.05
"scaling[36]",0.19,0.45,0.31,0.05
"scaling[37]",0.19,0.44,0.31,0.05
"scaling[38]",0.2,0.45,0.32,0.05
"scaling[39]",0.19,0.45,0.31,0.05
"scaling[40]",0.18,0.44,0.31,0.05
"scaling[41]",0.19,0.45,0.31,0.05
"scaling[42]",0.2,0.46,0.32,0.05
"scaling[43]",0.19,0.45,0.31,0.05
"scaling[44]",0.19,0.45,0.31,0.05
"scaling[45]",0.19,0.45,0.31,0.05
"scaling[46]",0.19,0.44,0.31,0.05
"scaling[47]",0.19,0.44,0.31,0.05
"scaling[48]",0.19,0.45,0.31,0.05
"scaling[49]",0.19,0.44,0.31,0.05
"scaling0",0.19,0.44,0.31,0.05
"sd0",0,0.26,0.12,0.06
"sd1",0,0.03,0.01,0.01
"sigma_pop",0.46,1.1,0.72,0.13
"size",4.1,9.83,6.35,1.1
