"","lower","upper","mean","stdd"
"b0",2.21,5.47,4.03,0.64
"b1",0.81,1.65,1.19,0.16
"intercept[1]",-12.69,-0.31,-6.26,2.36
"intercept[2]",-13.21,-0.74,-6.66,2.4
"intercept[3]",-12.96,-0.61,-6.51,2.38
"intercept[4]",-13.07,-0.58,-6.48,2.4
"intercept[5]",-12.72,-0.09,-6.15,2.41
"intercept[6]",-12.79,-0.65,-6.41,2.34
"intercept[7]",-13.07,-0.92,-6.63,2.35
"intercept[8]",-13.22,-0.74,-6.6,2.4
"intercept[9]",-12.89,-0.73,-6.47,2.34
"intercept[10]",-12.87,-0.46,-6.49,2.39
"intercept[11]",-12.9,-0.66,-6.52,2.37
"intercept[12]",-13.1,-0.65,-6.54,2.4
"intercept[13]",-12.86,-0.31,-6.22,2.4
"intercept[14]",-13.14,-0.67,-6.51,2.39
"intercept[15]",-13.4,-1.25,-7.02,2.37
"intercept[16]",-13.32,-0.82,-6.67,2.41
"intercept[17]",-13,-0.9,-6.58,2.34
"intercept[18]",-13.11,-0.85,-6.65,2.38
"intercept[19]",-12.48,0.09,-6.04,2.4
"intercept[20]",-13.02,-0.67,-6.59,2.39
"intercept[21]",-13.31,-0.88,-6.73,2.4
"intercept[22]",-13.39,-1.28,-7.03,2.35
"intercept[23]",-12.8,-0.75,-6.4,2.34
"intercept[24]",-13.09,-0.82,-6.66,2.37
"intercept[25]",-12.79,-0.33,-6.38,2.38
"intercept[26]",-12.79,-0.6,-6.41,2.36
"intercept[27]",-12.96,-0.63,-6.57,2.38
"intercept[28]",-12.96,-0.72,-6.53,2.37
"intercept[29]",-13.15,-1.15,-6.72,2.33
"intercept[30]",-12.98,-1.02,-6.7,2.32
"intercept[31]",-12.91,-0.49,-6.43,2.4
"intercept[32]",-12.83,-0.73,-6.43,2.35
"intercept[33]",-13.3,-0.87,-6.72,2.4
"intercept[34]",-12.8,-0.68,-6.43,2.33
"intercept[35]",-12.34,0.62,-5.68,2.47
"intercept[36]",-12.91,-0.7,-6.47,2.36
"intercept[37]",-13.1,-0.84,-6.62,2.37
"intercept[38]",-12.66,-0.04,-6.2,2.4
"intercept[39]",-12.75,-0.58,-6.49,2.35
"intercept[40]",-13.25,-0.9,-6.66,2.38
"intercept[41]",-13.28,-0.79,-6.62,2.4
"intercept[42]",-12.44,0.62,-5.68,2.49
"intercept[43]",-12.9,-0.54,-6.51,2.39
"intercept[44]",-13.33,-0.93,-6.74,2.4
"intercept[45]",-12.94,-0.54,-6.58,2.4
"intercept[46]",-12.86,-0.64,-6.51,2.36
"intercept[47]",-12.97,-0.55,-6.48,2.39
"intercept[48]",-12.95,-0.6,-6.53,2.38
"intercept[49]",-13.3,-1.06,-6.71,2.37
"intercept0",-12.63,-0.96,-6.5,2.26
"scaling[1]",1.32,2.76,2,0.28
"scaling[2]",1.14,2.7,1.89,0.3
"scaling[3]",1.16,2.73,1.92,0.3
"scaling[4]",1.16,2.72,1.93,0.3
"scaling[5]",1.29,2.81,2,0.3
"scaling[6]",1.27,2.71,1.95,0.28
"scaling[7]",1.16,2.68,1.89,0.29
"scaling[8]",1.12,2.72,1.9,0.3
"scaling[9]",1.26,2.72,1.94,0.28
"scaling[10]",1.21,2.74,1.93,0.3
"scaling[11]",1.19,2.71,1.92,0.29
"scaling[12]",1.15,2.73,1.92,0.3
"scaling[13]",1.28,2.8,2,0.3
"scaling[14]",1.19,2.73,1.92,0.3
"scaling[15]",1.06,2.63,1.83,0.3
"scaling[16]",1.15,2.71,1.9,0.3
"scaling[17]",1.17,2.7,1.92,0.29
"scaling[18]",1.13,2.68,1.89,0.3
"scaling[19]",1.33,2.84,2.03,0.29
"scaling[20]",1.15,2.72,1.9,0.3
"scaling[21]",1.1,2.69,1.87,0.3
"scaling[22]",1.11,2.62,1.83,0.29
"scaling[23]",1.26,2.72,1.94,0.28
"scaling[24]",1.14,2.68,1.89,0.3
"scaling[25]",1.24,2.74,1.96,0.29
"scaling[26]",1.22,2.73,1.94,0.29
"scaling[27]",1.15,2.72,1.91,0.3
"scaling[28]",1.18,2.7,1.92,0.29
"scaling[29]",1.15,2.67,1.87,0.29
"scaling[30]",1.15,2.67,1.88,0.29
"scaling[31]",1.21,2.74,1.94,0.3
"scaling[32]",1.22,2.72,1.94,0.29
"scaling[33]",1.1,2.67,1.88,0.3
"scaling[34]",1.22,2.72,1.94,0.29
"scaling[35]",1.34,2.91,2.08,0.31
"scaling[36]",1.22,2.71,1.93,0.29
"scaling[37]",1.18,2.7,1.91,0.29
"scaling[38]",1.27,2.8,1.99,0.3
"scaling[39]",1.18,2.72,1.92,0.3
"scaling[40]",1.14,2.69,1.89,0.3
"scaling[41]",1.1,2.71,1.89,0.3
"scaling[42]",1.32,2.9,2.07,0.31
"scaling[43]",1.18,2.73,1.92,0.3
"scaling[44]",1.11,2.71,1.88,0.3
"scaling[45]",1.15,2.75,1.91,0.3
"scaling[46]",1.19,2.69,1.91,0.29
"scaling[47]",1.21,2.69,1.93,0.29
"scaling[48]",1.2,2.71,1.93,0.29
"scaling[49]",1.19,2.69,1.89,0.29
"scaling0",1.26,2.66,1.92,0.27
"sd0",0,1.75,0.68,0.44
"sd1",0,0.26,0.12,0.06
"sigma_pop",0.43,1.05,0.69,0.12
"size",3.62,6.53,4.93,0.57
