"","lower","upper","mean","stdd"
"b0",2.64,5.86,4.43,0.63
"b1",0.69,1.5,1.06,0.16
"intercept[1]",-1.42,0.65,-0.32,0.41
"intercept[2]",-1.53,0.6,-0.39,0.42
"intercept[3]",-1.48,0.64,-0.36,0.42
"intercept[4]",-1.47,0.67,-0.34,0.42
"intercept[5]",-1.41,0.75,-0.27,0.42
"intercept[6]",-1.44,0.65,-0.33,0.41
"intercept[7]",-1.51,0.6,-0.37,0.41
"intercept[8]",-1.5,0.63,-0.37,0.42
"intercept[9]",-1.43,0.66,-0.33,0.41
"intercept[10]",-1.46,0.67,-0.34,0.42
"intercept[11]",-1.48,0.62,-0.35,0.41
"intercept[12]",-1.49,0.64,-0.35,0.42
"intercept[13]",-1.42,0.73,-0.27,0.42
"intercept[14]",-1.48,0.66,-0.35,0.42
"intercept[15]",-1.54,0.57,-0.43,0.42
"intercept[16]",-1.51,0.62,-0.37,0.42
"intercept[17]",-1.49,0.62,-0.36,0.41
"intercept[18]",-1.53,0.61,-0.4,0.42
"intercept[19]",-1.38,0.74,-0.24,0.42
"intercept[20]",-1.5,0.62,-0.37,0.42
"intercept[21]",-1.55,0.59,-0.4,0.42
"intercept[22]",-1.51,0.58,-0.38,0.41
"intercept[23]",-1.43,0.65,-0.32,0.41
"intercept[24]",-1.5,0.6,-0.37,0.41
"intercept[25]",-1.41,0.7,-0.31,0.42
"intercept[26]",-1.46,0.64,-0.32,0.41
"intercept[27]",-1.48,0.64,-0.36,0.42
"intercept[28]",-1.45,0.63,-0.34,0.41
"intercept[29]",-1.49,0.58,-0.38,0.41
"intercept[30]",-1.48,0.59,-0.38,0.41
"intercept[31]",-1.46,0.67,-0.33,0.42
"intercept[32]",-1.4,0.69,-0.32,0.41
"intercept[33]",-1.53,0.61,-0.39,0.42
"intercept[34]",-1.41,0.69,-0.3,0.41
"intercept[35]",-1.33,0.85,-0.17,0.43
"intercept[36]",-1.48,0.62,-0.35,0.41
"intercept[37]",-1.47,0.63,-0.35,0.41
"intercept[38]",-1.4,0.75,-0.27,0.42
"intercept[39]",-1.48,0.62,-0.35,0.41
"intercept[40]",-1.5,0.62,-0.38,0.42
"intercept[41]",-1.54,0.61,-0.38,0.42
"intercept[42]",-1.33,0.87,-0.19,0.43
"intercept[43]",-1.5,0.63,-0.35,0.42
"intercept[44]",-1.53,0.6,-0.39,0.42
"intercept[45]",-1.5,0.65,-0.36,0.42
"intercept[46]",-1.47,0.63,-0.36,0.41
"intercept[47]",-1.47,0.63,-0.37,0.42
"intercept[48]",-1.46,0.65,-0.35,0.41
"intercept[49]",-1.55,0.57,-0.39,0.42
"intercept0",-1.43,0.6,-0.34,0.4
"scaling[1]",0.2,0.44,0.31,0.05
"scaling[2]",0.19,0.43,0.3,0.05
"scaling[3]",0.19,0.44,0.31,0.05
"scaling[4]",0.19,0.44,0.31,0.05
"scaling[5]",0.2,0.45,0.32,0.05
"scaling[6]",0.2,0.44,0.31,0.05
"scaling[7]",0.19,0.44,0.3,0.05
"scaling[8]",0.19,0.44,0.3,0.05
"scaling[9]",0.19,0.44,0.31,0.05
"scaling[10]",0.19,0.44,0.31,0.05
"scaling[11]",0.19,0.44,0.31,0.05
"scaling[12]",0.19,0.44,0.31,0.05
"scaling[13]",0.2,0.45,0.32,0.05
"scaling[14]",0.19,0.44,0.31,0.05
"scaling[15]",0.18,0.43,0.3,0.05
"scaling[16]",0.19,0.44,0.31,0.05
"scaling[17]",0.19,0.44,0.31,0.05
"scaling[18]",0.19,0.44,0.3,0.05
"scaling[19]",0.2,0.45,0.32,0.05
"scaling[20]",0.19,0.44,0.3,0.05
"scaling[21]",0.18,0.43,0.3,0.05
"scaling[22]",0.19,0.43,0.3,0.05
"scaling[23]",0.2,0.44,0.31,0.05
"scaling[24]",0.19,0.44,0.3,0.05
"scaling[25]",0.2,0.44,0.31,0.05
"scaling[26]",0.19,0.44,0.31,0.05
"scaling[27]",0.19,0.44,0.31,0.05
"scaling[28]",0.19,0.44,0.31,0.05
"scaling[29]",0.19,0.44,0.3,0.05
"scaling[30]",0.19,0.43,0.3,0.05
"scaling[31]",0.2,0.44,0.31,0.05
"scaling[32]",0.2,0.44,0.31,0.05
"scaling[33]",0.19,0.44,0.3,0.05
"scaling[34]",0.2,0.45,0.31,0.05
"scaling[35]",0.21,0.46,0.32,0.05
"scaling[36]",0.19,0.44,0.31,0.05
"scaling[37]",0.19,0.44,0.31,0.05
"scaling[38]",0.2,0.44,0.32,0.05
"scaling[39]",0.19,0.44,0.31,0.05
"scaling[40]",0.19,0.44,0.3,0.05
"scaling[41]",0.18,0.44,0.3,0.05
"scaling[42]",0.2,0.45,0.32,0.05
"scaling[43]",0.19,0.44,0.31,0.05
"scaling[44]",0.18,0.43,0.3,0.05
"scaling[45]",0.19,0.44,0.31,0.05
"scaling[46]",0.19,0.44,0.3,0.05
"scaling[47]",0.19,0.43,0.31,0.05
"scaling[48]",0.19,0.43,0.31,0.05
"scaling[49]",0.19,0.44,0.3,0.05
"scaling0",0.2,0.43,0.31,0.05
"sd0",0,0.25,0.11,0.06
"sd1",0,0.03,0.01,0.01
"sigma_pop",0.45,1.11,0.72,0.13
"size",4.33,10.63,6.84,1.2
