"","lower","upper","mean","stdd"
"b0",3.3,5.84,4.62,0.49
"b1",0.78,1.43,1.09,0.13
"intercept[1]",-9.86,-4.14,-6.92,1.11
"intercept[2]",-11.66,-4.21,-7.94,1.52
"intercept[3]",-8.53,-3.15,-5.77,1.04
"intercept[4]",-9.65,-2.78,-6.12,1.31
"intercept[5]",-8.53,-2.06,-5.22,1.23
"intercept[6]",-8.3,-1.9,-5.15,1.22
"intercept[7]",-9.56,-3.51,-6.49,1.17
"intercept[8]",-10.16,-4.15,-7.14,1.17
"intercept[9]",-8.3,-3.09,-5.56,1.01
"intercept[10]",-9.51,-3.03,-6.15,1.25
"intercept[11]",-7.68,-2.18,-4.81,1.07
"intercept[12]",-9.17,-2.9,-5.98,1.2
"intercept[13]",-11,-4.13,-7.43,1.36
"intercept[14]",-10.52,-3.08,-6.53,1.42
"intercept[15]",-9.51,-3.71,-6.5,1.13
"intercept[16]",-7.92,-1.96,-4.82,1.16
"intercept[17]",-7.43,-1.76,-4.45,1.12
"intercept[18]",-9.88,-3.79,-6.73,1.19
"intercept[19]",-9.88,-3.81,-6.76,1.19
"intercept[20]",-11.11,-4.13,-7.63,1.39
"intercept[21]",-9.67,-4.02,-6.73,1.1
"intercept[22]",-8.31,-2.06,-5.14,1.2
"intercept[23]",-7.57,-1.83,-4.54,1.14
"intercept[24]",-7.65,-2.7,-5.05,0.96
"intercept[25]",-8.42,-3.51,-5.9,0.95
"intercept[26]",-9.27,-3.65,-6.4,1.09
"intercept[27]",-10.15,-3.87,-6.92,1.23
"intercept[28]",-8.89,-3.6,-6.15,1.02
"intercept[29]",-9.45,-3.58,-6.44,1.14
"intercept[30]",-8.79,-3.33,-6.01,1.05
"intercept[31]",-8.73,-3.44,-6.06,1
"intercept[32]",-8.44,-3.49,-5.81,0.96
"intercept[33]",-8.81,-3.4,-6.04,1.04
"intercept[34]",-8.4,-3.22,-5.7,0.99
"intercept[35]",-9.71,-3.64,-6.53,1.18
"intercept[36]",-8.84,-3.22,-5.95,1.08
"intercept[37]",-10.9,-4.19,-7.48,1.33
"intercept[38]",-8.47,-2.91,-5.64,1.06
"intercept[39]",-9.1,-3.49,-6.19,1.08
"intercept[40]",-9.5,-3.1,-6.24,1.22
"intercept[41]",-7.45,-1.83,-4.53,1.1
"intercept[42]",-8.08,-2.65,-5.31,1.05
"intercept[43]",-8.35,-2.26,-5.24,1.16
"intercept[44]",-8.3,-2.83,-5.44,1.05
"intercept[45]",-7.86,-2.05,-4.85,1.13
"intercept[46]",-7.56,-1.47,-4.42,1.21
"intercept[47]",-8.79,-2.33,-5.48,1.22
"intercept[48]",-10.56,-4.15,-7.3,1.27
"intercept[49]",-9.61,-3.65,-6.54,1.15
"intercept[50]",-9.54,-3.79,-6.52,1.11
"intercept[51]",-9.12,-3.42,-6.16,1.1
"intercept0",-8.37,-3.92,-6.01,0.87
"scaling[1]",0.4,0.97,0.68,0.11
"scaling[2]",0.18,0.94,0.59,0.15
"scaling[3]",0.45,1,0.7,0.11
"scaling[4]",0.34,1.02,0.68,0.12
"scaling[5]",0.42,1.06,0.72,0.12
"scaling[6]",0.42,1.08,0.72,0.12
"scaling[7]",0.34,0.98,0.66,0.12
"scaling[8]",0.37,0.96,0.66,0.11
"scaling[9]",0.41,1,0.69,0.11
"scaling[10]",0.36,0.99,0.68,0.12
"scaling[11]",0.45,1.06,0.73,0.12
"scaling[12]",0.38,1,0.68,0.12
"scaling[13]",0.23,0.95,0.62,0.14
"scaling[14]",0.29,1.01,0.66,0.13
"scaling[15]",0.36,0.97,0.66,0.12
"scaling[16]",0.46,1.08,0.74,0.12
"scaling[17]",0.46,1.11,0.75,0.13
"scaling[18]",0.3,0.95,0.64,0.12
"scaling[19]",0.37,0.97,0.66,0.12
"scaling[20]",0.22,0.94,0.6,0.14
"scaling[21]",0.34,0.96,0.65,0.12
"scaling[22]",0.45,1.06,0.73,0.12
"scaling[23]",0.46,1.09,0.75,0.12
"scaling[24]",0.41,1.01,0.7,0.12
"scaling[25]",0.42,0.97,0.68,0.11
"scaling[26]",0.35,0.97,0.66,0.12
"scaling[27]",0.27,0.95,0.63,0.13
"scaling[28]",0.39,0.99,0.68,0.11
"scaling[29]",0.33,0.98,0.66,0.12
"scaling[30]",0.37,0.99,0.68,0.12
"scaling[31]",0.37,0.98,0.67,0.12
"scaling[32]",0.46,1,0.71,0.11
"scaling[33]",0.4,0.99,0.68,0.11
"scaling[34]",0.41,1.01,0.69,0.11
"scaling[35]",0.33,0.98,0.66,0.12
"scaling[36]",0.38,1,0.68,0.12
"scaling[37]",0.2,0.95,0.61,0.14
"scaling[38]",0.4,0.99,0.69,0.11
"scaling[39]",0.35,0.98,0.66,0.12
"scaling[40]",0.36,1.01,0.67,0.12
"scaling[41]",0.43,1.1,0.73,0.13
"scaling[42]",0.43,1.03,0.71,0.12
"scaling[43]",0.43,1.06,0.72,0.12
"scaling[44]",0.44,1.02,0.71,0.11
"scaling[45]",0.45,1.08,0.73,0.12
"scaling[46]",0.47,1.13,0.76,0.13
"scaling[47]",0.41,1.05,0.71,0.12
"scaling[48]",0.26,0.95,0.62,0.13
"scaling[49]",0.34,0.95,0.65,0.12
"scaling[50]",0.41,0.99,0.68,0.11
"scaling[51]",0.39,0.99,0.68,0.11
"scaling0",0.45,0.94,0.68,0.1
"sd0",0,1.81,1.14,0.36
"sd1",0,0.18,0.07,0.05
"sigma_pop",0.6,1.14,0.84,0.11
"size",0.27,0.55,0.39,0.05
