"","lower","upper","mean","stdd"
"b0",2.89,5.78,4.37,0.56
"b1",0.83,1.57,1.2,0.14
"intercept[1]",-1.21,0.46,-0.28,0.29
"intercept[2]",-1.03,0.54,-0.23,0.27
"intercept[3]",-1.07,0.75,-0.19,0.3
"intercept[4]",-1.12,0.63,-0.21,0.29
"intercept[5]",-1.09,0.74,-0.2,0.29
"intercept[6]",-1.07,0.73,-0.2,0.29
"intercept[7]",-1.1,0.66,-0.22,0.29
"intercept[8]",-1.11,0.47,-0.27,0.27
"intercept[9]",-1.03,0.71,-0.21,0.29
"intercept[10]",-1.07,0.71,-0.21,0.29
"intercept[11]",-0.98,0.88,-0.16,0.3
"intercept[12]",-1.16,0.69,-0.21,0.29
"intercept[13]",-1.13,0.59,-0.24,0.28
"intercept[14]",-1.12,0.69,-0.21,0.29
"intercept[15]",-1.17,0.65,-0.23,0.29
"intercept[16]",-1.04,0.8,-0.17,0.3
"intercept[17]",-1.03,0.8,-0.16,0.3
"intercept[18]",-1.09,0.63,-0.22,0.28
"intercept[19]",-1.07,0.59,-0.23,0.27
"intercept[20]",-1.04,0.51,-0.21,0.25
"intercept[21]",-1.12,0.51,-0.24,0.27
"intercept[22]",-1.02,0.78,-0.18,0.29
"intercept[23]",-1,0.87,-0.16,0.3
"intercept[24]",-1.08,0.7,-0.2,0.29
"intercept[25]",-1.12,0.52,-0.25,0.28
"intercept[26]",-1.08,0.64,-0.23,0.29
"intercept[27]",-1.1,0.55,-0.22,0.28
"intercept[28]",-1.01,0.5,-0.24,0.26
"intercept[29]",-1.13,0.61,-0.22,0.28
"intercept[30]",-1.08,0.58,-0.22,0.28
"intercept[31]",-1.02,0.57,-0.23,0.27
"intercept[32]",-1.23,0.62,-0.24,0.3
"intercept[33]",-1.14,0.6,-0.22,0.29
"intercept[34]",-1.08,0.64,-0.22,0.29
"intercept[35]",-1.12,0.6,-0.23,0.29
"intercept[36]",-1.13,0.63,-0.22,0.28
"intercept[37]",-1,0.44,-0.18,0.24
"intercept[38]",-1.1,0.7,-0.2,0.29
"intercept[39]",-1.09,0.65,-0.22,0.29
"intercept[40]",-1.17,0.63,-0.21,0.29
"intercept[41]",-1.01,0.76,-0.18,0.29
"intercept[42]",-1.12,0.71,-0.2,0.29
"intercept[43]",-1.1,0.71,-0.2,0.29
"intercept[44]",-1.09,0.71,-0.2,0.29
"intercept[45]",-1.03,0.79,-0.18,0.3
"intercept[46]",-1.03,0.85,-0.15,0.31
"intercept[47]",-1.11,0.71,-0.2,0.29
"intercept[48]",-1.09,0.44,-0.24,0.26
"intercept[49]",-1.16,0.66,-0.23,0.29
"intercept[50]",-1.2,0.55,-0.24,0.29
"intercept[51]",-1.17,0.64,-0.21,0.29
"intercept0",-0.85,0.34,-0.21,0.21
"scaling[1]",0.04,0.27,0.14,0.04
"scaling[2]",-0.04,0.2,0.05,0.04
"scaling[3]",0.15,0.63,0.35,0.09
"scaling[4]",-0.01,0.58,0.23,0.12
"scaling[5]",0.03,0.62,0.28,0.12
"scaling[6]",0.04,0.62,0.28,0.12
"scaling[7]",0,0.49,0.17,0.1
"scaling[8]",0.01,0.24,0.11,0.04
"scaling[9]",0.06,0.5,0.24,0.09
"scaling[10]",0.02,0.58,0.24,0.12
"scaling[11]",0.19,0.69,0.4,0.1
"scaling[12]",0.01,0.58,0.24,0.11
"scaling[13]",-0.05,0.32,0.08,0.06
"scaling[14]",-0.01,0.57,0.21,0.12
"scaling[15]",0,0.45,0.17,0.09
"scaling[16]",0.15,0.71,0.39,0.11
"scaling[17]",0.19,0.74,0.43,0.11
"scaling[18]",-0.04,0.36,0.12,0.07
"scaling[19]",0,0.44,0.16,0.09
"scaling[20]",-0.03,0.2,0.05,0.04
"scaling[21]",-0.02,0.29,0.1,0.05
"scaling[22]",0.12,0.67,0.35,0.11
"scaling[23]",0.21,0.76,0.46,0.11
"scaling[24]",0.08,0.5,0.26,0.08
"scaling[25]",0.06,0.34,0.17,0.05
"scaling[26]",-0.02,0.39,0.13,0.08
"scaling[27]",-0.05,0.33,0.1,0.07
"scaling[28]",0.01,0.35,0.14,0.07
"scaling[29]",-0.03,0.43,0.14,0.09
"scaling[30]",0.01,0.46,0.18,0.09
"scaling[31]",-0.01,0.3,0.12,0.06
"scaling[32]",0.17,0.58,0.34,0.08
"scaling[33]",0.02,0.45,0.18,0.09
"scaling[34]",0.04,0.47,0.21,0.08
"scaling[35]",-0.02,0.48,0.17,0.1
"scaling[36]",0,0.49,0.19,0.1
"scaling[37]",-0.04,0.23,0.05,0.05
"scaling[38]",0.05,0.54,0.26,0.1
"scaling[39]",0,0.45,0.17,0.09
"scaling[40]",-0.01,0.55,0.21,0.12
"scaling[41]",0.11,0.65,0.34,0.11
"scaling[42]",0.07,0.6,0.28,0.1
"scaling[43]",0.06,0.63,0.3,0.11
"scaling[44]",0.12,0.62,0.32,0.1
"scaling[45]",0.11,0.66,0.35,0.11
"scaling[46]",0.22,0.8,0.47,0.11
"scaling[47]",0.04,0.6,0.28,0.12
"scaling[48]",-0.03,0.24,0.07,0.05
"scaling[49]",0,0.44,0.16,0.08
"scaling[50]",0.03,0.46,0.19,0.08
"scaling[51]",0.03,0.51,0.22,0.1
"scaling0",0.13,0.32,0.22,0.04
"sd0",0,0.53,0.16,0.13
"sd1",0.09,0.2,0.14,0.03
"sigma_pop",0.57,1.06,0.78,0.1
"size",0.18,0.29,0.23,0.02
