"","lower","upper","mean","stdd"
"b0",2.04,6.01,4.15,0.78
"b1",0.71,1.71,1.19,0.2
"intercept[1]",-4.41,-0.72,-2.53,0.71
"intercept[2]",-4.75,-0.92,-2.65,0.74
"intercept[3]",-4.49,-0.91,-2.64,0.71
"intercept[4]",-4.65,-0.84,-2.63,0.73
"intercept[5]",-4.42,-0.66,-2.48,0.72
"intercept[6]",-4.42,-0.66,-2.47,0.73
"intercept[7]",-4.68,-0.9,-2.67,0.73
"intercept[8]",-4.7,-0.94,-2.67,0.73
"intercept[9]",-4.45,-0.87,-2.56,0.7
"intercept[10]",-4.72,-0.9,-2.66,0.74
"intercept[11]",-4.29,-0.54,-2.41,0.72
"intercept[12]",-4.52,-0.78,-2.55,0.72
"intercept[13]",-4.65,-0.81,-2.64,0.74
"intercept[14]",-4.75,-0.99,-2.69,0.73
"intercept[15]",-4.28,-0.42,-2.38,0.74
"intercept[16]",-4.29,-0.54,-2.39,0.73
"intercept[17]",-4.6,-0.9,-2.62,0.72
"intercept[18]",-4.53,-0.77,-2.54,0.72
"intercept[19]",-4.87,-0.95,-2.69,0.75
"intercept[20]",-4.73,-1,-2.71,0.74
"intercept[21]",-4.4,-0.64,-2.5,0.72
"intercept[22]",-4.29,-0.54,-2.39,0.73
"intercept[23]",-4.26,-0.65,-2.4,0.71
"intercept[24]",-4.55,-1,-2.66,0.7
"intercept[25]",-4.61,-0.9,-2.66,0.72
"intercept[26]",-4.6,-0.87,-2.62,0.72
"intercept[27]",-4.53,-0.9,-2.62,0.71
"intercept[28]",-4.5,-0.82,-2.59,0.72
"intercept[29]",-4.6,-0.91,-2.64,0.72
"intercept[30]",-4.48,-0.87,-2.61,0.7
"intercept[31]",-4.39,-0.9,-2.57,0.69
"intercept[32]",-4.54,-0.87,-2.64,0.72
"intercept[33]",-4.44,-0.92,-2.56,0.69
"intercept[34]",-4.68,-0.89,-2.64,0.73
"intercept[35]",-4.48,-0.83,-2.55,0.71
"intercept[36]",-4.64,-0.89,-2.61,0.73
"intercept[37]",-4.44,-0.79,-2.54,0.71
"intercept[38]",-4.58,-0.94,-2.63,0.71
"intercept[39]",-4.62,-0.85,-2.61,0.73
"intercept[40]",-4.3,-0.68,-2.46,0.71
"intercept[41]",-4.44,-0.84,-2.55,0.7
"intercept[42]",-4.51,-0.83,-2.53,0.71
"intercept[43]",-4.41,-0.78,-2.5,0.71
"intercept[44]",-4.4,-0.73,-2.47,0.71
"intercept[45]",-4.32,-0.31,-2.32,0.76
"intercept[46]",-4.46,-0.75,-2.52,0.72
"intercept[47]",-4.83,-0.95,-2.71,0.75
"intercept[48]",-4.7,-0.94,-2.7,0.74
"intercept[49]",-4.45,-0.78,-2.56,0.72
"intercept[50]",-4.49,-0.83,-2.6,0.71
"intercept0",-4.37,-1.01,-2.57,0.67
"scaling[1]",0.28,0.68,0.47,0.08
"scaling[2]",0.14,0.65,0.4,0.1
"scaling[3]",0.27,0.64,0.45,0.07
"scaling[4]",0.15,0.66,0.41,0.1
"scaling[5]",0.24,0.72,0.47,0.09
"scaling[6]",0.24,0.72,0.48,0.09
"scaling[7]",0.15,0.63,0.39,0.09
"scaling[8]",0.2,0.61,0.4,0.08
"scaling[9]",0.23,0.66,0.43,0.08
"scaling[10]",0.16,0.63,0.39,0.09
"scaling[11]",0.29,0.7,0.5,0.08
"scaling[12]",0.2,0.69,0.44,0.09
"scaling[13]",0.15,0.66,0.4,0.1
"scaling[14]",0.17,0.62,0.38,0.09
"scaling[15]",0.3,0.73,0.52,0.08
"scaling[16]",0.32,0.74,0.53,0.08
"scaling[17]",0.17,0.65,0.41,0.09
"scaling[18]",0.23,0.69,0.45,0.09
"scaling[19]",0.14,0.62,0.37,0.09
"scaling[20]",0.14,0.61,0.36,0.09
"scaling[21]",0.29,0.71,0.48,0.08
"scaling[22]",0.33,0.75,0.53,0.08
"scaling[23]",0.27,0.71,0.49,0.09
"scaling[24]",0.21,0.61,0.4,0.08
"scaling[25]",0.17,0.63,0.39,0.09
"scaling[26]",0.17,0.67,0.41,0.1
"scaling[27]",0.19,0.64,0.41,0.09
"scaling[28]",0.18,0.67,0.42,0.1
"scaling[29]",0.18,0.64,0.4,0.09
"scaling[30]",0.18,0.63,0.41,0.09
"scaling[31]",0.3,0.68,0.48,0.08
"scaling[32]",0.18,0.62,0.4,0.09
"scaling[33]",0.23,0.66,0.43,0.09
"scaling[34]",0.17,0.65,0.4,0.09
"scaling[35]",0.21,0.68,0.43,0.09
"scaling[36]",0.17,0.69,0.42,0.1
"scaling[37]",0.23,0.66,0.44,0.08
"scaling[38]",0.18,0.65,0.4,0.09
"scaling[39]",0.17,0.65,0.42,0.09
"scaling[40]",0.26,0.69,0.48,0.09
"scaling[41]",0.23,0.66,0.44,0.08
"scaling[42]",0.24,0.68,0.46,0.09
"scaling[43]",0.28,0.69,0.47,0.08
"scaling[44]",0.27,0.7,0.48,0.08
"scaling[45]",0.33,0.78,0.56,0.09
"scaling[46]",0.23,0.7,0.46,0.09
"scaling[47]",0.12,0.61,0.37,0.09
"scaling[48]",0.16,0.61,0.37,0.09
"scaling[49]",0.24,0.66,0.44,0.08
"scaling[50]",0.2,0.64,0.42,0.09
"scaling0",0.25,0.63,0.44,0.07
"sd0",0,0.74,0.25,0.18
"sd1",0,0.11,0.07,0.02
"sigma_pop",0.49,1.63,0.95,0.24
"size",1.23,4.38,2.22,0.62
