"","lower","upper","mean","stdd"
"b0",2.83,5.18,4.1,0.47
"b1",0.92,1.49,1.18,0.11
"intercept[1]",-2.25,-0.33,-1.24,0.37
"intercept[2]",-3.34,-1.03,-2.17,0.44
"intercept[3]",-2.36,-0.37,-1.33,0.39
"intercept[4]",-2.68,-0.38,-1.51,0.44
"intercept[5]",-2.48,-0.25,-1.36,0.44
"intercept[6]",-2.59,-0.32,-1.43,0.44
"intercept[7]",-2.4,-0.34,-1.33,0.4
"intercept[8]",-2.26,-0.32,-1.27,0.38
"intercept[9]",-2.62,-0.65,-1.62,0.38
"intercept[10]",-2.72,-0.48,-1.57,0.43
"intercept[11]",-2.45,-0.51,-1.46,0.38
"intercept[12]",-2.56,-0.39,-1.44,0.42
"intercept[13]",-2.38,-0.37,-1.37,0.39
"intercept[14]",-2.57,-0.33,-1.43,0.44
"intercept[15]",-2.37,-0.35,-1.32,0.39
"intercept[16]",-2.65,-0.55,-1.58,0.41
"intercept[17]",-2.7,-0.66,-1.64,0.4
"intercept[18]",-2.8,-0.74,-1.74,0.4
"intercept[19]",-2.75,-0.69,-1.69,0.4
"intercept[20]",-2.88,-0.83,-1.83,0.4
"intercept[21]",-2.15,-0.22,-1.16,0.38
"intercept[22]",-2.82,-0.58,-1.68,0.44
"intercept[23]",-2.41,-0.4,-1.39,0.39
"intercept[24]",-2.46,-0.59,-1.49,0.37
"intercept[25]",-2.32,-0.47,-1.36,0.36
"intercept[26]",-2.7,-0.7,-1.65,0.39
"intercept[27]",-2.51,-0.51,-1.48,0.39
"intercept[28]",-2.43,-0.52,-1.42,0.37
"intercept[29]",-2.8,-0.76,-1.72,0.4
"intercept[30]",-2.64,-0.65,-1.61,0.39
"intercept[31]",-2.59,-0.67,-1.59,0.37
"intercept[32]",-2.44,-0.6,-1.5,0.36
"intercept[33]",-2.92,-0.84,-1.86,0.4
"intercept[34]",-2.64,-0.67,-1.61,0.38
"intercept[35]",-3,-0.81,-1.87,0.43
"intercept[36]",-2.4,-0.4,-1.39,0.39
"intercept[37]",-1.98,0.02,-0.91,0.39
"intercept[38]",-2.51,-0.51,-1.47,0.39
"intercept[39]",-2.27,-0.31,-1.25,0.38
"intercept[40]",-2.29,-0.15,-1.19,0.42
"intercept[41]",-2.46,-0.41,-1.41,0.4
"intercept[42]",-2.85,-0.72,-1.76,0.41
"intercept[43]",-2.76,-0.54,-1.62,0.43
"intercept[44]",-1.97,0.09,-0.9,0.4
"intercept[45]",-2.52,-0.42,-1.46,0.41
"intercept[46]",-2.79,-0.68,-1.67,0.41
"intercept[47]",-2.83,-0.51,-1.63,0.45
"intercept[48]",-2.49,-0.53,-1.5,0.38
"intercept[49]",-2.67,-0.64,-1.61,0.4
"intercept[50]",-2.68,-0.69,-1.66,0.39
"intercept[51]",-2.67,-0.63,-1.62,0.4
"intercept0",-2.44,-0.67,-1.51,0.35
"scaling[1]",0.29,0.5,0.39,0.04
"scaling[2]",0.26,0.49,0.37,0.04
"scaling[3]",0.29,0.5,0.39,0.04
"scaling[4]",0.28,0.5,0.38,0.04
"scaling[5]",0.28,0.5,0.39,0.04
"scaling[6]",0.28,0.5,0.38,0.04
"scaling[7]",0.28,0.5,0.39,0.04
"scaling[8]",0.29,0.49,0.39,0.04
"scaling[9]",0.28,0.49,0.38,0.04
"scaling[10]",0.28,0.49,0.38,0.04
"scaling[11]",0.28,0.49,0.38,0.04
"scaling[12]",0.28,0.5,0.38,0.04
"scaling[13]",0.28,0.5,0.38,0.04
"scaling[14]",0.28,0.5,0.38,0.04
"scaling[15]",0.29,0.5,0.39,0.04
"scaling[16]",0.28,0.49,0.38,0.04
"scaling[17]",0.28,0.49,0.38,0.04
"scaling[18]",0.27,0.49,0.38,0.04
"scaling[19]",0.27,0.49,0.38,0.04
"scaling[20]",0.27,0.49,0.38,0.04
"scaling[21]",0.29,0.5,0.39,0.04
"scaling[22]",0.27,0.49,0.38,0.04
"scaling[23]",0.28,0.5,0.38,0.04
"scaling[24]",0.28,0.5,0.38,0.04
"scaling[25]",0.29,0.5,0.38,0.04
"scaling[26]",0.27,0.49,0.38,0.04
"scaling[27]",0.28,0.49,0.38,0.04
"scaling[28]",0.28,0.49,0.38,0.04
"scaling[29]",0.27,0.49,0.38,0.04
"scaling[30]",0.28,0.49,0.38,0.04
"scaling[31]",0.28,0.49,0.38,0.04
"scaling[32]",0.29,0.5,0.39,0.04
"scaling[33]",0.27,0.49,0.38,0.04
"scaling[34]",0.28,0.49,0.38,0.04
"scaling[35]",0.27,0.49,0.38,0.04
"scaling[36]",0.28,0.5,0.38,0.04
"scaling[37]",0.29,0.51,0.39,0.04
"scaling[38]",0.28,0.49,0.38,0.04
"scaling[39]",0.28,0.5,0.39,0.04
"scaling[40]",0.29,0.5,0.39,0.04
"scaling[41]",0.28,0.49,0.38,0.04
"scaling[42]",0.27,0.49,0.38,0.04
"scaling[43]",0.27,0.49,0.38,0.04
"scaling[44]",0.29,0.51,0.39,0.04
"scaling[45]",0.28,0.49,0.38,0.04
"scaling[46]",0.27,0.49,0.38,0.04
"scaling[47]",0.28,0.49,0.38,0.04
"scaling[48]",0.28,0.49,0.38,0.04
"scaling[49]",0.28,0.49,0.38,0.04
"scaling[50]",0.28,0.49,0.38,0.04
"scaling[51]",0.28,0.49,0.38,0.04
"scaling0",0.29,0.49,0.38,0.04
"sd0",0.09,0.49,0.31,0.07
"sd1",0,0.04,0.01,0.01
"sigma_pop",0.58,1.05,0.78,0.09
"size",2.09,3.72,2.77,0.31
