"","lower","upper","mean","stdd"
"b0",2.96,5.13,4.11,0.44
"b1",0.95,1.5,1.22,0.11
"intercept[1]",-9.87,-1.75,-5.79,1.55
"intercept[2]",-12.58,-3.31,-7.31,1.87
"intercept[3]",-9.98,-1.8,-5.87,1.55
"intercept[4]",-10.35,-2.08,-6.13,1.54
"intercept[5]",-10.2,-1.78,-6.02,1.57
"intercept[6]",-10.42,-1.97,-6.14,1.57
"intercept[7]",-9.95,-1.62,-5.96,1.54
"intercept[8]",-9.77,-1.75,-5.8,1.54
"intercept[9]",-10.32,-2.92,-6.44,1.45
"intercept[10]",-10.47,-1.99,-6.22,1.57
"intercept[11]",-10.28,-2.64,-6.24,1.47
"intercept[12]",-10.11,-1.76,-6.12,1.55
"intercept[13]",-10.2,-2.18,-6.03,1.53
"intercept[14]",-10.27,-1.92,-6.11,1.57
"intercept[15]",-10.06,-1.71,-5.9,1.56
"intercept[16]",-10.58,-2.61,-6.39,1.53
"intercept[17]",-10.4,-2.93,-6.54,1.47
"intercept[18]",-10.89,-2.91,-6.67,1.54
"intercept[19]",-10.16,-2.59,-6.35,1.47
"intercept[20]",-11.29,-3.17,-6.75,1.57
"intercept[21]",-9.7,-1.67,-5.76,1.55
"intercept[22]",-10.84,-2.52,-6.44,1.57
"intercept[23]",-10.07,-2.18,-6.05,1.5
"intercept[24]",-9.96,-3.02,-6.29,1.41
"intercept[25]",-9.92,-2.6,-6.15,1.43
"intercept[26]",-10.69,-2.97,-6.5,1.5
"intercept[27]",-10.46,-2.69,-6.3,1.48
"intercept[28]",-9.62,-2.21,-5.89,1.47
"intercept[29]",-10.66,-3.02,-6.54,1.48
"intercept[30]",-10.35,-3,-6.48,1.47
"intercept[31]",-10.27,-2.89,-6.34,1.45
"intercept[32]",-10.31,-3.16,-6.45,1.4
"intercept[33]",-10.97,-2.92,-6.62,1.54
"intercept[34]",-10.63,-2.85,-6.49,1.49
"intercept[35]",-11.23,-3.16,-6.86,1.59
"intercept[36]",-9.99,-2.29,-6.04,1.47
"intercept[37]",-9.49,-0.61,-5.35,1.72
"intercept[38]",-10,-2.09,-6.1,1.5
"intercept[39]",-9.81,-1.93,-5.83,1.5
"intercept[40]",-9.88,-1.41,-5.82,1.6
"intercept[41]",-9.69,-1.74,-5.79,1.52
"intercept[42]",-10.73,-3.02,-6.64,1.51
"intercept[43]",-10.58,-2.3,-6.3,1.55
"intercept[44]",-9.61,-0.11,-5.15,1.84
"intercept[45]",-10.22,-2.06,-6.05,1.54
"intercept[46]",-10.44,-2.5,-6.34,1.5
"intercept[47]",-10.79,-2.51,-6.39,1.55
"intercept[48]",-10.29,-2.63,-6.24,1.48
"intercept[49]",-10.35,-2.16,-6.26,1.52
"intercept[50]",-10.6,-2.94,-6.59,1.48
"intercept[51]",-10.59,-2.85,-6.44,1.5
"intercept0",-9.72,-3.24,-6.21,1.3
"scaling[1]",1.23,2.19,1.69,0.19
"scaling[2]",0.71,1.73,1.16,0.21
"scaling[3]",1.15,2.16,1.63,0.2
"scaling[4]",0.94,2.15,1.49,0.23
"scaling[5]",1,2.17,1.54,0.23
"scaling[6]",0.94,2.13,1.5,0.23
"scaling[7]",1.07,2.14,1.58,0.21
"scaling[8]",1.2,2.17,1.65,0.19
"scaling[9]",0.94,1.93,1.4,0.19
"scaling[10]",0.93,2.09,1.47,0.22
"scaling[11]",1,2,1.47,0.19
"scaling[12]",0.97,2.12,1.51,0.22
"scaling[13]",1.06,2.1,1.54,0.2
"scaling[14]",0.94,2.12,1.51,0.23
"scaling[15]",1.11,2.16,1.6,0.21
"scaling[16]",0.93,1.97,1.43,0.2
"scaling[17]",0.88,1.94,1.39,0.2
"scaling[18]",0.87,1.84,1.35,0.19
"scaling[19]",0.91,1.96,1.4,0.2
"scaling[20]",0.86,1.84,1.32,0.19
"scaling[21]",1.16,2.18,1.65,0.2
"scaling[22]",0.85,1.99,1.4,0.23
"scaling[23]",1.05,2.1,1.53,0.2
"scaling[24]",1.01,1.93,1.44,0.19
"scaling[25]",1.06,1.99,1.52,0.18
"scaling[26]",0.9,1.9,1.38,0.19
"scaling[27]",1.01,1.99,1.47,0.19
"scaling[28]",0.98,2.03,1.48,0.2
"scaling[29]",0.82,1.85,1.34,0.2
"scaling[30]",0.89,1.88,1.38,0.2
"scaling[31]",0.91,1.89,1.39,0.19
"scaling[32]",1.18,2.09,1.58,0.18
"scaling[33]",0.8,1.86,1.29,0.21
"scaling[34]",0.91,1.94,1.39,0.19
"scaling[35]",0.73,1.82,1.26,0.22
"scaling[36]",1.02,2.08,1.52,0.2
"scaling[37]",1.19,2.34,1.75,0.23
"scaling[38]",1,2.03,1.49,0.2
"scaling[39]",1.09,2.15,1.59,0.21
"scaling[40]",1.06,2.22,1.61,0.23
"scaling[41]",1.01,2.13,1.55,0.22
"scaling[42]",0.82,1.85,1.33,0.21
"scaling[43]",0.9,2.05,1.43,0.22
"scaling[44]",1.2,2.41,1.8,0.24
"scaling[45]",0.97,2.06,1.5,0.21
"scaling[46]",0.9,2,1.4,0.21
"scaling[47]",0.82,2.04,1.42,0.23
"scaling[48]",1.02,1.99,1.48,0.19
"scaling[49]",0.97,1.97,1.46,0.19
"scaling[50]",0.93,1.89,1.4,0.19
"scaling[51]",0.94,1.95,1.43,0.2
"scaling0",1.12,1.91,1.48,0.16
"sd0",0,2,0.78,0.51
"sd1",0.02,0.3,0.18,0.05
"sigma_pop",0.57,1.02,0.77,0.09
"size",1.74,2.58,2.11,0.16
